ID,名字,子名字,副本ID,开启等级,开启需要通关主线ID,开启需要通关众神传ID,未开启的提示,首次通关奖励,左边ui图片,右边ui图片
id,name,subname,roomId,openLevel,openPassLvl,openPassEltLvl,messageNotOpen,firstReward,titleImage,contentImage
1,第一篇,薛西斯,zsz_xxs_01,1,11,,,110001,ui_banshenxiang_elite_01,ui_banshenxiang_elite_big_03
2,第一篇,美狄亚,zsz_mdy_01,20,11,1,通过薛西斯·第一篇后解锁,110002,ui_banshenxiang_elite_02,ui_banshenxiang_elite_big_02
7,第一篇,厄里倪厄斯,zsz_elnes_01,45,40,6,通过主线关卡第4章及巴克斯·第一篇后解锁,110003,ui_banshenxiang_elite_01,ui_banshenxiang_elite_big_03
8,第二篇,薛西斯,zsz_xxs_02,50,50,7,通过主线关卡第5章及美狄亚·第二篇后解锁,110004,ui_banshenxiang_elite_02,ui_banshenxiang_elite_big_02
5,第一篇,赫尔墨斯,zsz_hems_01,35,20,4,通过主线关卡第2章及薛西斯·第二篇后解锁,110005,ui_banshenxiang_elite_02,ui_banshenxiang_elite_big_02
6,第一篇,巴克斯,zsz_bks_01,40,30,5,通过主线关卡第3章及赫尔墨斯·第一篇后解锁,110006,ui_banshenxiang_elite_03,ui_banshenxiang_elite_big_01
3,第二篇,美狄亚,zsz_mdy_02,25,11,2,通过美狄亚·第一篇后解锁,110003,ui_banshenxiang_elite_03,ui_banshenxiang_elite_big_01
4,第一篇,阿尔忒弥斯,zsz_aetms_01,30,20,3,通过主线关卡第2章及厄里倪厄斯·第一篇后解锁,110004,ui_banshenxiang_elite_01,ui_banshenxiang_elite_big_03
9,第三篇,美狄亚,zsz_mdy_03,55,60,8,通过主线关卡第6章及阿尔忒弥斯·第一篇后解锁,110009,ui_banshenxiang_elite_03,ui_banshenxiang_elite_big_01
10,第二篇,厄里倪厄斯,zsz_elnes_02,60,70,9,通过主线关卡第7章及美狄亚·第三篇后解锁,110010,ui_banshenxiang_elite_01,ui_banshenxiang_elite_big_03
11,第二篇,赫尔墨斯,zsz_hems_02,65,80,10,通过主线关卡第8章及厄里倪厄斯·第二篇后解锁,110011,ui_banshenxiang_elite_02,ui_banshenxiang_elite_big_02
12,第二篇,巴克斯,zsz_bks_02,70,90,11,通过主线关卡第9章及赫尔墨斯·第二篇后解锁,110012,ui_banshenxiang_elite_03,ui_banshenxiang_elite_big_01
13,第二篇,阿尔忒弥斯,zsz_aetms_02,75,100,12,通过主线关卡第10章及巴克斯·第二篇后解锁,110013,ui_banshenxiang_elite_01,ui_banshenxiang_elite_big_03
14,第三篇,薛西斯,zsz_xxs_03,80,110,13,通过主线关卡第11章及阿尔忒弥斯·第二篇后解锁,110014,ui_banshenxiang_elite_02,ui_banshenxiang_elite_big_02
15,第三篇,厄里倪厄斯,zsz_elnes_03,85,120,14,通过主线关卡第12章及薛西斯·第三篇后解锁,110015,ui_banshenxiang_elite_03,ui_banshenxiang_elite_big_01
16,第三篇,赫尔墨斯,zsz_hems_03,90,130,15,通过主线关卡第13章及厄里倪厄斯·第三篇后解锁,110016,ui_banshenxiang_elite_01,ui_banshenxiang_elite_big_03
17,第三篇,巴克斯,zsz_bks_03,95,140,16,通过主线关卡第14章及赫尔墨斯·第三篇后解锁,110017,ui_banshenxiang_elite_02,ui_banshenxiang_elite_big_02
18,第三篇,阿尔忒弥斯,zsz_aetms_03,100,150,17,通过主线关卡第15章及巴克斯·第三篇后解锁,110018,ui_banshenxiang_elite_03,ui_banshenxiang_elite_big_01
