进阶消耗ID(部位+当前等阶）,角色装备消耗内容,神侍装备消耗内容
id,cost,costPet
0_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
0_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
0_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
0_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
0_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
0_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
0_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
0_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
0_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
0_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
0_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
0_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
0_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
0_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
0_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
0_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
0_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
0_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
0_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
0_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
0_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
0_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
0_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
0_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
0_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
0_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
0_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
0_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
0_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
0_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
0_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
0_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
0_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
0_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
0_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
0_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
1_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
1_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
1_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
1_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
1_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
1_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
1_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
1_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
1_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
1_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
1_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
1_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
1_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
1_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
1_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
1_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
1_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
1_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
1_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
1_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
1_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
1_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
1_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
1_24,"100007|280,100107|280,100207|280,30000|260000","100312|40,30000|260000"
1_25,"100007|350,100107|350,100207|350,30000|280000","100312|45,30000|280000"
1_26,"100007|450,100107|450,100207|450,30000|300000","100313|50,30000|300000"
1_27,"100007|600,100107|600,100207|600,30000|320000","100313|60,30000|320000"
1_28,"100008|600,100108|600,100208|600,30000|340000","100314|70,30000|340000"
1_29,"100008|700,100108|700,100208|700,30000|360000","100314|80,30000|360000"
1_30,"100008|800,100108|800,100208|800,30000|380000","100315|90,30000|380000"
1_31,"100008|1000,100108|1000,100208|1000,30000|400000","100315|100,30000|400000"
1_32,"100009|1000,100109|1000,100209|1000,30000|420000","100316|110,30000|420000"
1_33,"100009|1100,100109|1100,100209|1100,30000|440000","100316|120,30000|440000"
1_34,"100009|1200,100109|1200,100209|1200,30000|460000","100317|130,30000|460000"
1_35,"100009|1400,100109|1400,100209|1400,30000|480000","100317|140,30000|480000"
1_36,"100010|1600,100110|1600,100210|1600,30000|500000","100318|150,30000|500000"
2_1,"100001|1,100101|1,100201|1,30000|1000","100301|1,30000|1000"
2_2,"100001|1,100101|1,100201|1,30000|2000","100301|1,30000|2000"
2_3,"100001|2,100101|2,100201|2,30000|3000","100301|1,30000|4000"
2_4,"100002|2,100102|2,100202|2,30000|5000","100302|1,30000|6000"
2_5,"100002|3,100102|3,100202|3,30000|10000","100302|2,30000|10000"
2_6,"100002|5,100102|5,100202|5,30000|15000","100303|2,30000|15000"
2_7,"100002|7,100102|7,100202|7,30000|20000","100303|2,30000|20000"
2_8,"100003|7,100103|7,100203|7,30000|25000","100304|3,30000|25000"
2_9,"100003|10,100103|10,100203|10,30000|30000","100304|3,30000|30000"
2_10,"100003|15,100103|15,100203|15,30000|35000","100305|3,30000|35000"
2_11,"100003|25,100103|25,100203|25,30000|40000","100305|4,30000|40000"
2_12,"100004|25,100104|25,100204|25,30000|50000","100306|4,30000|50000"
2_13,"100004|40,100104|40,100204|40,30000|60000","100306|6,30000|60000"
2_14,"100004|60,100104|60,100204|60,30000|70000","100307|7,30000|70000"
2_15,"100004|80,100104|80,100204|80,30000|80000","100307|8,30000|80000"
2_16,"100005|80,100105|80,100205|80,30000|100000","100308|10,30000|100000"
2_17,"100005|100,100105|100,100205|100,30000|120000","100308|12,30000|120000"
2_18,"100005|120,100105|120,100205|120,30000|140000","100309|14,30000|140000"
2_19,"100005|150,100105|150,100205|150,30000|160000","100309|17,30000|160000"
2_20,"100006|150,100106|150,100206|150,30000|180000","100310|20,30000|180000"
2_21,"100006|180,100106|180,100206|180,30000|200000","100310|25,30000|200000"
2_22,"100006|220,100106|220,100206|220,30000|220000","100311|30,30000|220000"
2_23,"100006|280,100106|280,100206|280,30000|240000","100311|35,30000|240000"
