基础属性ID,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,速度,冷却缩减,气力值
id,hp,atk,def,damageDef,damage,critical,criticalDef,criticalDamage,fire,ice,thunder,dark,fireDef,iceDef,thunderDef,darkDef,hpCut,damageReflect,mp,speed,cdCut,shield
v_zb_0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_4,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_5,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_9,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
