商品ID,归属商品组,兑换道具ID,兑换道具数量,消耗兑换币数量,是否必定出现（1是0否）,随机出现时权重,是否有特效（1是0否）
id,groupId,itemId,itemNum,price,sureAppear,weight,hasEffect
100,100,110007,1,5000,1,0,1
101,100,210008,5,420,1,0,1
102,100,210007,5,420,1,0,1
103,100,40000,10,65,1,0,0
104,100,40001,2,130,1,0,0
105,101,30014,10,170,0,800,0
106,101,30015,1,340,0,200,0
107,102,20000,50,80,0,250,0
108,102,20001,30,250,0,250,0
109,102,20002,10,420,0,200,0
110,102,30000,50000,100,0,300,0
200,200,210013,5,16,1,0,1
201,200,210014,5,16,1,0,1
202,200,30014,10,8,1,0,0
203,200,30015,1,15,1,0,0
204,200,20000,50,4,1,0,0
205,200,20001,30,15,1,0,0
206,200,20002,10,20,1,0,0
207,200,30000,50000,5,1,0,0
300,300,110007,1,30000,1,0,1
301,300,110008,1,30000,1,0,1
302,300,210011,5,2500,1,0,1
303,300,210003,5,2500,1,0,1
304,301,40000,10,400,0,350,0
305,301,40100,10,400,0,350,0
306,301,40001,2,800,0,150,0
307,301,40101,2,800,0,150,0
308,302,30014,10,1000,0,700,0
309,302,30015,1,2000,0,300,0
310,303,20000,50,500,0,200,0
311,303,20001,30,1500,0,100,0
312,303,20002,10,2500,0,100,0
313,303,30000,50000,600,0,300,0
400,400,110001,1,20,1,0,1
401,401,110002,1,200,1,0,1
402,401,110003,1,200,1,0,1
403,401,110004,1,200,1,0,1
404,401,110005,1,200,1,0,1
405,401,110006,1,200,1,0,1
406,402,110007,1,300,0,500,1
407,402,110008,1,300,0,500,1
408,403,40201,1,10,0,250,0
409,403,40202,1,10,0,250,0
410,403,40203,1,10,0,250,0
411,403,40204,1,10,0,250,0
500,500,210001,5,8,0,70,1
501,500,210002,5,8,0,70,1
502,500,210003,5,8,0,70,1
503,500,210004,5,8,0,70,1
504,500,210005,5,8,0,70,1
505,500,210006,5,8,0,70,1
506,500,210007,5,8,0,70,1
507,500,210008,5,8,0,70,1
508,500,210009,5,8,0,70,1
509,500,210010,5,8,0,70,1
510,500,210011,5,8,0,70,1
511,500,210012,5,8,0,70,1
512,500,210013,5,8,0,80,1
513,500,210014,5,8,0,80,1
