展示项ID,预览库ID,对象类型（1道具，2神侍）,对象ID（物品ID或神侍ID）,对象数量
showId,showPoolId,objectType,objectId,objectCnt
1,1,1,110001,1
2,1,1,40000,1
3,1,1,40100,1
4,1,1,40201,1
5,1,1,40202,1
6,1,1,40201,1
7,1,1,40202,1
8,1,1,40203,1
9,1,1,40204,1
10,1,1,30010,1
11,1,1,40001,1
12,1,1,40101,1
13,2,1,110002,1
14,2,1,110003,1
15,2,1,110004,1
16,2,1,110005,1
17,2,1,110006,1
18,2,1,110008,1
19,2,1,110007,1
20,3,1,210003,1
21,3,1,210005,1
22,3,1,210014,1
23,3,1,210007,1
24,3,1,210008,1
25,3,1,210011,1
26,3,1,210002,1
27,3,1,210004,1
28,3,1,210013,1
29,3,1,210009,1
30,3,1,210012,1
31,3,1,210001,1
32,3,1,210006,1
33,3,1,210010,1
34,3,1,20000,1
35,3,1,20001,1
36,3,1,20002,1
37,3,1,20003,1
38,3,1,40000,1
39,3,1,40100,1
40,3,1,10001,1
41,3,1,40001,1
42,3,1,40101,1
43,4,2,cw_3,1
44,4,2,cw_5,1
45,4,2,cw_14,1
46,4,2,cw_7,1
47,4,2,cw_8,1
48,4,2,cw_11,1
49,4,2,cw_2,1
50,4,2,cw_4,1
51,4,2,cw_13,1
52,4,2,cw_9,1
53,4,2,cw_12,1
54,4,2,cw_1,1
55,4,2,cw_6,1
56,4,2,cw_10,1
