模块号,错误码,模块名,错误名,描述文字
module,errCode,moduleName,errCodeName,desc
0,0,NONE,SUCCESS,成功
0,-1,NONE,SERVER_ERROR,服务器错误
0,-2,NONE,DB_ERROR,数据库错误
0,-3,NONE,BAD_PARAMETER,参数错误
0,-4,NONE,BAD_REQUEST,请求不被处理
0,-5,NONE,PARSE_ERROR,解析数据出错
0,-6,NONE,CONFIG_ERROR,配置有错
0,-7,NONE,NOT_EXIST_ERROR,找不到操作对象
0,-8,NONE,NO_ENOUGH_GOLD,金币不足
0,-9,NONE,DIAMOND_INSUFFICIENT,钻石不足
0,-10,NONE,NO_ENOUGH_LEVEL,等级不足
1,1,ACCOUNT,CHECK_TOKEN_FAIL,检测登录状态失败
1,2,ACCOUNT,RELOGIN_FAIL,自动重新登录失败
1,3,ACCOUNT,ROLE_DATA_LOST,角色数据丢失
2,1,ROLE,ROLE_NOT_EXISTS,角色不存在
2,2,ROLE,PET_NOT_EXISTS,神侍不存在
4,1,EQUIP,EQUIP_PLAYER_LEVEL_LIMIT,装备等级不能超过玩家自身等级
4,2,EQUIP,EQUIP_LEVEL_LIMIT,装备已满级
4,3,EQUIP,EQUIP_NO_ENOUGE_ITEM,所需材料不足
4,4,EQUIP,EQUIP_NO_LEVEL,装备等级不足
4,5,EQUIP,EQUIP_IS_NOT_POS_TYPE,装备位错误
4,6,EQUIP,EQUIP_MAX_ADV_LV,装备品阶已达到最高级
4,7,EQUIP,EQUIP_MAX_ROUSE,装备觉醒已达到最高级
5,1,GM,GM_WRONG_FORMAT,指令格式错误
5,2,GM,GM_EXECUTE_ERROR,指令执行错误
6,1,PET,PET_NO_PET,没有对应的宠物
6,2,PET,PET_MAX_LEVEL,神侍已满级
6,3,PET,PET_NO_ENOUGH_ITEM,所需物品数量不足
6,4,PET,PET_WRONG_ITEM,不能使用该物品升级神侍
6,5,PET,PET_MAX_ADV_LEVEL,神侍品阶已达到最高级
6,6,PET,PET_MAX_STAR,神侍已达到最高星级
6,7,PET,PET_NO_LEVEL,神侍等级不足
6,8,PET,PET_WRONG_POS,宠物位参数错误
6,9,PET,PET_NO_SKILL,无此技能
6,10,PET,PET_NO_TALENT,无此天赋
6,11,PET,PET_MAX_SKILL,神侍技能已满级
6,12,PET,PET_MAX_TALENT,神侍天赋已满级
6,13,PET,PET_LEVEL_OVER_OWNER,神侍等级不能超过玩家自身等级
6,14,PET,PET_SKILL_NEED_STAR,神侍星级不足
6,15,PET,PET_TALENT_NEED_ADV_LV,神侍品阶等级不足
6,16,PET,PET_SKILL_OVER_PET_LV,技能等级不能超过神侍自身等级
6,17,PET,PET_TALENT_OVER_PET_ADV_LV,神侍天赋等级已达到当前上限
6,18,PET,PET_EXIST,你已拥有该宠物了
6,19,PET,PET_POS_NEED_LEVEL,等级不足，请先提升等级
7,1,LEVEL,LEVEL_NO_NUM,今日次数已用完
7,2,LEVEL,LEVEL_NO_STAMINA,体力不足
7,3,LEVEL,LEVEL_NO_RECORD,挑战结束的关卡服务端并没有记录
7,4,LEVEL,LEVEL_CANNOT_USE_AI,自动战斗功能通过第7关后解锁
7,5,LEVEL,LEVEL_NOT_EXSTIS,关卡不存在
7,6,LEVEL,MUST_PASS_FIRST,必须先通过此关
7,7,LEVEL,SWEEP_COND_NOT_MATCH,扫荡条件暂时不符合
7,8,LEVEL,LEVEL_STAR_CANT_GET,不符合三星奖励领取条件
7,9,LEVEL,LEVEL_CANNT_AUTOBATTLE,本关不允许使用自动战斗
7,10,LEVEL,LEVEL_MUST_AUTOBATTLE,本关只能使用自动战斗
8,1,ACTIVITY,DAY_MAX_CNT,今日次数已用完
8,2,ACTIVITY,IN_COOL_DOWN,副本还在冷却中
8,3,ACTIVITY,PRE_MODE_WRONG,请先通关上一个难度的副本
8,4,ACTIVITY,HERO_LVL_WRONG,您的等级不足，不能进入
8,5,ACTIVITY,LVL_NO_START,还没有开始
8,6,ACTIVITY,CAN_NOT_SWEEP,本难度下暂不可以扫荡
8,7,ACTIVITY,ACTIVITY_NOT_START,活动尚未开启
8,8,ACTIVITY,ROLE_NOT_EXISTS,角色不存在
8,9,ACTIVITY,ARENA_NOT_CHALLENGER,要挑战的角色不在挑战对手列表
8,10,ACTIVITY,DIAMOND_INSUFFICIENT,你的钻石不足
8,11,ACTIVITY,BUY_CHANCE_MAX_COUNT,今日购买次数达到上限
8,12,ACTIVITY,ACTIVITY_ENTERED,你已参与过该活动了
8,13,ACTIVITY,SYSTEM_NOT_OPEN,系统尚未开启
8,14,ACTIVITY,LEVEL_HAS_TRIED,关卡已经通关
8,15,ACTIVITY,WARR_TRIED_TIMES_UNABLED,勇士试炼次数不足
8,16,ACTIVITY,WARR_CANNOT_REWARD,勇士试炼没有可领取的奖励
