宠物升星id+宠物星级（当前星级升下星),消耗内容
id,cost
cwss_1_1,"30000|20000,210001|30"
cwss_1_2,"30000|80000,210001|60"
cwss_1_3,"30000|150000,210001|120"
cwss_1_4,"30000|500000,210001|240"
cwss_2_1,"30000|20000,210002|30"
cwss_2_2,"30000|80000,210002|60"
cwss_2_3,"30000|150000,210002|120"
cwss_2_4,"30000|500000,210002|240"
cwss_3_1,"30000|20000,210003|30"
cwss_3_2,"30000|80000,210003|60"
cwss_3_3,"30000|150000,210003|120"
cwss_3_4,"30000|500000,210003|240"
cwss_4_1,"30000|20000,210004|30"
cwss_4_2,"30000|80000,210004|60"
cwss_4_3,"30000|150000,210004|120"
cwss_4_4,"30000|500000,210004|240"
cwss_5_1,"30000|20000,210005|30"
cwss_5_2,"30000|80000,210005|60"
cwss_5_3,"30000|150000,210005|120"
cwss_5_4,"30000|500000,210005|240"
cwss_6_1,"30000|20000,210006|30"
cwss_6_2,"30000|80000,210006|60"
cwss_6_3,"30000|150000,210006|120"
cwss_6_4,"30000|500000,210006|240"
cwss_7_1,"30000|20000,210007|30"
cwss_7_2,"30000|80000,210007|60"
cwss_7_3,"30000|150000,210007|120"
cwss_7_4,"30000|500000,210007|240"
cwss_8_1,"30000|20000,210008|30"
cwss_8_2,"30000|80000,210008|60"
cwss_8_3,"30000|150000,210008|120"
cwss_8_4,"30000|500000,210008|240"
cwss_9_1,"30000|20000,210009|30"
cwss_9_2,"30000|80000,210009|60"
cwss_9_3,"30000|150000,210009|120"
cwss_9_4,"30000|500000,210009|240"
cwss_10_1,"30000|20000,210010|30"
cwss_10_2,"30000|80000,210010|60"
cwss_10_3,"30000|150000,210010|120"
cwss_10_4,"30000|500000,210010|240"
cwss_11_1,"30000|20000,210011|30"
cwss_11_2,"30000|80000,210011|60"
cwss_11_3,"30000|150000,210011|120"
cwss_11_4,"30000|500000,210011|240"
cwss_12_1,"30000|20000,210012|30"
cwss_12_2,"30000|80000,210012|60"
cwss_12_3,"30000|150000,210012|120"
cwss_12_4,"30000|500000,210012|240"
cwss_13_1,"30000|20000,210013|30"
cwss_13_2,"30000|80000,210013|60"
cwss_13_3,"30000|150000,210013|120"
cwss_13_4,"30000|500000,210013|240"
cwss_14_1,"30000|20000,210014|30"
cwss_14_2,"30000|80000,210014|60"
cwss_14_3,"30000|150000,210014|120"
cwss_14_4,"30000|500000,210014|240"
