等级,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,气力值,速度,冷却缩减
lv,hp,atk,def,damageDef,damage,critical,criticalDef,criticalDamage,fire,ice,thunder,dark,fireDef,iceDef,thunderDef,darkDef,hpCut,damageReflect,mp,shield,speed,cdCut
1,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
2,55,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
3,67,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
4,81,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
5,98,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
6,110,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
7,117,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
8,131,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
9,153,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
10,179,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164
11,190,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173
12,203,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
13,215,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
14,228,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
15,274,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
16,299,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
17,325,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
18,351,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
19,378,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
20,502,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422
21,550,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458
22,600,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496
23,654,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536,536
24,712,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
25,888,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716
26,981,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785
27,1085,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861
28,1200,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945
29,1326,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036,1036
30,1464,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135,1135
31,1616,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
32,1782,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360
33,1962,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486
34,2156,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621
35,2368,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767,1767
36,2595,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922
37,2840,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088,2088
38,3103,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265,2265
