属性分配比例ID,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,气力值,速度,冷却缩减
id,hp,atk,def,damageDef,damage,critical,criticalDef,criticalDamage,fire,ice,thunder,dark,fireDef,iceDef,thunderDef,darkDef,hpCut,damageReflect,mp,shield,speed,cdCut
r_jingjichang,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,10000,10000,9000,0
r_test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_1,-6240,-4667,-4667,-4667,-4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_2,-2330,-167,-167,-167,-167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_3,-2338,-879,-879,-879,-879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_4,-3148,-2533,-1215,-1215,-1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_5,-4129,-4409,-681,-681,-681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_6,-5284,-1267,-1267,-1267,-1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_7,-3488,-1317,-1317,-1317,-1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_8,-5440,-3667,-1556,-1556,-1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,0,0
r_guanqia_9,-4058,-2870,-2077,-2077,-2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_10,-3902,-2002,-3,-3,-2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_11,-3686,-1107,-1107,-1107,-1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_12,-3368,-1593,-659,-659,-659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_13,-3884,-1531,-590,-590,-590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_14,-6544,-1359,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_15,-2742,-653,997,997,997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_16,1316,1316,1316,1316,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_17,1197,1197,1197,1197,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_18,1172,613,1172,1172,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_19,-37,-37,-37,-37,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_20,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_21,389,389,389,389,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1600,0,0
r_guanqia_22,1040,1040,1040,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1200,0,0
r_guanqia_23,1111,1111,1111,1111,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-800,0,0
r_guanqia_24,1392,1392,1392,1392,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,0,0
r_guanqia_25,142,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_26,3876,3876,3876,3876,3876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_27,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_28,-139,-139,-139,-139,-139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_29,-245,-245,-245,-245,-245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_31,137,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_32,368,368,368,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_33,-109,-109,-109,-109,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_34,274,274,274,274,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_35,225,225,225,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_36,383,383,383,383,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_37,619,619,619,619,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_38,139,139,139,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_39,504,504,504,504,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_41,126,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_42,335,335,335,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_43,-107,-107,-107,-107,-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_44,243,243,243,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_45,192,192,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_46,337,337,337,337,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_47,555,555,555,555,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_48,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_49,444,444,444,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_51,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_52,305,305,305,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_53,-109,-109,-109,-109,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_54,212,212,212,212,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_55,165,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_56,298,298,298,298,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_57,498,498,498,498,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_58,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_59,405,405,405,405,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_61,104,104,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_62,278,278,278,278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_63,-105,-105,-105,-105,-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_64,190,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_65,142,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_66,265,265,265,265,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_67,450,450,450,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_68,76,76,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_69,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_71,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_72,256,256,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_73,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_74,169,169,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_75,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_76,239,239,239,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_77,410,410,410,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_78,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_79,337,337,337,337,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
