等级,系数（装备、角色、宠物）,角色减伤率(f(lv),宠物减伤率f(lv),怪物减伤率f(lv)
lv,rate,defRateRole,defRatePet,defRateMonster
1,0,63,63,63
2,5,73,73,54
3,10,82,82,66
4,15,93,93,79
5,20,104,104,94
6,25,116,116,105
7,30,129,129,110
8,35,143,143,122
9,40,158,158,142
10,45,164,164,164
11,50,173,173,173
12,55,183,183,183
13,60,192,192,192
14,65,202,202,202
15,70,240,240,240
16,75,260,260,260
17,80,280,280,280
18,85,300,300,300
19,90,320,320,320
20,95,422,422,422
21,100,458,458,458
22,105,496,496,496
23,110,536,536,536
24,115,579,579,579
25,120,716,716,716
26,125,785,785,785
27,130,861,861,861
28,135,945,945,945
29,140,1036,1036,1036
30,145,1135,1135,1135
31,150,1243,1243,1243
32,155,1360,1360,1360
33,160,1486,1486,1486
34,165,1621,1621,1621
35,170,1767,1767,1767
36,175,1922,1922,1922
37,180,2088,2088,2088
38,185,2265,2265,2265
39,190,2453,2453,2453
40,195,2652,2652,2652
41,200,2864,2864,2864
42,205,3087,3087,3087
43,210,3324,3324,3324
44,215,3573,3573,3573
45,220,3835,3835,3835
46,225,4111,4111,4111
47,230,4400,4400,4400
48,235,4704,4704,4704
49,240,5022,5022,5022
50,245,5356,5356,5356
51,250,5704,5704,5704
52,255,6068,6068,6068
53,260,6448,6448,6448
54,265,6845,6845,6845
55,270,7258,7258,7258
56,275,7687,7687,7687
57,280,8134,8134,8134
58,285,8599,8599,8599
59,290,9081,9081,9081
60,295,9582,9582,9582
61,300,10101,10101,10101
62,305,10640,10640,10640
63,310,11197,11197,11197
64,315,11774,11774,11774
65,320,12371,12371,12371
66,325,12989,12989,12989
67,330,13627,13627,13627
68,335,14286,14286,14286
69,340,14966,14966,14966
70,345,15668,15668,15668
71,350,16391,16391,16391
72,355,17138,17138,17138
73,360,17906,17906,17906
74,365,18698,18698,18698
75,370,19513,19513,19513
76,375,20352,20352,20352
77,380,21214,21214,21214
78,385,22101,22101,22101
79,390,23013,23013,23013
80,395,23949,23949,23949
81,400,24911,24911,24911
82,405,25899,25899,25899
83,410,26912,26912,26912
84,415,27952,27952,27952
85,420,29019,29019,29019
86,425,30113,30113,30113
87,430,31233,31233,31233
88,435,32382,32382,32382
89,440,33559,33559,33559
90,445,34764,34764,34764
91,450,35997,35997,35997
92,455,37260,37260,37260
93,460,38552,38552,38552
94,465,39874,39874,39874
95,470,41226,41226,41226
96,475,42608,42608,42608
97,480,44021,44021,44021
98,485,45465,45465,45465
99,490,46940,46940,46940
100,495,48447,48447,48447
