,怪物id,怪物ai,组Id,序列组id
id,roleId,aiType,groupId,partId
1,xb_01,ai_tongyong:小怪,骷髅送菜组1,骷髅送菜组
2,xb_01,ai_tongyong:小怪,骷髅送菜组1,骷髅送菜组
3,xb_01,ai_tongyong:小怪,骷髅送菜组1,骷髅送菜组
4,xb_01,ai_tongyong:小怪,骷髅送菜组2,骷髅送菜组
5,xb_01,ai_tongyong:小怪,骷髅送菜组2,骷髅送菜组
6,xb_02,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组2,骷髅送菜组
7,xb_03,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组3,骷髅送菜组
8,xb_02,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组3,骷髅送菜组
9,xb_01,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组3,骷髅送菜组
10,xb_02,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组4,骷髅送菜组
11,xb_02,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组4,骷髅送菜组
12,xb_03,ai_tongyong_yuan:傻得远程小怪,骷髅送菜组4,骷髅送菜组
13,jy_01,ai_jy_01:火焰雕像AI,难缠小组1,难缠小组
14,xb_01,ai_tongyong:小怪,难缠小组1,难缠小组
15,xb_01,ai_tongyong:小怪,难缠小组1,难缠小组
16,jy_02,ai_jy_02:冰雕像AI,难缠小组2,难缠小组
17,xb_03,ai_tongyong_yuan:傻得远程小怪,难缠小组2,难缠小组
18,xb_02,ai_tongyong_yuan:傻得远程小怪,难缠小组2,难缠小组
19,jy_01,ai_jy_01:火焰雕像AI,难缠小组3,难缠小组
20,xb_01,ai_tongyong:小怪,难缠小组3,难缠小组
21,xb_02,ai_tongyong_yuan:傻得远程小怪,难缠小组3,难缠小组
22,jy_01,ai_jy_01:火焰雕像AI,难缠小组4,难缠小组
23,xb_02,ai_tongyong_yuan:傻得远程小怪,难缠小组4,难缠小组
24,xb_06,ai_baowei:小兵包围AI,恶心小组1,恶心小组
25,xb_06,ai_baowei:小兵包围AI,恶心小组1,恶心小组
26,xb_06,ai_baowei:小兵包围AI,恶心小组1,恶心小组
27,xb_06,ai_baowei:小兵包围AI,恶心小组2,恶心小组
28,xb_07,ai_baowei:小兵包围AI,恶心小组2,恶心小组
29,xb_06,ai_baowei:小兵包围AI,恶心小组2,恶心小组
30,xb_06,ai_baowei:小兵包围AI,恶心小组3,恶心小组
,xb_07,ai_baowei:小兵包围AI,恶心小组3,恶心小组
,xb_08,ai_xb_yuancheng:远程小兵通用AI,恶心小组3,恶心小组
,xb_07,ai_baowei:小兵包围AI,恶心小组4,恶心小组
,xb_07,ai_baowei:小兵包围AI,恶心小组4,恶心小组
,xb_08,ai_xb_yuancheng:远程小兵通用AI,恶心小组4,恶心小组
,jy_01,ai_jy_01:火焰雕像AI,头疼小组1,头疼小组
,xb_06,ai_baowei:小兵包围AI,头疼小组1,头疼小组
,xb_06,ai_baowei:小兵包围AI,头疼小组1,头疼小组
,jy_01,ai_jy_01:火焰雕像AI,头疼小组2,头疼小组
,xb_06,ai_baowei:小兵包围AI,头疼小组2,头疼小组
,xb_07,ai_baowei:小兵包围AI,头疼小组2,头疼小组
,jy_02,ai_jy_02:冰雕像AI,头疼小组3,头疼小组
,xb_07,ai_baowei:小兵包围AI,头疼小组3,头疼小组
,xb_08,ai_xb_yuancheng:远程小兵通用AI,头疼小组3,头疼小组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组1,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组1,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组1,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组1,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组1,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组2,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组2,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组2,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组2,关门放狗组
,xb_02,ai_xb_04:僵尸狗AI,关门放狗组2,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组3,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组3,关门放狗组
,xb_02,ai_tongyong_yuan:傻得远程小怪,关门放狗组3,关门放狗组
,xb_03,ai_tongyong_yuan:傻得远程小怪,关门放狗组3,关门放狗组
,xb_04,ai_xb_04:僵尸狗AI,关门放狗组3,关门放狗组
,xb_05,ai_shixianggui:石像鬼AI,空袭部队,空袭部队
,xb_05,ai_shixianggui:石像鬼AI,空袭部队,空袭部队
,xb_05,ai_shixianggui:石像鬼AI,空袭部队,空袭部队
,xb_02,ai_tongyong_yuan:傻得远程小怪,远程空降组1,远程空降组
,xb_02,ai_tongyong_yuan:傻得远程小怪,远程空降组1,远程空降组
,xb_05,ai_shixianggui:石像鬼AI,远程空降组1,远程空降组
,xb_07,ai_baowei:小兵包围AI,远程空降组2,远程空降组
,xb_08,ai_xb_yuancheng:远程小兵通用AI,远程空降组2,远程空降组
,xb_05,ai_shixianggui:石像鬼AI,远程空降组2,远程空降组
,xb_01,ai_tongyong:小怪,近战空降组1,近战空降组
,xb_01,ai_tongyong:小怪,近战空降组1,近战空降组
,xb_05,ai_shixianggui:石像鬼AI,近战空降组1,近战空降组
,xb_06,ai_baowei:小兵包围AI,近战空降组2,近战空降组
,xb_06,ai_baowei:小兵包围AI,近战空降组2,近战空降组
,xb_05,ai_shixianggui:石像鬼AI,近战空降组2,近战空降组
,xb_05,ai_shixianggui:石像鬼AI,空袭部队+狗队,近战空降组
,xb_05,ai_shixianggui:石像鬼AI,空袭部队+狗队,近战空降组
,xb_04,ai_xb_04:僵尸狗AI,空袭部队+狗队,近战空降组
,xb_04,ai_xb_04:僵尸狗AI,空袭部队+狗队,近战空降组
,xb_04,ai_xb_04:僵尸狗AI,空袭部队+狗队,近战空降组
,xb_06,ai_baowei:小兵包围AI,训犬组合1,训犬组合
,xb_06,ai_baowei:小兵包围AI,训犬组合1,训犬组合
,xb_04,ai_xb_04:僵尸狗AI,训犬组合1,训犬组合
,xb_04,ai_xb_04:僵尸狗AI,训犬组合1,训犬组合
,xb_04,ai_xb_04:僵尸狗AI,训犬组合1,训犬组合
,xb_07,ai_baowei:小兵包围AI,训犬组合2,训犬组合
,xb_08,ai_xb_yuancheng:远程小兵通用AI,训犬组合2,训犬组合
,xb_04,ai_xb_04:僵尸狗AI,训犬组合2,训犬组合
,xb_04,ai_xb_04:僵尸狗AI,训犬组合2,训犬组合
,xb_04,ai_xb_04:僵尸狗AI,训犬组合2,训犬组合
,xb_07,ai_baowei:小兵包围AI,骷髅军团,骷髅军团
,xb_08,ai_xb_yuancheng:远程小兵通用AI,骷髅军团,骷髅军团
,xb_01,ai_tongyong:小怪,骷髅军团,骷髅军团
,xb_01,ai_tongyong:小怪,骷髅军团,骷髅军团
,xb_01,ai_tongyong:小怪,骷髅军团,骷髅军团
,xb_02,ai_tongyong_yuan:傻得远程小怪,骷髅军团,骷髅军团
,xb_03,ai_tongyong_yuan:傻得远程小怪,骷髅军团,骷髅军团
,jy_01,ai_jy_01:火焰雕像AI,精英组合1,精英组合
,jy_01,ai_jy_01:火焰雕像AI,精英组合1,精英组合
,jy_01,ai_jy_01:火焰雕像AI,精英组合2,精英组合
,jy_02,ai_jy_02:冰雕像AI,精英组合2,精英组合
,jy_01,ai_jy_01:火焰雕像AI,精英组合3,精英组合
,jy_01,ai_jy_01:火焰雕像AI,精英组合3,精英组合
,jy_02,ai_jy_02:冰雕像AI,精英组合3,精英组合
,xb_09,ai_xb_yuancheng:远程小兵通用AI,羊头投弹组1,羊头投弹组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,羊头投弹组1,羊头投弹组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,羊头投弹组1,羊头投弹组
,xb_04,ai_xb_04:僵尸狗AI,羊头投弹组1,羊头投弹组
,xb_04,ai_xb_04:僵尸狗AI,羊头投弹组1,羊头投弹组
,xb_04,ai_xb_04:僵尸狗AI,羊头投弹组1,羊头投弹组
,jy_01,ai_xb_04:僵尸狗AI,精英羊头组,精英羊头组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,精英羊头组,精英羊头组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,精英羊头组,精英羊头组
,xb_06,ai_baowei:小兵包围AI,蛮族羊头组,蛮族羊头组
,xb_06,ai_baowei:小兵包围AI,蛮族羊头组,蛮族羊头组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,蛮族羊头组,蛮族羊头组
,xb_07,ai_baowei:小兵包围AI,远程猥琐组,远程猥琐组
,xb_08,ai_xb_yuancheng:远程小兵通用AI,远程猥琐组,远程猥琐组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,远程猥琐组,远程猥琐组
,bs_04,ai_bs_04:双刀羊AI,羊头兄弟组,羊头兄弟组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,羊头兄弟组,羊头兄弟组
,xb_09,ai_xb_yuancheng:远程小兵通用AI,羊头兄弟组,羊头兄弟组
,xb_06,ai_baowei:小兵包围AI,跳蚤组1,跳蚤组
,bs_04,ai_bs_04:双刀羊AI,跳蚤组1,跳蚤组
,xb_07,ai_baowei:小兵包围AI,跳蚤组2,跳蚤组
,bs_04,ai_bs_04:双刀羊AI,跳蚤组2,跳蚤组
,jy_01,ai_jy_01:火焰雕像AI,疯狂双雄,疯狂双雄
,bs_04,ai_bs_04:双刀羊AI,疯狂双雄,疯狂双雄
,xb_04,ai_xb_04:僵尸狗AI,地狱两兄弟,地狱两兄弟
,xb_04,ai_xb_04:僵尸狗AI,地狱两兄弟,地狱两兄弟
,xb_04,ai_xb_04:僵尸狗AI,地狱两兄弟,地狱两兄弟
,xb_04,ai_xb_04:僵尸狗AI,地狱两兄弟,地狱两兄弟
,bs_02,ai_tongyong:小怪,地狱两兄弟,地狱两兄弟
,bs_02,ai_tongyong:小怪,地狱军团,地狱军团
,xb_02,ai_tongyong_yuan:傻得远程小怪,地狱军团,地狱军团
,xb_03,ai_tongyong_yuan:傻得远程小怪,地狱军团,地狱军团
,xb_02,ai_tongyong_yuan:傻得远程小怪,地狱军团,地狱军团
,jy_02,ai_jy_02:冰雕像AI,丧心病狂地狱组,丧心病狂地狱组
,bs_02,ai_tongyong:小怪,丧心病狂地狱组,丧心病狂地狱组
,bs_01,ai_bs_01:巨人AI,蛮族巨人组1,蛮族巨人组
,xb_06,ai_baowei:小兵包围AI,蛮族巨人组1,蛮族巨人组
,bs_01,ai_bs_01:巨人AI,蛮族巨人组2,蛮族巨人组
,xb_07,ai_baowei:小兵包围AI,蛮族巨人组2,蛮族巨人组
,jy_03,ai_jy_03:羊BOSSAI,羊头三杰,羊头三杰
,bs_04,ai_bs_04:双刀羊AI,羊头三杰,羊头三杰
,xb_09,ai_xb_yuancheng:远程小兵通用AI,羊头三杰,羊头三杰
,jy_03,ai_jy_03:羊BOSSAI,羊头二人转,羊头二人转
,bs_04,ai_bs_04:双刀羊AI,羊头二人转,羊头二人转
