tips id,内容,图标
id,desc,image
1,每天12:00-14:00，18:00-22:00记得拜领维纳斯的恩赐，领取体力哦！,ui_big_bg_01
2,针对敌人的属性弱点使用武器的属性攻击可以使战斗轻松许多！,ui_big_bg_01
3,游戏中每5分钟可回复1点体力！,ui_big_bg_01
4,哈迪斯之血副本产出大量神侍经验和神侍装备卷轴,ui_big_bg_01
5,挚爱守护副本产出大量神侍进阶石,ui_big_bg_01
6,普通攻击和技能都分为3段来施放，灵活组合起来使用效果更佳！,ui_big_bg_01
7,完成每日任务提高活跃度可以获得丰厚的经验与钻石奖励！,ui_big_bg_02
8,助战的神侍可以提升主战神侍的能力！,ui_big_bg_02
9,合理的派遣不同类型的神侍出战可以更轻松应对各种挑战！,ui_big_bg_02
10,商店里可以兑换神侍碎片、神侍装备卷轴、金币、经验灵药等各种物品！,ui_big_bg_02
11,装备每提升5级后，需要进阶1次才能继续提升等级！,ui_big_bg_02
12,在竞技场中当前最高排名每提升1次都可获得钻石奖励！,ui_big_bg_02
13,武器觉醒后可以获得强力的被动技能！,ui_big_bg_02
14,武器技能铭文可使武器技能获得各种特殊效果！,ui_big_bg_02
15,活动的刷新时间是每天的05:00！,ui_big_bg_02
16,当boss身边有小怪时可利用冲撞进行防御并对boss造成大量伤害！,ui_big_bg_01
17,用处决击杀掉敌人后会回复少量的生命值！,ui_big_bg_01
18,长按处决按钮可以将非人形怪物踢飞！,ui_big_bg_01
19,躲在高地上的远程怪物记得用挑空攻击来消灭！,ui_big_bg_02
20,怪物脚底出现红色警戒圈时，要注意躲避怪物的攻击！,ui_big_bg_02
