章节ID,普通关卡奖励内容,精英关卡奖励内容
id,normalReward,specialReward
1,"20011|10,20012|20,20013|30,30","20011|10,20012|20,20013|30,30"
2,"20021|10,20022|20,20023|30,30","20021|10,20022|20,20023|30,30"
3,"20031|10,20032|20,20033|30,30","20031|10,20032|20,20033|30,30"
4,"20041|10,20042|20,20043|30,30","20041|10,20042|20,20043|30,30"
5,"20051|10,20052|20,20053|30,30","20051|10,20052|20,20053|30,30"
6,"20061|10,20062|20,20063|30,30","20061|10,20062|20,20063|30,30"
7,"20071|10,20072|20,20073|30,30","20071|10,20072|20,20073|30,30"
8,"20081|10,20082|20,20083|30,30","20081|10,20082|20,20083|30,30"
9,"20091|10,20092|20,20093|30,30","20091|10,20092|20,20093|30,30"
10,"20101|10,20102|20,20103|30,30","20101|10,20102|20,20103|30,30"
11,"20111|10,20112|20,20113|30,30","20111|10,20112|20,20113|30,30"
12,"20121|10,20122|20,20123|30,30","20121|10,20122|20,20123|30,30"
13,"20131|10,20132|20,20133|30,30","20131|10,20132|20,20133|30,30"
14,"20141|10,20142|20,20143|30,30","20141|10,20142|20,20143|30,30"
15,"20151|10,20152|20,20153|30,30","20151|10,20152|20,20153|30,30"
16,"20161|10,20162|20,20163|30,30","20161|10,20162|20,20163|30,30"
17,"20171|10,20172|20,20173|30,30","20171|10,20172|20,20173|30,30"
18,"20181|10,20182|20,20183|30,30","20181|10,20182|20,20183|30,30"
19,"20191|10,20192|20,20193|30,30","20191|10,20192|20,20193|30,30"
20,"20201|10,20202|20,20203|30,30","20201|10,20202|20,20203|30,30"
