UI资源,对应音效id
imgName,soundId
ui_baoxiang_jiangliyulan,101
ui_baoxiang_suipianduihuan,101
ui_gonghui_icon_di,101
ui_guanqia_anniu_00,101
ui_guanqia_anniu_01,101
ui_guanqia_anniu_02,101
ui_guanqia_anniu_03,101
ui_guanqia_nandu_anniu_01,101
ui_guanqia_nandu_anniu_02,101
ui_guanqia_nandu_anniu_03,101
ui_guanqia_nandu_anniu_04,101
ui_guanqia_kuang_02,101
ui_guanqia_xuanze_kuang,101
ui_huodong_xiangzi_01,101
ui_huodong_xiangzi_03,101
ui_huodong_xiangzi_05,101
ui_huodong_xiangzi_07,101
ui_jingji_anniu_jingji_xia,101
ui_jingji_anniu_qiehuan,101
ui_jingji_guizeshuoming,101
ui_pet_aniu_11,101
ui_pet_aniu_12,101
ui_pet_anniu_01,101
ui_pet_anniu_02,101
ui_pet_anniu_03,101
ui_pet_anniu_04,101
ui_pet_anniu_quanbushenshi,101
ui_pet_di_jineng_01,101
ui_tongyong_anniu_01,101
ui_tongyong_anniu_02,101
ui_tongyong_anniu_03,101
ui_tongyong_anniu_04,101
ui_tongyong_anniu_05,101
ui_tongyong_anniu_06,101
ui_tongyong_anniu_07,101
ui_tongyong_anniu_08,101
ui_tongyong_anniu_09,101
ui_tongyong_anniu_10,101
ui_tongyong_anniu_11,101
ui_tongyong_anniu_12,101
ui_tongyong_anniu_13,101
ui_tongyong_anniu_14,101
ui_tongyong_anniu_15,101
ui_tongyong_anniu_17,101
ui_tongyong_anniu_18,101
ui_tongyong_anniu_19,101
ui_tongyong_anniu_20,101
ui_tongyong_anniu_lingqu,101
ui_tongyong_anniu_tianjia,101
ui_tongyong_anniu_zengsong,101
ui_tongyong_zhuangshi_15,101
ui_zhucheng_kuang_01,101
ui_zhucheng_kuang_02,101
ui_zhanzhen_tubiaokuang,101
