角色预制体名,动作名,第几帧,对应音效id,销毁时停止声音
mod,ani,frame,soundId,stopIfEnd
mod_kratos_02,paobu,0,21,1
mod_kratos_02,xialuo,0,24,1
mod_14001_01,chuchang,0,20103,1
mod_14001_01,siwang,0,20104,1
mod_14001_02,chuchang,0,20103,1
mod_14001_02,siwang,0,20104,1
mod_14001_03,chuchang,0,20103,1
mod_14001_03,siwang,0,20104,1
mod_jiangshilang_01,chuchang,0,20403,1
mod_jiangshilang_01,siwang,0,20404,1
mod_14011_01,chuchang,0,30104,1
mod_14011_01,siwang,0,30105,1
mod_14011_02,chuchang,0,30104,1
mod_14011_02,siwang,0,30105,1
mod_14015,chuchang,0,40105,1
mod_14015,siwang,0,40106,1
mod_diyuquan_01,chuchang,0,40206,1
mod_diyuquan_01,siwang,0,40207,1
mod_Gargoyle_color,chuchang,0,20501,1
mod_Gargoyle_color,siwang,0,20503,1
mod_renleizhanshi_01,chuchang,0,20601,1
mod_renleizhanshi_01,siwang,0,20602,1
mod_renleigongbing_01,chuchang,0,20601,1
mod_renleigongbing_01,siwang,0,20602,1
mod_renleifashi_01,chuchang,0,20601,1
mod_renleifashi_01,siwang,0,20602,1
mod_yangtou_xb01,chuchang,0,20901,1
mod_yangtou_xb02,siwang,0,20902,1
mod_yangtou_jy_11011,chuchang,0,30301,1
mod_yangtou_jy_11011,siwang,0,30305,1
mod_xiezi,chuchang,0,40301,1
mod_xiezi,siwang,0,40306,1
mod_yangtou_jy02,chuchang,0,40401,1
mod_yangtou_jy02,siwang,0,40403,1
mod_haigelisi_pet,chuchang,0,40501,1
mod_haigelisi_pet,siwang,0,40507,1
mod_Heiannvshen_01,chuchang,0,50801,1
mod_Heiannvshen_01,siwang,0,50805,1
mod_Hades_diaosu,siwang,0,205,1
mod_baoxiang,siwang,0,204,1
mod_muxiang,siwang,0,206,1
mod_muxiang002,siwang,0,206,1
mod_jinshuguan_01,siwang,0,207,1
mod_jinshuguan_02,siwang,0,207,1
