id,所属变强id,列表图标资源,图标底图品质,列表名称,列表描述,列表星级,所属系统或活动
id,strongerId,icon,quality,name,description,star,type
1,1,ui_zhucheng_icon_wuqi,,技能升级,,,equipSkillLv
2,1,ui_zhucheng_icon_wuqi,,装备等阶,,,equipAdvLv
3,1,ui_zhucheng_icon_wuqi,,圣火培养,,,flame
4,1,ui_zhucheng_icon_wuqi,,铭文升级,,,weaponTtalentLv
5,1,ui_zhucheng_icon_wuqi,,神器争夺,,,treasure
6,1,ui_zhucheng_icon_wuqi,,装备觉醒,,,equipStar
7,2,ui_zhucheng_icon_wuqi,,神侍技能,,,petSkill
8,2,ui_zhucheng_icon_wuqi,,装备进阶,,,petEquipAdvLv
9,2,ui_zhucheng_icon_wuqi,,神侍突破,,,petAdvLv
10,2,ui_zhucheng_icon_wuqi,,装备觉醒,,,petEquipStar
11,2,ui_zhucheng_icon_wuqi,,神侍天赋,,,petTalent
12,2,ui_zhucheng_icon_wuqi,,神侍升星,,,petStar
13,3,ui_zhucheng_icon_wuqi,,每日任务,完成每日任务可获得大量经验,5,dailyTask
14,3,ui_zhucheng_icon_wuqi,,勇士试炼,参与勇士试炼可获得大量经验,4,warriorTried
15,3,ui_zhucheng_icon_wuqi,,挑战关卡,挑战关卡可获得经验,2,normalLevel
16,4,ui_zhucheng_icon_wuqi,,每日任务,完成每日任务可获得钻石,5,dailyTask
17,4,ui_zhucheng_icon_wuqi,,成长任务,完成成长任务可获得钻石,4,growthTask
18,4,ui_zhucheng_icon_wuqi,,竞技场,在竞技场可获得钻石,3,arena
19,4,ui_zhucheng_icon_wuqi,,充值,充值可获得钻石,5,recharge
20,4,ui_zhucheng_icon_wuqi,,冲级豪礼,冲级豪礼可获得钻石,5,levelReward
21,5,ui_zhucheng_icon_wuqi,,金币副本,金币副本可获得大量金币,5,goldLevel
22,5,ui_zhucheng_icon_wuqi,,每日任务,每日任务可获得大量金币,4,dailyTask
23,5,ui_zhucheng_icon_wuqi,,竞技场,竞技场可获得大量金币,3,arena
