等级,英雄身上装备等阶,英雄身上装备觉醒星级,英雄技能等级,铭文等级,神器个数|神器等级,"圣火类型|圣火等级,圣火类型|圣火等级,圣火类型|圣火等级"
level,equipAdvLv,equipStar,equipSkillLv,weaponTalentLv,treasure,flame
1,1,0,1,0,0|1,"100|0,200|0,300|0,400|0,500|0"
2,1,0,1,0,0|1,"100|0,200|0,300|0,400|0,500|0"
3,1,0,1,0,0|1,"100|0,200|0,300|0,400|0,500|0"
4,1,0,1,0,0|1,"100|0,200|0,300|0,400|0,500|0"
5,2,0,1,0,0|1,"100|0,200|0,300|0,400|0,500|0"
6,2,0,1,0,0|1,"100|0,200|0,300|0,400|0,500|0"
7,2,0,7,0,0|1,"100|0,200|0,300|0,400|0,500|0"
8,2,0,8,0,0|1,"100|0,200|0,300|0,400|0,500|0"
9,2,0,9,0,0|1,"100|0,200|0,300|0,400|0,500|0"
10,3,0,10,0,0|1,"100|0,200|0,300|0,400|0,500|0"
11,3,0,11,0,0|1,"100|0,200|0,300|0,400|0,500|0"
12,3,0,12,0,0|1,"100|0,200|0,300|0,400|0,500|0"
13,3,0,13,0,0|1,"100|0,200|0,300|0,400|0,500|0"
14,3,0,14,0,0|1,"100|0,200|0,300|0,400|0,500|0"
15,4,0,15,0,0|1,"100|0,200|0,300|0,400|0,500|0"
16,4,0,16,0,0|1,"100|0,200|0,300|0,400|0,500|0"
17,4,0,17,0,0|1,"100|0,200|0,300|0,400|0,500|0"
18,4,0,18,0,0|1,"100|0,200|0,300|0,400|0,500|0"
19,4,0,19,0,0|1,"100|0,200|0,300|0,400|0,500|0"
20,5,0,20,0,0|1,"100|0,200|0,300|0,400|0,500|0"
21,5,0,21,0,0|1,"100|8,200|0,300|0,400|0,500|0"
22,5,0,22,0,0|1,"100|10,200|0,300|0,400|0,500|0"
23,5,0,23,0,0|1,"100|12,200|0,300|0,400|0,500|0"
24,5,0,24,0,0|1,"100|15,200|0,300|0,400|0,500|0"
25,7,0,25,0,0|1,"100|20,200|0,300|0,400|0,500|0"
26,7,0,26,0,1|1,"100|22,200|0,300|0,400|0,500|0"
27,7,0,27,0,1|1,"100|25,200|0,300|0,400|0,500|0"
28,7,0,28,2,1|1,"100|27,200|0,300|0,400|0,500|0"
29,7,0,29,2,1|1,"100|29,200|0,300|0,400|0,500|0"
30,9,1,30,2,2|1,"100|30,200|0,300|0,400|0,500|0"
31,9,1,31,2,2|1,"100|31,200|8,300|0,400|0,500|0"
32,9,1,32,2,2|1,"100|32,200|10,300|0,400|0,500|0"
33,9,1,33,2,2|1,"100|33,200|12,300|0,400|0,500|0"
34,9,1,34,2,2|1,"100|34,200|15,300|0,400|0,500|0"
35,11,1,35,2,2|1,"100|35,200|20,300|0,400|0,500|0"
36,11,1,36,2,2|1,"100|36,200|22,300|0,400|0,500|0"
37,11,1,37,2,2|1,"100|37,200|25,300|0,400|0,500|0"
38,11,1,38,2,2|1,"100|38,200|27,300|0,400|0,500|0"
39,11,1,39,2,2|1,"100|39,200|29,300|0,400|0,500|0"
40,13,2,40,2,2|1,"100|40,200|30,300|0,400|0,500|0"
41,13,2,41,3,2|1,"100|41,200|31,300|8,400|0,500|0"
42,13,2,42,3,2|1,"100|42,200|32,300|10,400|0,500|0"
43,13,2,43,3,2|1,"100|43,200|33,300|12,400|0,500|0"
44,13,2,44,3,2|1,"100|44,200|34,300|15,400|0,500|0"
45,15,2,45,3,2|1,"100|45,200|35,300|20,400|0,500|0"
46,15,2,46,3,2|1,"100|46,200|36,300|22,400|0,500|0"
47,15,2,47,3,2|1,"100|47,200|37,300|25,400|0,500|0"
48,15,2,48,3,2|1,"100|48,200|38,300|27,400|0,500|0"
49,15,2,49,3,2|1,"100|49,200|39,300|29,400|0,500|0"
50,17,3,50,3,2|1,"100|50,200|40,300|30,400|0,500|0"
51,17,3,51,4,2|1,"100|50,200|41,300|31,400|8,500|0"
52,17,3,52,4,2|1,"100|50,200|42,300|32,400|10,500|0"
53,17,3,53,4,2|1,"100|50,200|43,300|33,400|12,500|0"
54,17,3,54,4,2|1,"100|50,200|44,300|34,400|15,500|0"
55,19,3,55,4,2|1,"100|50,200|45,300|35,400|20,500|0"
56,19,3,56,4,2|1,"100|50,200|46,300|36,400|22,500|0"
57,19,3,57,4,2|1,"100|50,200|47,300|37,400|25,500|0"
58,19,3,58,4,2|1,"100|50,200|48,300|38,400|27,500|0"
59,19,3,59,4,2|1,"100|50,200|49,300|39,400|29,500|0"
60,21,4,60,5,2|1,"100|50,200|50,300|40,400|30,500|0"
61,21,4,61,5,2|1,"100|50,200|50,300|41,400|31,500|8"
62,21,4,62,5,2|1,"100|50,200|50,300|42,400|32,500|10"
63,21,4,63,5,2|1,"100|50,200|50,300|43,400|33,500|12"
