ID,类型,"叠加类型(0替换,1可叠加)",举例,"参数说明
释放者或者作用对象:0默认自己，1释放者，2别人,3仇恨目标,4仇恨值目标,5仇恨值目标(不自动查找),6最近的友方,7最近的敌方,8最近的中立阵营,9主人,10主角
值:0.5,30%,{up1:kratos},{up1:kratos}%
"
id,type,overlay,,param
1,空状态,1,调试信息,调试信息
2,增减属性,1,"攻击|100,护甲|30%","属性名|值,属性名|值....
属性名,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,速度,冷却缩减,"
3,增减血,1,"上限,30%,1,0","类型,值,ui显示,对象
类型：上限/当前/生命/攻击/护甲...
值:正数加血，加完血不会超过血量上限，负数扣血，扣完血小于等于0则死亡，举例:30、-30、30%、-30%
ui显示:1显示，0不显示
对象：//0默认自己，1释放者，2别人,3仇恨目标,4仇恨值目标,5仇恨值目标(不自动查找),6最近的友方,7最近的敌方,8最近的中立阵营,9主人,10主角"
4,增减耐力,1,"上限,30%","类型,值
类型，上限/当前"
5,免疫状态,1,"增减血|0,增减血|1","目标状态类型|优先级,目标状态类型|优先级.....
当优先级高于目标状态的免疫优先级，加这个状态的时候身上所有的目标状态被删除，这个状态期间目标状态加不进来
优先级，0默认"
6,免疫事件,1,"被击,浮空,击飞","目标事件类型|优先级|免疫对象类型,目标事件类型|优先级|免疫对象类型.....
当角色作为目标技能事件的对象，且优先级高于目标事件的优先级，该事件不执行
目标事件类型,被击,浮空,击飞,伤害,移动,卡帧,特效,跳起,技能,动作特效,推镜,触发状态,也可以填全部
优先级，0默认
免疫对象类型，0默认只免疫别人对自己的事件，1只免疫自己对自己的事件，2免疫所有事件"
7,组合,1,"1001,1002,1003","状态列表,[结束时删除],[作用对象],[释放者]
创建多个子状态
结束时删除，1默认结束的时候删除所有子状态，否则不删除"
8,增减气力,1,"上限,30%","类型,值
类型，上限/当前"
9,动作序列,1,"xuanyun:循环:3|gongji01:单次:-1|xuanyun:来回:-2,移动|战斗","动作序列上下文,免疫行为列表
角色进入一个播放一系列动作的行为中，这个行为的将替代待机行为
动作序列上下文,动作1:循环方式:持续时间:渐变时间|动作2:循环方式:持续时间:渐变时间|动作3:循环方式:持续时间:渐变时间
循环方式，单次、循环、来回
持续时间，-2默认永久，-1动作结束结束，否则持续多久之后结束
免疫行为列表，此行为能免疫某些行为,移动|战斗|被击|死亡|下落|换武器"
10,被动事件触发,1,"伤害,10086|10087","事件类型,状态列表,[作用对象],[释放者]
当别人给角色释放技能事件的时候
目标事件类型,被击,浮空,击飞,伤害,移动,卡帧,特效,跳起,技能,动作特效,推镜,触发状态"
11,触发事件组,1,event_group_0002,事件组id
12,触发技能,1,"skill_01,2,1","技能id,[作用对象],[强制]
作用对象，默认自动朝向，没有找到作用对象的话也自动朝向
强制，1默认强制"
13,免疫伤害反弹,1,,"无参数
对敌人造成伤害时免疫其对可能自己造成的伤害反弹"
14,增减攻击伤害,1,30%,"值,[受击者标记]
伤害值 = 最终伤害*(1+增减攻击伤害+增减受击伤害)
受击者标记,默认为空，否则判断下受击者身上有没有这个标记，有的话才增加攻击伤害"
15,增减受击伤害,1,-30%,"值
伤害值 = 最终伤害*(1+增减攻击伤害+增减受击伤害)"
16,主动事件触发,1,"伤害,10086|10087","事件类型,状态列表,[作用对象],[释放者]
当角色给别人释放技能事件的时候
目标事件类型,被击,浮空,击飞,伤害,移动,卡帧,特效,跳起,技能,动作特效,推镜,触发状态"
17,加印记,1,"印记1,10",印记名，数量
18,主动印记触发,1,"印记1,10,10086|10087|10088","印记名，达到数量，状态列表,[作用对象],[释放者]
当角色给别人加印记的时候"
19,被动印记触发,1,"印记1,10,10086|10087|10088","印记名，达到数量，状态列表,[作用对象],[释放者]
当别人给角色加印记的时候"
20,主动杀死触发,1,10086|10087,"状态列表,[作用对象],[释放者]
当角色杀死别人的时候"
21,被动杀死触发,1,10086|10087,"状态列表,[作用对象],[释放者]
当别人杀死角色的时候
作用对象、释放者默认都是别人而不是自己，因为自己已经死了，不太方便再参与战斗计算"
22,概率,1,"30%,10086|10087","值,状态列表,[作用对象],[释放者]
值，概率值，0~1，可填百分比"
23,主动血量触发,1,"30%,10086|10087","血量百分比,状态列表,[作用对象],[释放者]
当角色对别人的扣血导致血量降到一定值以下的时候，攻击触发判断"
24,被动血量触发,1,"30%,10086|10087","血量百分比,状态列表,[作用对象],[释放者]
当别人对角色的扣血导致血量降到一定值以下的时候，注意加的时候如果已经达到这个条件，那么马上触发，被击触发判断"
25,不可位移,1,,角色不能移动(会播放跑步动作，但是位置不会移动)
26,光环,1,"-1,30,2,326","触发次数,触发间隔帧数,作用对象类型,状态列表,是否结束删除子状态,作用对象,释放者
每次碰到或者碰撞范围内一定间隔时间内有角色，则触发
碰撞范围计算方式：先取状态特效上的碰撞，没有的话尝试取角色上的碰撞
是否结束删除子状态，1默认删除，0则不删除
触发次数，如果大于1，定时判断，次数大于这个数就不触发
        如果是-1,定时判断，次数没有上限
        如果是-2,碰到判断,每次碰到触发
        如果是-3,碰到判断,首次碰到触发
触发间隔帧数，定时判断的间隔
碰撞对象匹配类型，1自己，2敌人，3友方，4中立，5友方和自己，7释放者，8除了自己
"
27,碰撞层,1,0,"层类型
修改角色碰撞层类型
层类型,小怪碰撞、大怪碰撞、宠物碰撞、主角碰撞、主角翻滚碰撞、死亡碰撞，区别见战斗文档里的碰撞层文档"
28,转换被击,1,,"无参数 
角色要被浮空或者击飞的时候转为被击"
29,增减仇恨,1,10,"值,结束回退,非负限制,仇恨对象
增减自己对仇恨对象的仇恨值
结束回退，默认为1状态结束的时候把本状态对仇恨的所有增减值回退，0则不回退
非负限制，默认为1增减时或者结束回退时保证仇恨值不小于0，0则不限制
仇恨对象，见作用对象类型，默认为释放者"
30,重置仇恨,1,,"仇恨对象
将对仇恨对象的仇恨值重置为0
仇恨对象，见作用对象类型，默认为释放者"
31,耐力触发,1,"0.5,10086|10087|10088","耐力百分比,状态列表,作用对象,释放者
当自身耐力降到一定值以下时触发，注意是状态开始时如果已经达到条件，那么马上触发"
32,沉默,1,,"无参数
使角色不能使用技能只可以移动"
33,定身,1,,"无参数
定身开始时动作将停留在当前的姿势不动，定身期间不会被其他行为(被击、浮空、移动等，除了死亡)中断"
