状态ID,名称,说明,类型,参数,持续时间,时间间隔,角色特效id,音效id,销毁时停止声音,结束事件组,结束状态ID,同id叠加限制,组,组优先级,同id叠加或组优先级相同时使用老的(默认是使用新的),免疫优先级,异常类型,冷却时间
id,name,desc,type,param,time,interval,roleFxId,soundId,stopIfEnd,endEventGroupId,endBuffId,overlayLimit,group,groupPriority,useOldIfSame,priority,useful,cd
1,不受事件伤害,,免疫事件,伤害,-2,,,,1,,,,,,,1
2,不受状态伤害,,免疫状态,增减血,-2
3,不受伤害,,组合,1|2|8,-2
4,不可受击,也就是霸体了,免疫事件,"被击|10,浮空|10,击飞|10,移动|10",-2,,,,,,,,,,,1
5,无敌,,组合,1|2|4|8,-2
6,回满气力,,增减气力,"上限,100%",0
7,眩晕,,动作序列,"xuanyun:循环:-2,移动|战斗",-2
8,不受伤害反弹的伤害,,免疫伤害反弹,,-2
9,不可移动,,不可位移,,-2
10,不受所有他人事件,,免疫事件,全部,-2,,,,,,,,,,,1
11,无视攻击,,组合,1|2|8|10,-2
99,神侍移动速度,神侍移动速度6，气力值400,增减属性,"速度|6,气力值|400",-2
100,延时回满气力,用于气绝状态结束的时候回满气力值,空状态,,-2,,,,,,6
101,小怪气力状态,普通怪物的气力状态,空状态,,-2,,,,,,102
102,小怪气绝状态,普通怪物的气绝状态,组合,7,-2,,8,,,,101
103,精英气力状态,精英怪物的气力状态,组合,4,-2,,,,,,104
104,精英气绝状态,精英怪物的气绝状态,组合,7,-2,,8,,,,103
105,链刃普攻回复耐力,,增减耐力,"上限,32,0",0
106,大剑普攻回复耐力,,增减耐力,"上限,40,0",0
107,格挡伤害消耗耐力,,增减耐力,"上限,-2",0
108,格挡免疫事件,,免疫事件,"被击,浮空,击飞,伤害",-2,,,,,,,,,,,1
109,格挡免疫状态,,免疫状态,增减血,-2
110,链刃格挡无敌,,组合,108|109|122|160,-2
111,技能霸体,技能伤害帧后的霸体,组合,152|163|2,-2,,,,,,,,,,,2
112,主角气力状态,主角气力状态,空状态,,-2,,,,,,113
113,主角气绝状态,主角气绝状态,组合,114,-2,,8,,,,112
114,主角眩晕,主角眩晕,动作序列,"xuanyun:循环:-2,移动|战斗|换武器",-2
115,主角躲闪无敌,主角躲闪无敌,组合,1|2|4,-2
116,主角冲撞时小兵无敌,主角抱着的小兵不受事件,免疫事件,"被击,浮空,击飞,伤害,移动,特效,卡帧,音效",-2,,,,,,,,,,,1
117,主角冲撞时小兵无敌,主角抱着的小兵不受事件,免疫状态,增减血,-2
118,主角冲撞时小兵无敌,主角抱着的小兵不受事件,组合,116|117,-2
119,主角冲撞时小兵扣血,主角抱着的小兵不受事件,增减血,"上限,-100%,0",0
120,BOSS气力状态,BOSS怪物的气力状态,组合,4,-2,,,,,,121
121,BOSS气绝状态,BOSS怪物的气绝状态,组合,7,-2,,8,,,,120
122,格挡耐力消耗,格挡每次消耗一定耐力,被动事件触发,"伤害,123|134",-2
123,格挡耐力消耗,格挡每次消耗一定耐力,增减耐力,"上限,-100",0
124,抓投砸地,抓投把人甩出去砸到地时候的事件,触发事件组,zhuatou_zadi,0
125,空中抓投砸地,空中抓投把人甩出去砸到地时候的事件,触发事件组,fukong_zhuatou,0
126,抓投结束状态,抓投结束状态,组合,119,0
127,空中抓投结束状态,空中抓投结束状态,组合,119,0
128,链刃格挡反击检测,格挡反击检测,被动事件触发,"伤害,129,0,2",300
129,链刃发动格挡反击,发动格挡反击,触发技能,"gedangfanji,1",0
130,大剑格挡反击检测,格挡反击检测,被动事件触发,"伤害,131",300
131,大剑发动格挡反击,发动格挡反击,触发技能,"gedangfanji_dj,2",0
132,大剑格挡无敌,,组合,108|109|122|160,-2
133,主角冲撞后扔出小兵的事件,主角冲撞后扔出小兵的事件,触发事件组,zhuatou_feixing,0
134,格挡被击特效,格挡被击特效,空状态,,500,,3
135,锤子蓄力一技能1段,锤子蓄力1段攻击力增加,空状态,,10000,,,,,,,,chuizi_2,0
136,锤子蓄力一技能2段,锤子蓄力2段攻击力增加,空状态,,10000,,,,,,,,chuizi_2,1
137,锤子蓄力一技能3段,锤子蓄力3段攻击力增加,空状态,,10000,,,,,,,,chuizi_2,2
138,锤子蓄力一技能1段,锤子蓄力1段攻击力增加,增减属性,攻击|15%,-2
139,锤子蓄力一技能2段,锤子蓄力2段攻击力增加,增减属性,攻击|30%,-2
140,锤子蓄力一技能3段,锤子蓄力3段攻击力增加,增减属性,攻击|60%,-2
141,锤子蓄力一技能切换,锤子蓄力完毕释放技能,空状态,,10000,,,,,,,,chuizi_1,0
142,锤子蓄力一技能切换,锤子蓄力完毕释放技能,空状态,,10000,,,,,,,,chuizi_1,1
143,锤子蓄力一技能切换,锤子蓄力完毕释放技能,触发技能,jineng03_01_dahuixuan_small_mc,0
144,锤子蓄力一技能切换,锤子蓄力完毕释放技能,触发技能,jineng03_01_dahuixuan_big_mc,0
145,锤子格挡反击检测,格挡反击检测,被动事件触发,"伤害,146",300
146,锤子发动格挡反击,发动格挡反击,触发技能,"gedangfanji_mc,2",0
147,锤子格挡无敌,格挡无敌,组合,108|109|122|160,-2
148,锤子蓄力完成特效,蓄力完成播放特效,空状态,,1000,,14
149,锤子普攻回复耐力,,增减耐力,"上限,64,0",0
150,锤子蓄力的聚气特效,,空状态,,-2,,11,,,,,,chuizi_3,0
151,锤子蓄力的聚气特效,,空状态,,-2,,12,,,,,,chuizi_3,1
152,技能期间的霸体,技能期间的霸体,免疫事件,"被击|2,浮空|2,击飞|2,移动|2",-2,,,,,,,,,,,1
153,技能期间不受伤害,技能期间的霸体,免疫事件,伤害|2,-2,,,,,,,,,,,1
154,QTE的霸体,QTE与冲撞期间的霸体,免疫事件,"被击|10,浮空|10,击飞|10,移动|10",-2,,,,,,,,,,,1
155,QTE期间不受伤害,QTE与冲撞期间的霸体,免疫事件,伤害|10,-2,,,,,,,,,,,1
156,QTE期间状态,组合状态,组合,154|155|2,-2
157,锤击锤击的辨认状态、,锤子只抓取一个敌人,空状态,,1000
158,浮空状态修改层,浮空状态修改层,碰撞层,宠物碰撞,-2
159,大体型怪物转换被击,大体型怪物转换被击,转换被击,,-2
160,格挡破防的判断,判断触发格挡的破防,耐力触发,"0,161",-2
161,格挡破防的事件,格挡破防的事件,触发事件组,gedang_pofang,0
162,大剑追踪斩设置层,大剑追踪斩设置层,碰撞层,主角翻滚碰撞,-2
163,技能时的减免伤害,技能时的减免伤害,增减受击伤害,-60%,-2
164,斯巴达武装普攻回复耐力,斯巴达武装普攻回复耐力,增减耐力,"上限,40,0",0
165,链刃普攻回复耐力小,链刃普攻回复耐力小,增减耐力,"上限,11,0",0
166,斯巴达武装技能2格挡霸体,斯巴达武装格挡霸体,组合,167|168,-2
167,斯巴达武装技能2格挡霸体免疫事件,斯巴达武装格挡霸体免疫事件,免疫事件,"被击|1,移动|1,浮空|1,击飞|1",-2
168,斯巴达武装技能2格挡霸体减伤,斯巴达武装格挡霸体减伤,增减受击伤害,-90%,-2
169,斯巴达武装技能2攻击力上升1,斯巴达武装技能3攻击力上升1,增减属性,攻击|15%,6000,,,,,,,,dunmao_1,0
170,斯巴达武装技能2攻击力上升2,斯巴达武装技能3攻击力上升2,增减属性,攻击|30%,6000,,,,,,,,dunmao_1,1
171,斯巴达武装技能2攻击力上升3,斯巴达武装技能3攻击力上升3,增减属性,攻击|60%,6000,,,,,,,,dunmao_1,2
172,斯巴达武装技能3格挡霸体,斯巴达武装格挡霸体,组合,167|168,-2
173,斯巴达武装技能3格挡霸体免疫事件,斯巴达武装格挡霸体免疫事件,免疫事件,"被击|1,移动|1,浮空|1,击飞|1",-2
174,斯巴达武装技能3格挡霸体减伤,斯巴达武装格挡霸体减伤,增减受击伤害,-90%,-2
175,斯巴达武装技能3攻击力上升1,斯巴达武装技能3攻击力上升1,增减属性,攻击|15%,6000
176,斯巴达武装技能3攻击力上升2,斯巴达武装技能3攻击力上升2,增减属性,攻击|30%,6000
177,斯巴达武装技能3攻击力上升3,斯巴达武装技能3攻击力上升3,增减属性,攻击|60%,6000
178,斯巴达武装格挡反击检测,格挡反击检测,被动事件触发,"伤害,179",300
179,斯巴达武装发动格挡反击,发动格挡反击,触发技能,"gedangfanji_dm,2",0
180,斯巴达武装格挡无敌,格挡无敌,组合,108|109|122|160,-2
181,斯巴达武装技能3蓄力1,锤子蓄力1段攻击力增加,空状态,,10000,,,,,,,,dunmao_2,0
182,斯巴达武装技能3蓄力2,锤子蓄力2段攻击力增加,空状态,,10000,,,,,,,,dunmao_2,1
183,斯巴达武装技能3蓄力3,锤子蓄力3段攻击力增加,空状态,,10000,,,,,,,,dunmao_2,2
184,斯巴达武装技能蓄力特效,,空状态,,-2,,44
185,斯巴达武装技能蓄力特效,,空状态,,-2,,45
200,建筑哈迪斯状态1,金币副本的雕像哈迪斯的动作,组合,207,-2,,,,,,,,200,0
201,建筑哈迪斯状态2,金币副本的雕像哈迪斯的动作,组合,208,-2,,,,,,,,200,1
202,建筑哈迪斯状态3,金币副本的雕像哈迪斯的动作,组合,209,-2,,,,,,,,200,2
203,建筑哈迪斯状态4,金币副本的雕像哈迪斯的动作,组合,210,-2,,,,,,,,200,3
204,建筑哈迪斯状态5,金币副本的雕像哈迪斯的动作,组合,211,-2,,,,,,,,200,4
205,建筑哈迪斯状态6,金币副本的雕像哈迪斯的动作,组合,212,-2,,,,,,,,200,5
206,建筑哈迪斯免疫,哈迪斯免疫,免疫事件,"被击,浮空,击飞,移动",-2,,,,,,,,,,,10
207,建筑哈迪斯状态1,金币副本的雕像哈迪斯的动作,动作序列,"zhandoudaiji:单次:-2,移动|战斗|被击|下落",-2
208,建筑哈迪斯状态2,金币副本的雕像哈迪斯的动作,动作序列,"posui_02:单次:-2,移动|战斗|被击|下落",-2
209,建筑哈迪斯状态3,金币副本的雕像哈迪斯的动作,动作序列,"posui_03:单次:-2,移动|战斗|被击|下落",-2
210,建筑哈迪斯状态4,金币副本的雕像哈迪斯的动作,动作序列,"posui_04:单次:-2,移动|战斗|被击|下落",-2
211,建筑哈迪斯状态5,金币副本的雕像哈迪斯的动作,动作序列,"posui_05:单次:-2,移动|战斗|被击|下落",-2
212,建筑哈迪斯状态6,金币副本的雕像哈迪斯的动作,动作序列,"posui_06:单次:-2,移动|战斗|被击|下落",-2
300,大体型BOSS气力状态,,组合,302,-2,,,,,,301
301,大体型BOSS气绝状态,,组合,7|303|159,-2,,,,,,300
302,大体型BOSS气力状态免疫事件,,免疫事件,"被击,浮空|1,击飞|1,移动|1",-2,,,,,,,,,,,1
303,大体型BOSS气绝状态免疫事件,,免疫事件,移动|1,-2,,,,,,,,,,,1
304,木箱回血小,回复5%血量,增减血,"上限,10%,1",0
305,木箱回血中,回复15%血量,增减血,"上限,20%,1",0
306,木箱回血大,回复30%血量,增减血,"上限,40%,1",0
307,QTE斩杀回血,QTE斩杀成功回复10%血量 ,增减血,"上限,10%,1",0,,,,,,,,,,,1
308,火焰泰坦气力状态免疫事件,,免疫事件,"被击|10,浮空|10,击飞|10,移动|10",-2
309,火焰泰坦气绝状态免疫事件,,免疫事件,"浮空|10,击飞|10,移动|10",-2
310,火焰泰坦气力状态,,组合,308|312,-2,,,,,,311
311,火焰泰坦气绝状态,,组合,309|318|321,-2,,,,,,310
312,火焰泰坦气力状态增加防御,,增减属性,护甲|1000%,-2
313,火焰泰坦手部血量检测,,被动血量触发,"1%,314|315|316,0",-2
314,火焰泰坦手部触发事件组,,触发事件组,boss_taitan_xuanyun,100
315,火焰泰坦手部暂时免伤,,免疫事件,全部|10,10000,,,,,,,,,,,1
316,火焰泰坦手部回血,,增减血,"上限,100%,0",0
317,火焰泰坦手部眩晕本体,,增减气力,"上限,-100%",0
318,火焰泰坦气力状态眩晕动作,,动作序列,xuanyun02:循环:-2,-2,,,,,,319
319,火焰泰坦气力状态眩晕恢复,,组合,322|323,1000
320,火焰泰坦手部初始状态,,组合,308|313|324,-2
321,火焰泰坦气力状态召唤碰撞体,,触发事件组,boss_taitan_zhaoguai,100
322,火焰泰坦气绝状态杀死碰撞体,,触发事件组,boss_taitan_shaguai,100
323,火焰泰坦气力状态眩晕恢复动作,,动作序列,xuanyun03:单次:-1,1000
324,火焰泰坦手部反弹伤害,,被动事件触发,"伤害,325",-2
325,火焰泰坦手部反弹伤害,,触发事件组,boss_taitan_shanghai,0
326,火焰泰坦手部反弹伤害,,增减血,"攻击,-2%,0,10",0
327,火焰泰坦躺下时头部反弹伤害,,被动事件触发,"伤害,328",-2
328,火焰泰坦躺下时头部反弹伤害,,触发事件组,boss_taitan_shanghai_tou,0
329,火焰泰坦躺下时头部反弹伤害,,增减血,"攻击,-20%,0,10",0
330,火焰泰坦躺下时头部状态,,组合,308|327|331|332,-2
331,火焰泰坦躺下时头部反弹伤害,躺下时被暴击,增减属性,抗暴几率|-100%,-2,,,,,,,1
332,火焰泰坦躺下时头部血量检测,,被动血量触发,"1%,316,0",-2
333,火焰泰坦躺下时右手反弹伤害,,组合,308|324|332,-2
411,宠物技能霸体,技能伤害帧后的霸体,组合,4,-2
500,火属性小灼烧,火属性小灼烧,增减血,"攻击,-15%,1,1",10000,1000,37,,,,,1
501,冰属性小减速,冰属性小冰冻,定身,,7000,,36,,,,,1,,,1
502,雷属性小定身,雷属性小定身,动作序列,"xuanyun:循环:-2,移动|战斗",3000,,38,,,,,1
503,冥属性小减攻击,冥属性小减攻击,增减属性,攻击|-25%,10000,,39,,,,,1
504,火属性大灼烧,火属性大灼烧,增减血,"攻击,-20%,1,1",15000,1000,37,,,,,1
505,冰属性大减速,冰属性大冰冻,定身,,10000,,36,,,,,1,,,1
506,雷属性大定身,雷属性大定身,动作序列,"xuanyun:循环:-2,移动|战斗",5000,,38,,,,,1
507,冥属性大减攻击,冥属性大减攻击,增减属性,攻击|-40%,10000,,39,,,,,1
508,冥属性小每次伤害,冥属性小每次伤害,增减血,"攻击,-15%,1,1",0
509,冥属性大每次伤害,冥属性大每次伤害,增减血,"攻击,-150%,1,1",0
510,大怪火属性小灼烧,火属性小灼烧,增减血,"攻击,-15%,1,1",10000,1000,41,,,,,1
511,大怪冰属性小减速,冰属性小冰冻,定身,,7000,,40,,,,,1,,,1
512,大怪雷属性小定身,雷属性小定身,动作序列,"xuanyun:循环:-2,移动|战斗",3000,,42,,,,,1
513,大怪冥属性小减攻击,冥属性小减攻击,增减属性,攻击|-25%,10000,,43,,,,,1
514,大怪火属性大灼烧,火属性大灼烧,增减血,"攻击,-20%,1,1",15000,1000,41,,,,,1
515,大怪冰属性大减速,冰属性大冰冻,定身,,10000,,40,,,,,1,,,1
516,大怪雷属性大定身,雷属性大定身,动作序列,"xuanyun:循环:-2,移动|战斗",5000,,42,,,,,1
517,大怪冥属性大减攻击,冥属性大减攻击,增减属性,攻击|-40%,10000,,43,,,,,1
518,大怪冥属性小每次伤害,冥属性小每次伤害,增减血,"攻击,-15%,1,1",0
519,大怪冥属性大每次伤害,冥属性大每次伤害,增减血,"攻击,-150%,1,1",0
600,大QTE未达成条件时免疫,大QTE未达成条件时免疫,免疫事件,大Qte|10,-2
601,大QTE达成条件时,大QTE达成条件时,被动血量触发,"50%,602|603",-2
602,大QTE取消免疫状态,大QTE取消免疫状态,免疫状态,免疫事件,0,,,,,,,,,5
603,大QTE眩晕,大QTE眩晕,动作序列,"xuanyun:循环:-2,移动|战斗",12000,,33,,,,605,,,5
604,大QTE出生状态,大QTE出生状态,组合,600|601,-2
605,大QTE未达成时回血,大QTE未达成时回血,增减血,"上限,50%,0",0,,,,,,600
606,大QTE图标表现,大QTE图标表现,空状态,,12000,,33
607,大QTE图标表现清除,大QTE图标表现清除,免疫状态,动作序列,0
1000,混沌气旋-印记,混沌气旋加印记,加印记,"混沌之力,1",-2,,,,,,,1
1005,混沌气旋-混沌之力,技能每打中1个敌人提高伤害,增减攻击伤害,{mingwen:lian1_1}%,4000,,,,,,,-1
1010,混沌气旋-混元之力,技能击杀1个敌人回复自身5%耐力值,主动杀死触发,"1015,0,0",100,,,,,,,-1
1015,混沌气旋-混元之力,技能击杀1个敌人回复自身5%耐力值,增减耐力,"上限,{mingwen:lian1_2}%",0,,,,,,,-1
1020,阿瑞斯烈焰-印记,阿瑞斯烈焰加印记,加印记,"阿瑞斯烈焰,1",-2,,,,,,,1
1025,阿瑞斯烈焰-炼狱之火,对30%血量以下的杂兵有50%概率将其直接击杀,主动血量触发,"100%,1026,2,0",-2,,,,,,,1
