角色id,ID,名字,描述,简短描述,连击开启等级,升级消耗,开启宠物星级,铭文,战斗力系数
roleId,id,name,description,briefDesc,comboLimit,levelCostId,needPetStar,talent,powerRate
cw_1,gongji01,雷光之拳,宙斯运用雷电之力，快速打出数拳，对敌人造成大量伤害。,,,1000,1,,{skill:combat}
cw_1,leiguangdan,球形闪电,宙斯放出两个球形闪电，闪电击中敌人后会继续对其造成数次伤害。,,,1000,1,,{skill:combat}
cw_1,chongci,电幕冲撞,宙斯蓄满神力后快速向前冲刺，对被撞击的敌人造成伤害并将其击退。,,,1000,2,,{skill:combat}
cw_1,zhaohuanfenshen,无所不在,万神之王宙斯拥有召唤分身的能力，分身可继承本体的全部技能，但自身较为脆弱。,,,1000,3,,{skill:combat}
cw_2,gongji01,太阳神箭,阿波罗运用娴熟的射术，向目标射出一支火箭，对其造成伤害。,,,1000,1,,{skill:combat}
cw_2,huoyanshengjian,灼热之箭,阿波罗向前方域射出一支火箭，命中敌人后产生爆炸并造成范围伤害。,,,1000,1,,{skill:combat}
cw_2,duochongsheji,多重射击,阿波罗蓄力后向前方射出一支火箭，对火箭飞行路径上的所有目标造成伤害，并附加灼烧效果。,,,1000,2,,{skill:combat}
cw_2,jianyuliuxing,箭雨流星,阿波罗向天空射出多枚箭矢，在目标区域落下大量如太阳光芒般闪耀的陨石。造成强大的范围伤害并附加灼烧效果。,,,1000,3,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_4,gongji01,摄魂之抓,哈迪斯操纵带有黑暗力量的钩抓，释放出魔法波，对敌人造成数次伤害。,,,1000,1,,{skill:combat}
cw_4,heianzhebi,死亡结界,哈迪斯召唤冥界亡魂的能量形成保护自己的结界，提高自身防御并对接近的敌人造成伤害。,,,1000,1,,{skill:combat}
cw_4,shihunbaolie,死亡旋风,哈迪斯吞噬周围所有敌人的灵魂，对敌人造成伤害并减速，持续时间结束再次造成范围爆炸伤害。,,,1000,2,,{skill:combat}
cw_4,sicongdichu01,地狱之门,哈迪斯钻入地下数秒后，在敌人脚下位置突然冲出地面，猛撞目标并造成范围伤害。,,,1000,3,,{skill:combat}
