等级id,升级消耗
id,upgradeCost
1000,30000|300
1001,30000|450
1002,30000|600
1003,30000|750
1004,30000|900
1005,30000|1050
1006,30000|1200
1007,30000|1350
1008,30000|1500
1009,30000|1800
1010,30000|2100
1011,30000|2400
1012,30000|2700
1013,30000|3000
1014,30000|3300
1015,30000|3600
1016,30000|3900
1017,30000|4200
1018,30000|4500
1019,30000|5100
1020,30000|5700
1021,30000|6300
1022,30000|6900
1023,30000|7500
1024,30000|8100
1025,30000|8700
1026,30000|9300
1027,30000|9900
1028,30000|10500
1029,30000|11700
1030,30000|12900
1031,30000|14100
1032,30000|15300
1033,30000|16500
1034,30000|17700
1035,30000|18900
1036,30000|20100
1037,30000|21300
1038,30000|22500
1039,30000|25500
1040,30000|28500
1041,30000|31500
1042,30000|34500
1043,30000|37500
1044,30000|40500
1045,30000|43500
1046,30000|46500
1047,30000|49500
1048,30000|52500
1049,30000|64500
1050,30000|76500
1051,30000|88500
1052,30000|100500
1053,30000|112500
1054,30000|136500
1055,30000|160500
1056,30000|184500
1057,30000|208500
1058,30000|232500
1059,30000|268500
1060,30000|304500
1061,30000|340500
1062,30000|376500
1063,30000|412500
1064,30000|460500
1065,30000|508500
1066,30000|556500
1067,30000|604500
1068,30000|652500
1069,30000|712500
1070,30000|772500
1071,30000|832500
1072,30000|892500
1073,30000|952500
1074,30000|1012500
1075,30000|1072500
1076,30000|1132500
1077,30000|1192500
1078,30000|1252500
1079,30000|1327500
1080,30000|1402500
1081,30000|1477500
1082,30000|1552500
1083,30000|1627500
1084,30000|1717500
1085,30000|1807500
1086,30000|1897500
1087,30000|1987500
1088,30000|2077500
1089,30000|2182500
1090,30000|2287500
1091,30000|2392500
1092,30000|2497500
1093,30000|2602500
1094,30000|2722500
1095,30000|2842500
1096,30000|2962500
1097,30000|3082500
1098,30000|3202500
1099,30000|3322500
2000,30000|300
2001,30000|450
2002,30000|600
2003,30000|750
2004,30000|900
2005,30000|1050
2006,30000|1200
2007,30000|1350
2008,30000|1500
2009,30000|1800
2010,30000|2100
2011,30000|2400
2012,30000|2700
2013,30000|3000
2014,30000|3300
2015,30000|3600
2016,30000|3900
2017,30000|4200
2018,30000|4500
2019,30000|5100
2020,30000|5700
2021,30000|6300
2022,30000|6900
2023,30000|7500
2024,30000|8100
2025,30000|8700
2026,30000|9300
2027,30000|9900
2028,30000|10500
2029,30000|11700
2030,30000|12900
2031,30000|14100
2032,30000|15300
2033,30000|16500
2034,30000|17700
2035,30000|18900
2036,30000|20100
2037,30000|21300
2038,30000|22500
2039,30000|25500
2040,30000|28500
2041,30000|31500
2042,30000|34500
2043,30000|37500
2044,30000|40500
2045,30000|43500
2046,30000|46500
2047,30000|49500
2048,30000|52500
2049,30000|64500
2050,30000|76500
2051,30000|88500
2052,30000|100500
2053,30000|112500
2054,30000|136500
2055,30000|160500
2056,30000|184500
2057,30000|208500
2058,30000|232500
2059,30000|268500
2060,30000|304500
2061,30000|340500
2062,30000|376500
2063,30000|412500
2064,30000|460500
2065,30000|508500
2066,30000|556500
2067,30000|604500
2068,30000|652500
2069,30000|712500
2070,30000|772500
2071,30000|832500
2072,30000|892500
2073,30000|952500
2074,30000|1012500
2075,30000|1072500
2076,30000|1132500
2077,30000|1192500
2078,30000|1252500
2079,30000|1327500
2080,30000|1402500
2081,30000|1477500
2082,30000|1552500
2083,30000|1627500
2084,30000|1717500
2085,30000|1807500
2086,30000|1897500
2087,30000|1987500
2088,30000|2077500
2089,30000|2182500
2090,30000|2287500
2091,30000|2392500
2092,30000|2497500
2093,30000|2602500
2094,30000|2722500
2095,30000|2842500
2096,30000|2962500
2097,30000|3082500
2098,30000|3202500
2099,30000|3322500
3000,"40201|2,30000|10000"
3001,"40201|2,30000|10000"
3002,"40201|4,30000|20000"
3003,"40201|4,30000|20000"
3004,"40201|8,30000|40000"
3005,"40201|8,30000|40000"
3006,"40201|16,30000|80000"
3007,"40201|16,30000|80000"
3008,"40201|32,30000|160000"
3009,"40201|32,30000|160000"
4000,"40202|2,30000|10000"
4001,"40202|2,30000|10000"
4002,"40202|4,30000|20000"
4003,"40202|4,30000|20000"
4004,"40202|8,30000|40000"
4005,"40202|8,30000|40000"
4006,"40202|16,30000|80000"
4007,"40202|16,30000|80000"
4008,"40202|32,30000|160000"
4009,"40202|32,30000|160000"
