任务ID,任务名,任务描述,图标名,任务类型,任务字段,任务参数,任务领取属性名,道具ID,道具数量,活跃度,等级开启,图标底图（品质id）
id,taskName,description,icon,taskType,taskField,taskProp,taskRewardTime,itemId,itemNum,vitality,level,quality
1,主线副本,通关副本10次,ui_item_icon_13,activity,mainLvlTime|mainNormalLvlCnt,10,levelGet,30001|30000,30|2800,10,0,3
2,主线副本,参加金币副本1次,ui_item_icon_13,activity,goldLvlTime|goldLvlCnt,1,goldlvGet,30001|30000,30|2800,10,9,3
3,主线副本,升级5次装备,ui_item_icon_13,upGrade,upEquipTime|upEquipNum,5,upEquipGet,30001|30000,30|2800,10,0,3
4,主线副本,通关众神传3次,ui_item_icon_13,eliteLv,,3,eliteLvGet,30001|30000,60|5600,20,0,3
5,主线副本,参加竞技场3次,ui_item_icon_13,activity,arenaTime|arenaCnt,3,arenaGet,30001|30000,120|11900,40,0,3
6,主线副本,通关勇士试炼2次,ui_item_icon_13,warriorTried,,2,warriorTriedGet,30001|30000,60|5600,20,0,3
7,主线副本,购买1次金币,ui_item_icon_13,,,1,buyGoldGet,30001|30000,30|2800,10,0,3
8,主线副本,抽取高级宝藏1次,ui_item_icon_13,lottery,advLtyLastBuy1|advLtyLastBuy10,1,advLtyGet,30001|30000,30|2800,10,0,3
9,主线副本,抽取顶级宝藏1次,ui_item_icon_13,lottery,topLtyLastBuy1|topLtyLastBuy10,1,topLtyGet,30001|30000,30|2800,10,0,3
10,主线副本,完成神器抢夺3次,ui_item_icon_13,activity,treasureTime|treasureCnt,3,treasureRobGet,30001|30000,90|8000,30,0,3
11,主线副本,完成挚爱守护1次,ui_item_icon_13,activity,guardLvlTime|guardLvlCnt,1,guardLvGet,30001|30000,90|8000,30,0,3
12,主线副本,挑战预言者之塔随机模式3次,ui_item_icon_13,prophetTower,towerEnterTime|towerEnterNums,3,prophetTowerGet,30001|30000,90|8000,30,0,3
13,主线副本,挑战哈迪斯之血1次,ui_item_icon_13,activity,hadesLvlTime|hadesLvlCnt,1,hadesLvGet,30001|30000,60|5600,20,0,3
14,主线副本,建设工会1次,ui_item_icon_13,corps,,1,corpsGet,30001|30000,30|2800,10,0,3
15,主线副本,每日分享1次,ui_item_icon_13,,,1,shareGet,30001|30000,30|2800,10,0,3
16,主线副本,月卡生效期间每日返利100钻,ui_item_icon_142,,,1,monthCardGet,30002,100,0,0,3
17,主线副本,运营期间每日返利100钻,ui_item_icon_142,,,1,opActivityGet,30002,100,0,0,3
