等级,神器类型,属性加成id,升到该级所需碎片数目,升级需要金币,战斗力值,战斗力系数,对应技能id,对应技能等级,效果描述
level,id,attributeId,pieceNum,costGold,power,powerRate,skillId,skillLevel,description
1,1,v_shenqi_1_1,10,20000,42.4,0.012,shenqi_shandianhuo,,持续时间6生命/秒
2,1,v_shenqi_1_2,30,50000,84.8,0.024,shenqi_shandianhuo,,持续时间6生命/秒
3,1,v_shenqi_1_3,50,100000,127.2,0.036,shenqi_shandianhuo,,持续时间6生命/秒
4,1,v_shenqi_1_4,100,200000,169.6,0.048,shenqi_shandianhuo,,持续时间6生命/秒
5,1,v_shenqi_1_5,200,500000,212,0.06,shenqi_shandianhuo,,持续时间6生命/秒
6,1,v_shenqi_1_6,400,800000,254.4,0.072,shenqi_shandianhuo,,持续时间6生命/秒
7,1,v_shenqi_1_7,600,1200000,296.8,0.084,shenqi_shandianhuo,,持续时间6生命/秒
8,1,v_shenqi_1_8,800,1600000,339.2,0.096,shenqi_shandianhuo,,持续时间6生命/秒
9,1,v_shenqi_1_9,1000,2000000,381.6,0.108,shenqi_shandianhuo,,持续时间6生命/秒
10,1,v_shenqi_1_10,1200,2500000,424,0.12,shenqi_shandianhuo,,持续时间6生命/秒
1,2,v_shenqi_2_1,10,20000,42.4,0.012,shenqi_shuilongjuan,,持续时间6生命/秒
2,2,v_shenqi_2_2,30,50000,84.8,0.024,shenqi_shuilongjuan,,持续时间6生命/秒
3,2,v_shenqi_2_3,50,100000,127.2,0.036,shenqi_shuilongjuan,,持续时间6生命/秒
4,2,v_shenqi_2_4,100,200000,169.6,0.048,shenqi_shuilongjuan,,持续时间6生命/秒
5,2,v_shenqi_2_5,200,500000,212,0.06,shenqi_shuilongjuan,,持续时间6生命/秒
6,2,v_shenqi_2_6,400,800000,254.4,0.072,shenqi_shuilongjuan,,持续时间6生命/秒
7,2,v_shenqi_2_7,600,1200000,296.8,0.084,shenqi_shuilongjuan,,持续时间6生命/秒
8,2,v_shenqi_2_8,800,1600000,339.2,0.096,shenqi_shuilongjuan,,持续时间6生命/秒
9,2,v_shenqi_2_9,1000,2000000,381.6,0.108,shenqi_shuilongjuan,,持续时间6生命/秒
10,2,v_shenqi_2_10,1200,2500000,424,0.12,shenqi_shuilongjuan,,持续时间6生命/秒
1,3,v_shenqi_3_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,3,v_shenqi_3_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,3,v_shenqi_3_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,3,v_shenqi_3_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,3,v_shenqi_3_5,200,500000,212,0.06,,,持续时间6生命/秒
6,3,v_shenqi_3_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,3,v_shenqi_3_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,3,v_shenqi_3_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,3,v_shenqi_3_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,3,v_shenqi_3_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,4,v_shenqi_4_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,4,v_shenqi_4_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,4,v_shenqi_4_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,4,v_shenqi_4_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,4,v_shenqi_4_5,200,500000,212,0.06,,,持续时间6生命/秒
6,4,v_shenqi_4_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,4,v_shenqi_4_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,4,v_shenqi_4_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,4,v_shenqi_4_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,4,v_shenqi_4_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,5,v_shenqi_5_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,5,v_shenqi_5_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,5,v_shenqi_5_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,5,v_shenqi_5_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,5,v_shenqi_5_5,200,500000,212,0.06,,,持续时间6生命/秒
6,5,v_shenqi_5_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,5,v_shenqi_5_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,5,v_shenqi_5_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,5,v_shenqi_5_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,5,v_shenqi_5_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,6,v_shenqi_6_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,6,v_shenqi_6_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,6,v_shenqi_6_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,6,v_shenqi_6_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,6,v_shenqi_6_5,200,500000,212,0.06,,,持续时间6生命/秒
6,6,v_shenqi_6_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,6,v_shenqi_6_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,6,v_shenqi_6_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,6,v_shenqi_6_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,6,v_shenqi_6_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,7,v_shenqi_7_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,7,v_shenqi_7_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,7,v_shenqi_7_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,7,v_shenqi_7_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,7,v_shenqi_7_5,200,500000,212,0.06,,,持续时间6生命/秒
6,7,v_shenqi_7_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,7,v_shenqi_7_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,7,v_shenqi_7_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,7,v_shenqi_7_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,7,v_shenqi_7_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,8,v_shenqi_8_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,8,v_shenqi_8_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,8,v_shenqi_8_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,8,v_shenqi_8_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,8,v_shenqi_8_5,200,500000,212,0.06,,,持续时间6生命/秒
6,8,v_shenqi_8_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,8,v_shenqi_8_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,8,v_shenqi_8_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,8,v_shenqi_8_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,8,v_shenqi_8_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,9,v_shenqi_9_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,9,v_shenqi_9_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,9,v_shenqi_9_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,9,v_shenqi_9_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,9,v_shenqi_9_5,200,500000,212,0.06,,,持续时间6生命/秒
6,9,v_shenqi_9_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,9,v_shenqi_9_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,9,v_shenqi_9_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,9,v_shenqi_9_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,9,v_shenqi_9_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,10,v_shenqi_10_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,10,v_shenqi_10_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,10,v_shenqi_10_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,10,v_shenqi_10_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,10,v_shenqi_10_5,200,500000,212,0.06,,,持续时间6生命/秒
6,10,v_shenqi_10_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,10,v_shenqi_10_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,10,v_shenqi_10_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,10,v_shenqi_10_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,10,v_shenqi_10_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,11,v_shenqi_11_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,11,v_shenqi_11_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,11,v_shenqi_11_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,11,v_shenqi_11_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,11,v_shenqi_11_5,200,500000,212,0.06,,,持续时间6生命/秒
6,11,v_shenqi_11_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,11,v_shenqi_11_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,11,v_shenqi_11_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,11,v_shenqi_11_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,11,v_shenqi_11_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,12,v_shenqi_12_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,12,v_shenqi_12_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,12,v_shenqi_12_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,12,v_shenqi_12_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,12,v_shenqi_12_5,200,500000,212,0.06,,,持续时间6生命/秒
6,12,v_shenqi_12_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,12,v_shenqi_12_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,12,v_shenqi_12_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,12,v_shenqi_12_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,12,v_shenqi_12_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,13,v_shenqi_13_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,13,v_shenqi_13_2,30,50000,84.8,0.024,,,持续时间6生命/秒
3,13,v_shenqi_13_3,50,100000,127.2,0.036,,,持续时间6生命/秒
4,13,v_shenqi_13_4,100,200000,169.6,0.048,,,持续时间6生命/秒
5,13,v_shenqi_13_5,200,500000,212,0.06,,,持续时间6生命/秒
6,13,v_shenqi_13_6,400,800000,254.4,0.072,,,持续时间6生命/秒
7,13,v_shenqi_13_7,600,1200000,296.8,0.084,,,持续时间6生命/秒
8,13,v_shenqi_13_8,800,1600000,339.2,0.096,,,持续时间6生命/秒
9,13,v_shenqi_13_9,1000,2000000,381.6,0.108,,,持续时间6生命/秒
10,13,v_shenqi_13_10,1200,2500000,424,0.12,,,持续时间6生命/秒
1,14,v_shenqi_14_1,10,20000,42.4,0.012,,,持续时间6生命/秒
2,14,v_shenqi_14_2,30,50000,84.8,0.024,,,持续时间6生命/秒
