vip等级,VIP礼包价值,花费钻石,奖励id,奖励数量,奖励描述
level,vipGiftValue,vipGiftDiamondCost,vipGiftItemId,vipGiftItemNum,description
0,188,5,20000|30000,10|10000,V0超值礼包包含以下内容：
1,2880,18,210006|30003|20000|30000,40|100|50|100000,V1超值礼包包含以下内容：
2,2880,180,30005|10001|20000|30000,3|10|50|100000,V2超值礼包包含以下内容：
3,3880,280,110001|20001|30000,2|30|100000,V3超值礼包包含以下内容：
4,4880,480,110007|20001|30000,1|30|100000,V4超值礼包包含以下内容：
5,6880,680,210006|20001|30000,60|30|100000,V5超值礼包包含以下内容：
6,8880,880,110008|20001|30000,1|30|100000,V6超值礼包包含以下内容：
7,12880,1280,210006|20001|30000,100|30|100000,V7超值礼包包含以下内容：
8,16880,1680,110007|20002|30000,1|30|150000,V8超值礼包包含以下内容：
9,20000,2280,110006|20001|30000,1|30|150000,V9超值礼包包含以下内容：
10,30000,2680,110006|20002|30000,1|30|150000,V10超值礼包包含以下内容：
11,40000,3380,30002|20003|30000,8880|30|200000,V11超值礼包包含以下内容：
12,60000,4880,210010|20003|30000,100|30|200000,V12超值礼包包含以下内容：
13,100000,6880,110007|20003|30000,1|30|300000,V13超值礼包包含以下内容：
14,200000,10880,110008|20003|30000,1|30|400000,V14超值礼包包含以下内容：
15,300000,20880,110006|20003|30000,1|30|400000,V15超值礼包包含以下内容：
16,400000,16880,210010|20003|30000,100|30|400000,V16超值礼包包含以下内容：
17,500000,18880,110007|20003|30000,1|30|400000,V17超值礼包包含以下内容：
18,600000,20880,110008|20003|30000,1|30|400000,V18超值礼包包含以下内容：
