排名,奖励id
rank,rewardId
1,100300
2,100301
3,100302
4,100303
5,100304
6,100305
7,100306
8,100307
9,100308
10,100309
11,100310
12,100311
13,100312
14,100313
15,100314
16,100315
17,100316
18,100317
19,100318
20,100319
21,100320
22,100321
23,100322
24,100323
25,100324
26,100325
27,100326
28,100327
29,100328
30,100329
31,100330
32,100331
33,100332
34,100333
35,100334
36,100335
37,100336
38,100337
39,100338
40,100339
41,100340
42,100341
43,100342
44,100343
45,100344
46,100345
47,100346
48,100347
49,100348
50,100349
51,100350
52,100351
53,100352
54,100353
55,100354
56,100355
57,100356
58,100357
59,100358
60,100359
61,100360
62,100361
63,100362
64,100363
65,100364
66,100365
67,100366
68,100367
69,100368
70,100369
71,100370
72,100371
73,100372
74,100373
75,100374
76,100375
77,100376
78,100377
79,100378
80,100379
81,100380
82,100381
83,100382
84,100383
85,100384
86,100385
87,100386
88,100387
89,100388
90,100389
91,100390
92,100391
93,100392
94,100393
95,100394
96,100395
97,100396
98,100397
99,100398
100,100399
