难度_波次,基础经验奖励,掉落配置id
id,exp,reward
1_1,0,0
1_2,0,0
1_3,0,0
1_4,0,0
1_5,0,0
1_6,0,0
1_7,0,0
1_8,0,0
1_9,0,0
1_10,0,0
1_11,0,0
1_12,0,0
1_13,0,0
1_14,0,0
1_15,0,0
2_1,0,0
2_2,0,0
2_3,0,0
2_4,0,0
2_5,0,0
2_6,0,0
2_7,0,0
2_8,0,0
2_9,0,0
2_10,0,0
2_11,0,0
2_12,0,0
2_13,0,0
2_14,0,0
2_15,0,0
3_1,0,0
3_2,0,0
3_3,0,0
3_4,0,0
3_5,0,0
3_6,0,0
3_7,0,0
3_8,0,0
3_9,0,0
3_10,0,0
3_11,0,0
3_12,0,0
3_13,0,0
3_14,0,0
3_15,0,0
4_1,0,0
4_2,0,0
4_3,0,0
4_4,0,0
4_5,0,0
4_6,0,0
4_7,0,0
4_8,0,0
4_9,0,0
4_10,0,0
4_11,0,0
4_12,0,0
4_13,0,0
4_14,0,0
4_15,0,0
5_1,0,0
5_2,0,0
5_3,0,0
5_4,0,0
5_5,0,0
5_6,0,0
5_7,0,0
5_8,0,0
5_9,0,0
5_10,0,0
5_11,0,0
5_12,0,0
5_13,0,0
5_14,0,0
5_15,0,0
6_1,0,0
6_2,0,0
6_3,0,0
6_4,0,0
6_5,0,0
6_6,0,0
6_7,0,0
6_8,0,0
6_9,0,0
6_10,0,0
6_11,0,0
6_12,0,0
6_13,0,0
6_14,0,0
6_15,0,0
