装备等阶,进阶下阶需要等级,可升级等级上限,品质,品质等级,进阶属性增量系数（基础值）,进阶属性增量系数（升级值）
id,needLv,maxLv,quality,qualityLv,baseRate,lvRate
1,5,5,0,0,0,0
2,10,10,0,1,0.5,0.5
3,15,15,0,2,1,1
4,20,20,0,3,1.83,1.5
5,23,23,1,0,2.42,1.75
6,25,25,1,1,3,2
7,28,28,1,2,3.83,2.25
8,30,30,1,3,4.67,2.5
9,33,33,1,4,5.83,2.75
10,35,35,1,5,7,3
11,38,38,1,6,8.23,3.25
12,40,40,1,7,9.47,3.5
13,43,43,2,0,10.72,3.75
14,45,45,2,1,11.97,4
15,48,48,2,2,13.23,4.25
16,50,50,2,3,14.49,4.5
17,53,53,2,4,15.76,4.75
18,55,55,2,5,17.02,5
19,58,58,2,6,18.3,5.25
20,60,60,2,7,19.58,5.5
21,63,63,3,0,20.86,5.75
22,65,65,3,1,22.14,6
23,68,68,3,2,23.43,6.25
24,70,70,3,3,24.71,6.5
25,73,73,3,4,26,6.75
26,75,75,3,5,27.29,7
27,78,78,3,6,28.59,7.25
28,80,80,3,7,29.88,7.5
29,83,83,4,0,31.17,7.75
30,85,85,4,1,32.47,8
31,88,88,4,2,33.77,8.25
32,90,90,4,3,35.07,8.5
33,93,93,4,4,36.37,8.75
34,95,95,4,5,37.67,9
35,98,98,4,6,38.97,9.25
36,100,100,4,7,40.27,9.5
