初始装备ID,初始装备列表
id,equips
i_zb_0,"12000,13000,14000,15000,16000,17000,11000,11100,11200,11300"
i_zb_1,"22010,23010,24010,25010,26010,27010,21010"
i_zb_2,"22020,23020,24020,25020,26020,27020,21020"
i_zb_3,"22030,23030,24030,25030,26030,27030,21030"
i_zb_4,"22040,23040,24040,25040,26040,27040,21040"
i_zb_5,"22050,23050,24050,25050,26050,27050,21050"
i_zb_6,"22060,23060,24060,25060,26060,27060,21060"
i_zb_7,"22070,23070,24070,25070,26070,27070,21070"
i_zb_8,"22080,23080,24080,25080,26080,27080,21080"
i_zb_9,"22090,23090,24090,25090,26090,27090,21090"
i_zb_10,"22100,23100,24100,25100,26100,27100,21100"
i_zb_11,"22110,23110,24110,25110,26110,27110,21110"
i_zb_12,"22120,23120,24120,25120,26120,27120,21120"
i_zb_13,"22000,23000,24000,25000,26000,27000,21000"
i_zb_14,"22140,23140,24140,25140,26140,27140,21140"
