装备类型+装备当前等级,消耗内容
id,cost
0_1,"40200|2,30000|100"
0_2,"40200|2,30000|150"
0_3,"40200|2,30000|200"
0_4,"40200|2,30000|250"
0_5,"40200|3,30000|300"
0_6,"40200|3,30000|350"
0_7,"40200|3,30000|400"
0_8,"40200|3,30000|450"
0_9,"40200|3,30000|500"
0_10,"40200|4,30000|600"
0_11,"40200|4,30000|700"
0_12,"40200|4,30000|800"
0_13,"40200|4,30000|900"
0_14,"40200|4,30000|1000"
0_15,"40200|4,30000|1100"
0_16,"40200|4,30000|1200"
0_17,"40200|4,30000|1300"
0_18,"40200|4,30000|1400"
0_19,"40200|4,30000|1500"
0_20,"40200|5,30000|1700"
0_21,"40200|6,30000|1900"
0_22,"40200|7,30000|2100"
0_23,"40200|8,30000|2300"
0_24,"40200|10,30000|2500"
0_25,"40200|12,30000|2700"
0_26,"40200|14,30000|2900"
0_27,"40200|16,30000|3100"
0_28,"40200|18,30000|3300"
0_29,"40200|20,30000|3500"
0_30,"40200|25,30000|3900"
0_31,"40200|30,30000|4300"
0_32,"40200|35,30000|4700"
0_33,"40200|40,30000|5100"
0_34,"40200|45,30000|5500"
0_35,"40200|50,30000|5900"
0_36,"40200|60,30000|6300"
0_37,"40200|70,30000|6700"
0_38,"40200|80,30000|7100"
0_39,"40200|90,30000|7500"
0_40,"40200|100,30000|8500"
0_41,"40200|110,30000|9500"
0_42,"40200|120,30000|10500"
0_43,"40200|130,30000|11500"
0_44,"40200|140,30000|12500"
0_45,"40200|150,30000|13500"
0_46,"40200|160,30000|14500"
0_47,"40200|170,30000|15500"
0_48,"40200|180,30000|16500"
0_49,"40200|190,30000|17500"
0_50,"40200|200,30000|21500"
0_51,"40200|225,30000|25500"
0_52,"40200|250,30000|29500"
0_53,"40200|275,30000|33500"
0_54,"40200|300,30000|37500"
0_55,"40200|325,30000|45500"
0_56,"40200|350,30000|53500"
0_57,"40200|375,30000|61500"
0_58,"40200|400,30000|69500"
0_59,"40200|425,30000|77500"
0_60,"40200|500,30000|89500"
0_61,"40200|550,30000|101500"
0_62,"40200|600,30000|113500"
0_63,"40200|650,30000|125500"
0_64,"40200|700,30000|137500"
0_65,"40200|750,30000|153500"
0_66,"40200|800,30000|169500"
0_67,"40200|850,30000|185500"
0_68,"40200|900,30000|201500"
0_69,"40200|950,30000|217500"
0_70,"40200|1000,30000|237500"
0_71,"40200|1050,30000|257500"
0_72,"40200|1100,30000|277500"
0_73,"40200|1150,30000|297500"
0_74,"40200|1200,30000|317500"
0_75,"40200|1250,30000|337500"
0_76,"40200|1300,30000|357500"
0_77,"40200|1350,30000|377500"
0_78,"40200|1400,30000|397500"
0_79,"40200|1500,30000|417500"
0_80,"40200|1600,30000|442500"
0_81,"40200|1700,30000|467500"
0_82,"40200|1800,30000|492500"
0_83,"40200|1900,30000|517500"
0_84,"40200|2000,30000|542500"
0_85,"40200|2100,30000|572500"
0_86,"40200|2200,30000|602500"
0_87,"40200|2300,30000|632500"
0_88,"40200|2400,30000|662500"
0_89,"40200|2500,30000|692500"
0_90,"40200|2600,30000|727500"
0_91,"40200|2700,30000|762500"
0_92,"40200|2800,30000|797500"
0_93,"40200|2900,30000|832500"
0_94,"40200|3000,30000|867500"
0_95,"40200|3100,30000|907500"
0_96,"40200|3200,30000|947500"
0_97,"40200|3300,30000|987500"
0_98,"40200|3400,30000|1027500"
0_99,"40200|3500,30000|1067500"
0_100,"40200|3600,30000|1107500"
