唯一id,月份,签到次数,奖励道具ID,道具数量,"VIP双倍
参数：vip等级"
id,month,checkInNums,itemId,itemNums,vipLevel
1,1,1,30000,10000,1
2,1,2,30002,40
3,1,3,40001,1,2
4,1,4,210013,3
5,1,5,40101,1,3
6,1,6,30000,20000,3
7,1,7,30002,80
8,1,8,40001,1,4
9,1,9,210013,3
10,1,10,40101,1,4
11,1,11,30000,30000,5
12,1,12,30002,120
13,1,13,40001,1,6
14,1,14,210013,3
15,1,15,40101,1,7
16,1,16,30000,40000,8
17,1,17,30002,160
18,1,18,40001,1,9
19,1,19,210013,3
20,1,20,40101,1,10
21,1,21,30000,50000,10
22,1,22,30002,200
23,1,23,40001,1,11
24,1,24,210013,3
25,1,25,40101,1,12
26,1,26,30000,60000,13
27,1,27,30002,250
28,1,28,40001,1,14
29,1,29,210013,3
30,1,30,40101,1,15
31,1,31,30000,70000,15
32,2,1,30000,10000,1
33,2,2,30002,40
34,2,3,40001,1,2
35,2,4,210013,3
36,2,5,40101,1,3
37,2,6,30000,20000,3
38,2,7,30002,80
39,2,8,40001,1,4
40,2,9,210013,3
41,2,10,40101,1,4
42,2,11,30000,30000,5
43,2,12,30002,120
44,2,13,40001,1,6
45,2,14,210013,3
46,2,15,40101,1,7
47,2,16,30000,40000,8
48,2,17,30002,160
49,2,18,40001,1,9
50,2,19,210013,3
51,2,20,40101,1,10
52,2,21,30000,50000,10
53,2,22,30002,200
54,2,23,40001,1,11
55,2,24,210013,3
56,2,25,40101,1,12
57,2,26,30000,60000,13
58,2,27,30002,250
59,2,28,40001,1,14
60,2,29,210013,3
61,2,30,40101,1,15
62,2,31,30000,70000,15
63,3,1,30000,10000,1
64,3,2,30002,40
65,3,3,40001,1,2
66,3,4,210013,3
67,3,5,40101,1,3
68,3,6,30000,20000,3
69,3,7,30002,80
70,3,8,40001,1,4
71,3,9,210013,3
72,3,10,40101,1,4
73,3,11,30000,30000,5
74,3,12,30002,120
75,3,13,40001,1,6
76,3,14,210013,3
77,3,15,40101,1,7
78,3,16,30000,40000,8
79,3,17,30002,160
80,3,18,40001,1,9
81,3,19,210013,3
82,3,20,40101,1,10
83,3,21,30000,50000,10
84,3,22,30002,200
85,3,23,40001,1,11
86,3,24,210013,3
87,3,25,40101,1,12
88,3,26,30000,60000,13
89,3,27,30002,250
90,3,28,40001,1,14
91,3,29,210013,3
92,3,30,40101,1,15
93,3,31,30000,70000,15
94,4,1,30000,10000,1
95,4,2,30002,40
96,4,3,40001,1,2
97,4,4,210013,3
98,4,5,40101,1,3
99,4,6,30000,40000,3
100,4,7,30002,80
101,4,8,40001,1,4
102,4,9,210013,3
103,4,10,40101,1,4
104,4,11,30000,50000,5
105,4,12,30002,120
106,4,13,40001,1,6
107,4,14,210013,3
108,4,15,40101,1,7
109,4,16,30000,60000,8
110,4,17,30002,160
111,4,18,40001,1,9
112,4,19,210013,3
113,4,20,40101,1,10
114,4,21,30000,70000,10
115,4,22,30002,200
116,4,23,40001,1,11
117,4,24,210013,3
118,4,25,40101,1,12
119,4,26,30000,80000,13
120,4,27,30002,250
121,4,28,40001,1,14
122,4,29,210013,3
123,4,30,40101,1,15
124,4,31,30000,100000,15
125,5,1,30000,30000,1
126,5,2,30002,40
127,5,3,40001,1,2
