ID,对应等级,奖励ID,奖励数量,描述信息
id,level,itemId,itemNum,description
1,5,30002|30000|20000|40200,20|10000|20|20,达到5级时可领取
2,10,30002|30000|20000|100301,30|20000|20|2,达到10级时可领取
3,15,30002|30000|20000|40000,30|30000|20|5,达到15级时可领取
4,20,30002|30000|20001|40001,50|30000|5|1,达到20级时可领取
5,25,30002|30000|20001|40100,50|40000|10|5,达到25级时可领取
6,30,30002|30000|20001|40101,100|40000|15|1,达到30级时可领取
7,35,30002|30000|20001|30014,100|50000|20|5,达到35级时可领取
8,40,30002|30000|20001|30010,150|60000|25|10,达到40级时可领取
9,45,30002|30000|20001|30010,150|70000|30|15,达到45级时可领取
10,50,30002|30000|20002|30010,200|800000|10|20,达到50级时可领取
11,55,30002|30000|20002|30010,200|100000|15|25,达到55级时可领取
12,60,30002|30000|20002|30010,250|1500000|20|30,达到60级时可领取
