定义的唯一key,描述,允许重复
key,desc,needRepeat
mail_get_attach,成功领取物品！
mail_onekey_attach,所有物品已全部领取！
friend_name_null,玩家名字不能为空
friend_add_self,不能添加自己为好友
friend_already,对方已经是您的好友，请勿重复添加
friend_add_success,申请成功，请等待对方回复
friend_agreed,{0}同意了您的好友请求
friend_refused,{0}拒绝了您的好友请求
send_friend_stam_success,赠送成功
get_friend_stam_success,领取成功
someone_send_stam,{0}给您赠送了体力
onekey_get_stam_success,一键领取体力成功
friend_list_full,您的好友列表已满，不能再添加
get_friend_stam_max,今日可领取次数已达上限
send_friend_stam_max,今日可赠送次数已达上限
some_send_stamina,您的好友{0}向您赠送了体力，快去领取吧！
create_corps_success,创建公会成功
declare_is_null,公会宣言不能为空
modify_declare,修改宣言成功
handle_success,操作成功
req_corps_success,申请成功
be_kickout_from_corps,您被踢出了公会
has_req_already,已在申请中，请等待会长审核
join_corps_success,加入了公会
corps_level_up,您的公会升到了{0}级！
level_no_pet_tip,你没有携带神侍出战，你确定要开始战斗吗？
level_carry_more_pet_tip,你还可以携带{0}个神侍出战，你确定要开始战斗吗？
level_power_tip,你的战斗力偏低，通关难度较大，确定要进入关卡吗？
challenge_in_cool_down,挑战次数正在冷却中
level_star_reward_title,"达到<quad class=""star""><color=#f1d7ad>{0}</color>可领取奖励"
treasure_rob_i_win,你挑战{0}成功，获得{1}x{2}。
treasure_rob_i_lose,你挑战{0}失败，一无所获。
treasure_rob_op_win,{0}对你发起了挑战，你不幸落败，失去{1}x{2}。
treasure_rob_op_lose,{0}对你发起了挑战，你轻易的击败了他，保住了{1}。
loading_not_tips,英雄即将出场，加载不耗流量
link_error,多次尝试重连服务器失败
link_field,连接服务器失败
link_success_auto,自动重新登录成功
reg_account_success,注册成功
parse_message_error,解析服务器下发的数据错误
enter_hero_name,请输入英雄名字
enter_name_error,名字里的“{0}”不允许使用
enter_account,请输入账号
enter_psw,请输入密码
select_server,请选择服务器
buy_challenge_num,是否花费{0}钻购买一次额外挑战次数？
warriors_refresh_tip1,现在有可以领取奖励，刷新后将无法领取到，确定要刷新吗？
warriors_refresh_tip2,当前存在星级（奖励）较高的任务，刷新后将错过，确定要刷新吗？
gold_low,金币不足
diamond_low,钻石不足
give_desc_over_nums,此次捐献已超过公会人数上限，只能获得个人贡献，不能获得公会建设，是否确定？
continue,继续
confirm,确定
cancle,取消
quit_corps_havepeople_desc,卸任会长后才可退出公会
quit_corps_time_desc,退出同时公会将解散并且24小时内不能再加入其它公会，是否确定？
quit_corps_time_desc2,退出公会后24小时内不能再加入其它公会，是否退出？
impeach_progress,弹劾进度
impeach_crops,弹劾会长
reset_nums_no,重置次数已经用完
reset_nums_cost_desc,"是否花费<quad class=\""diamond\""><color=#f1d7ad>{0}</color>\n重置该关卡挑战次数\n(今天剩余可重置次数为{1})"
diamond_buy_desc,当前钻石不足，是否前往购买？
reset_nums,重置次数
refresh_shop_desc,"立即刷新商店需花费<quad class=\""diamond\""><color=#f1d7ad>{0}</color>"
refresh_shop,刷新商店
net_no_request_long_time,网络请求长时间没回应
buy_no_diamond_desc,购买所需花费的钻石不足，是否前往充值?
vip_level_low,VIP等级不足
