道具ID,道具数量
itemId,itemNum
10001,100000
10002,100000
20000,100000
20001,100000
20002,100000
20003,100000
20100,100000
30000,100000
30001,0
30002,100000
30003,100000
30004,100000
30005,100000
30006,100000
30007,100000
30008,100000
30009,100000
30010,100000
40000,100000
40001,100000
40100,100000
40101,100000
40200,100000
40201,100000
40202,100000
40203,100000
40204,100000
40300,100000
100001,100000
100002,100000
100003,100000
100004,100000
100005,100000
100006,100000
100007,100000
100008,100000
100009,100000
100010,100000
100101,100000
100102,100000
100103,100000
100104,100000
100105,100000
100106,100000
100107,100000
100108,100000
100109,100000
100110,100000
100201,100000
100202,100000
100203,100000
100204,100000
100205,100000
100206,100000
100207,100000
100208,100000
100209,100000
100210,100000
100301,100000
100302,100000
100303,100000
100304,100000
100305,100000
100306,100000
100307,100000
100308,100000
100309,100000
100310,100000
100311,100000
100312,100000
100313,100000
100314,100000
100315,100000
100316,100000
100317,100000
100318,100000
110001,100000
110002,100000
110003,100000
110004,100000
110005,100000
110006,100000
110007,100000
110008,100000
210001,100
210002,100
210003,100
210004,100
210005,100
210006,100
210007,100
210008,100
210009,100
210010,100
210011,100
210012,100
210013,100
210014,100
