ID,名字,类型,图标,描述,升级id,最大等级,状态,战斗力值,战斗力系数
id,name,type,icon,description,upgradeId,maxLevel,stateId,power,powerRate
shengming_1,初级生命,1,ui_icon_skill_tianfu_00,,9000,100,11000,{tianfu:cwtf_chuji},0
shengming_2,中级生命,1,ui_icon_skill_tianfu_01,,10000,100,11001,{tianfu:cwtf_zhongji},0
shengming_3,高级生命,1,ui_icon_skill_tianfu_02,,11000,100,11002,{tianfu:cwtf_gaoji},0
gongji_1,初级攻击,1,ui_icon_skill_tianfu_03,,12000,100,11003,{tianfu:cwtf_chuji},0
gongji_2,中级攻击,1,ui_icon_skill_tianfu_00,,9000,100,11004,{tianfu:cwtf_zhongji},0
gongji_3,高级攻击,1,ui_icon_skill_tianfu_01,,10000,100,11005,{tianfu:cwtf_gaoji},0
hujia_1,初级护甲,1,ui_icon_skill_tianfu_02,,11000,100,11006,{tianfu:cwtf_chuji},0
hujia_2,中级护甲,1,ui_icon_skill_tianfu_03,,12000,100,11007,{tianfu:cwtf_zhongji},0
hujia_3,高级护甲,1,ui_icon_skill_tianfu_00,,9000,100,11008,{tianfu:cwtf_gaoji},0
jianmianshanghai_1,初级减免伤害,1,ui_icon_skill_tianfu_01,,10000,100,11009,{tianfu:cwtf_chuji},0
jianmianshanghai_2,中级减免伤害,1,ui_icon_skill_tianfu_02,,11000,100,11010,{tianfu:cwtf_zhongji},0
jianmianshanghai_3,高级减免伤害,1,ui_icon_skill_tianfu_03,,12000,100,11011,{tianfu:cwtf_gaoji},0
zuizhongshanghai_1,初级最终伤害,1,ui_icon_skill_tianfu_01,,10000,100,11012,{tianfu:cwtf_chuji},0
zuizhongshanghai_2,中级最终伤害,1,ui_icon_skill_tianfu_02,,11000,100,11013,{tianfu:cwtf_zhongji},0
zuizhongshanghai_3,高级最终伤害,1,ui_icon_skill_tianfu_03,,12000,100,11014,{tianfu:cwtf_gaoji},0
guanghuan_shengming,生命光环,1,ui_icon_skill_tianfu_00,,9000,100,11015,{tianfu:cwtf_guanghuan},0
guanhuan_gongji,攻击光环,1,ui_icon_skill_tianfu_01,,10000,100,11016,{tianfu:cwtf_guanghuan},0
guanghuan_hujia ,护甲光环,1,ui_icon_skill_tianfu_02,,11000,100,11017,{tianfu:cwtf_guanghuan},0
yongmeng,勇猛,1,ui_icon_skill_tianfu_03,,12000,100,11200,0,{tianfu:cwtf_beidong}
buqu,不屈,1,ui_icon_skill_tianfu_00,,9000,100,11210,0,{tianfu:cwtf_beidong}
zhouren,咒刃,1,ui_icon_skill_tianfu_01,,10000,100,11220,0,{tianfu:cwtf_beidong}
tufu,屠夫,1,ui_icon_skill_tianfu_02,,11000,100,11230,0,{tianfu:cwtf_beidong}
zhuanzhu,专注,1,ui_icon_skill_tianfu_03,,12000,100,11240,0,{tianfu:cwtf_beidong}
renjia,刃甲,1,ui_icon_skill_tianfu_00,,9000,100,11250,0,{tianfu:cwtf_beidong}
shenyou,神佑,1,ui_icon_skill_tianfu_01,,10000,100,11260,0,{tianfu:cwtf_beidong}
huichun,回春,1,ui_icon_skill_tianfu_02,,11000,100,11270,0,{tianfu:cwtf_beidong}
pojia,破甲,1,ui_icon_skill_tianfu_03,,12000,100,11280,0,{tianfu:cwtf_beidong}
jingu,禁锢,1,ui_icon_skill_tianfu_01,,10000,100,11290,0,{tianfu:cwtf_beidong}
mingxiang,冥想,1,ui_icon_skill_tianfu_02,,11000,100,11300,0,{tianfu:cwtf_beidong}
xuruo,虚弱,1,ui_icon_skill_tianfu_03,,12000,100,11310,0,{tianfu:cwtf_beidong}
