ID,角色等级,升级经验,经验系数,体力上限,升级时回复当前体力
,level,needExp,expRatio,maxStamina,upgradeStamina
1,1,3,6,60,3
2,2,6,6,62,3
3,3,6,6,64,3
4,4,6,6,66,6
5,5,6,6,68,6
6,6,6,6,70,6
7,7,6,6,72,6
8,8,12,6,74,6
9,9,12,6,76,6
10,10,12,6,78,6
11,11,12,6,80,6
12,12,36,6,82,6
13,13,48,6,84,6
14,14,60,6,86,6
15,15,72,6,88,6
16,16,84,6,90,6
17,17,96,6,92,6
18,18,120,6,94,6
19,19,150,6,96,6
20,20,180,6,98,6
21,21,216,6,100,6
22,22,264,6,101,6
23,23,312,6,102,6
24,24,372,6,103,6
25,25,432,6,104,6
26,26,504,6,105,6
27,27,576,6,106,6
28,28,660,6,107,6
29,29,744,6,108,6
30,30,840,6,109,6
31,31,936,6,110,6
32,32,1044,6,111,6
33,33,1152,6,112,6
34,34,1272,6,113,6
35,35,1392,6,114,6
36,36,1530,6,115,6
37,37,1668,6,116,6
38,38,1824,6,117,6
39,39,1980,6,118,6
40,40,2154,6,119,6
41,41,2328,6,120,6
42,42,2502,6,121,6
43,43,2706,6,122,6
44,44,2910,6,123,6
45,45,3114,6,124,6
46,46,3384,6,125,6
47,47,3654,6,126,6
48,48,3924,6,127,6
49,49,4194,6,128,6
50,50,4464,6,129,6
51,51,4854,6,130,6
52,52,5244,6,131,6
53,53,5634,6,132,6
54,54,6024,6,133,6
55,55,6414,6,134,6
56,56,7014,6,135,6
57,57,7614,6,136,6
58,58,8214,6,137,6
59,59,8814,6,138,6
60,60,9414,6,139,6
61,61,10254,6,140,6
62,62,11094,6,141,6
63,63,11934,6,142,6
64,64,12774,6,143,6
65,65,13614,6,144,6
66,66,14754,6,145,6
67,67,15894,6,146,6
68,68,17034,6,147,6
69,69,18174,6,148,6
70,70,19314,6,149,6
71,71,20814,6,150,6
72,72,22314,6,151,6
73,73,23814,6,152,6
74,74,25314,6,153,6
75,75,26814,6,154,6
76,76,28314,6,155,6
77,77,29814,6,156,6
78,78,31314,6,157,6
79,79,32814,6,158,6
80,80,34314,6,159,6
81,81,35814,6,160,6
82,82,37314,6,161,6
83,83,38814,6,162,6
84,84,40314,6,163,6
85,85,41814,6,164,6
86,86,43314,6,165,6
87,87,44814,6,166,6
88,88,46314,6,167,6
89,89,47814,6,168,6
90,90,49314,6,169,6
91,91,50814,6,170,6
92,92,52314,6,171,6
93,93,53814,6,172,6
94,94,55314,6,173,6
95,95,56814,6,174,6
96,96,58314,6,175,6
97,97,59814,6,176,6
98,98,61314,6,177,6
99,99,62814,6,178,6
100,100,64314,6,179,6
