难度_评价(见通关评价表),生成Boss计数(-1不限),经验奖励,掉落配置id
id,maxBossCount,exp,reward
1_1,-1,0,2101
1_2,4,0,2102
1_3,3,0,2103
1_4,2,0,2104
1_5,1,0,2105
1_6,0,0,2106
2_1,-1,0,2111
2_2,4,0,2112
2_3,3,0,2113
2_4,2,0,2114
2_5,1,0,2115
2_6,0,0,2116
3_1,-1,0,2121
3_2,4,0,2122
3_3,3,0,2123
3_4,2,0,2124
3_5,1,0,2125
3_6,0,0,2126
4_1,-1,0,2131
4_2,4,0,2132
4_3,3,0,2133
4_4,2,0,2134
4_5,1,0,2135
4_6,0,0,2136
5_1,-1,0,2141
5_2,4,0,2142
5_3,3,0,2143
5_4,2,0,2144
5_5,1,0,2145
5_6,0,0,2146
6_1,-1,0,2151
6_2,4,0,2152
6_3,3,0,2153
6_4,2,0,2154
6_5,1,0,2155
6_6,0,0,2156
