ID,名称,装备位,说明,大图标,小图标,绑定,允许出售,价格id,状态ID,基础属性ID,升级属性分配比例ID,星级,觉醒后装备ID,觉醒消耗ID,武器ID,战斗力初值,战斗力倍数,战斗力系数,觉醒描述
id,name,posIndex,,,icon,,isSell,priceId,stateId,attributeId,attributeAllocateId,star,rouseEquipId,rouseCostId,weaponId,power,powerRate,powerMul,rouseDescription
11000,混沌之刃,6,,,ui_equip_icon_06,是,0,,,v_zb_11000,d_zb_11000,0,11001,jx_0_1,1,3.11,1,0,觉醒<color=#37c21b>复仇之刃</color>，技能击中目标时有<color=#37c21b>10%</color>几率提高自身暴击几率<color=#37c21b>30%</color>，持续<color=#37c21b>5</color>秒，冷却时间<color=#37c21b>15</color>秒。
11001,复仇之刃,6,,,ui_equip_icon_06,是,0,,10010,v_zb_11000,d_zb_11000,1,11002,jx_0_2,1,3.11,1,0.03,觉醒<color=#37c21b>复仇之刃</color>，技能击中目标时有<color=#37c21b>10%</color>几率提高自身暴击几率<color=#37c21b>30%</color>，持续<color=#37c21b>5</color>秒，冷却时间<color=#37c21b>15</color>秒。
11002,复仇之刃,6,,,ui_equip_icon_06,是,0,,10010,v_zb_11000,d_zb_11000,2,11003,jx_0_3,1,3.11,1,0.03,觉醒<color=#37c21b>复仇之刃</color>，技能击中目标时有<color=#37c21b>10%</color>几率提高自身暴击几率<color=#37c21b>30%</color>，持续<color=#37c21b>5</color>秒，冷却时间<color=#37c21b>15</color>秒。
11003,复仇之刃,6,,,ui_equip_icon_06,是,0,,10010,v_zb_11000,d_zb_11000,3,11004,jx_0_4,1,3.11,1,0.03,觉醒<color=#37c21b>复仇之刃</color>，技能击中目标时有<color=#37c21b>10%</color>几率提高自身暴击几率<color=#37c21b>30%</color>，持续<color=#37c21b>5</color>秒，冷却时间<color=#37c21b>15</color>秒。
11004,复仇之刃,6,,,ui_equip_icon_06,是,0,,10010,v_zb_11000,d_zb_11000,4,11005,jx_0_5,1,3.11,1,0.03,觉醒<color=#37c21b>复仇之刃</color>，技能击中目标时有<color=#37c21b>10%</color>几率提高自身暴击几率<color=#37c21b>30%</color>，持续<color=#37c21b>5</color>秒，冷却时间<color=#37c21b>15</color>秒。
11005,复仇之刃,6,,,ui_equip_icon_06,是,0,,10010,v_zb_11000,d_zb_11000,5,,,1,3.11,1,0.03,觉醒<color=#37c21b>复仇之刃</color>，技能击中目标时有<color=#37c21b>10%</color>几率提高自身暴击几率<color=#37c21b>30%</color>，持续<color=#37c21b>5</color>秒，冷却时间<color=#37c21b>15</color>秒。
11100,征服者之剑,7,,,ui_equip_icon_03,是,0,,,v_zb_11100,d_zb_11100,0,11101,jx_1_1,2,3.11,1,0,觉醒<color=#37c21b>奥林匹斯之剑</color>，对目标造成伤害时，<color=#37c21b>20%</color>几率使目标每秒损失<color=#37c21b>5%</color>当前血量，持续<color=#37c21b>3</color>秒，冷却时间<color=#37c21b>10</color>秒。
11101,奥林匹斯之剑,7,,,ui_equip_icon_03,是,0,,10020,v_zb_11100,d_zb_11100,1,11102,jx_1_2,2,3.11,1,0.03,觉醒<color=#37c21b>奥林匹斯之剑</color>，对目标造成伤害时，<color=#37c21b>20%</color>几率使目标每秒损失<color=#37c21b>5%</color>当前血量，持续<color=#37c21b>3</color>秒，冷却时间<color=#37c21b>10</color>秒。
11102,奥林匹斯之剑,7,,,ui_equip_icon_03,是,0,,10020,v_zb_11100,d_zb_11100,2,11103,jx_1_3,2,3.11,1,0.03,觉醒<color=#37c21b>奥林匹斯之剑</color>，对目标造成伤害时，<color=#37c21b>20%</color>几率使目标每秒损失<color=#37c21b>5%</color>当前血量，持续<color=#37c21b>3</color>秒，冷却时间<color=#37c21b>10</color>秒。
