装备类型+装备当前等级,消耗内容
id,cost
0_0,"30000|0,40200|0"
0_1,"30000|50,40200|2"
0_2,"30000|50,40200|2"
0_3,"30000|50,40200|2"
0_4,"30000|50,40200|2"
0_5,"30000|100,40200|3"
0_6,"30000|100,40200|3"
0_7,"30000|100,40200|3"
0_8,"30000|100,40200|3"
0_9,"30000|100,40200|3"
0_10,"30000|500,40200|3"
0_11,"30000|500,40200|3"
0_12,"30000|500,40200|3"
0_13,"30000|500,40200|3"
0_14,"30000|500,40200|3"
0_15,"30000|1000,40200|5"
0_16,"30000|1000,40200|10"
0_17,"30000|1000,40200|15"
0_18,"30000|1000,40200|20"
0_19,"30000|1000,40200|30"
0_20,"30000|2000,40200|30"
0_21,"30000|2000,40200|30"
0_22,"30000|2000,40200|30"
0_23,"30000|2000,40200|30"
0_24,"30000|2000,40200|30"
0_25,"30000|2500,40200|30"
0_26,"30000|2500,40200|30"
0_27,"30000|2500,40200|30"
0_28,"30000|2500,40200|30"
0_29,"30000|2500,40200|30"
0_30,"30000|4000,40200|30"
0_31,"30000|4000,40200|30"
0_32,"30000|4000,40200|30"
0_33,"30000|4000,40200|30"
0_34,"30000|4000,40200|30"
0_35,"30000|7000,40200|50"
0_36,"30000|7000,40200|50"
0_37,"30000|7000,40200|50"
0_38,"30000|7000,40200|50"
0_39,"30000|7000,40200|50"
0_40,"30000|11500,40200|90"
0_41,"30000|11500,40200|90"
0_42,"30000|11500,40200|90"
0_43,"30000|11500,40200|90"
0_44,"30000|11500,40200|90"
0_45,"30000|20000,40200|165"
0_46,"30000|20000,40200|165"
0_47,"30000|20000,40200|165"
0_48,"30000|20000,40200|165"
0_49,"30000|20000,40200|165"
0_50,"30000|32000,40200|245"
0_51,"30000|32000,40200|245"
0_52,"30000|32000,40200|245"
0_53,"30000|32000,40200|245"
0_54,"30000|32000,40200|245"
0_55,"30000|54000,40200|365"
0_56,"30000|54000,40200|365"
0_57,"30000|54000,40200|365"
0_58,"30000|54000,40200|365"
0_59,"30000|54000,40200|365"
0_60,"30000|83000,40200|530"
0_61,"30000|83000,40200|530"
0_62,"30000|83000,40200|530"
0_63,"30000|83000,40200|530"
0_64,"30000|83000,40200|530"
0_65,"30000|140000,40200|735"
0_66,"30000|140000,40200|735"
0_67,"30000|140000,40200|735"
0_68,"30000|140000,40200|735"
0_69,"30000|140000,40200|735"
0_70,"30000|190000,40200|990"
0_71,"30000|190000,40200|990"
0_72,"30000|190000,40200|990"
0_73,"30000|190000,40200|990"
0_74,"30000|190000,40200|990"
0_75,"30000|280000,40200|1260"
0_76,"30000|280000,40200|1260"
0_77,"30000|280000,40200|1260"
0_78,"30000|280000,40200|1260"
0_79,"30000|280000,40200|1260"
0_80,"30000|360000,40200|1530"
0_81,"30000|360000,40200|1530"
0_82,"30000|360000,40200|1530"
0_83,"30000|360000,40200|1530"
0_84,"30000|360000,40200|1530"
0_85,"30000|480000,40200|1805"
0_86,"30000|480000,40200|1805"
0_87,"30000|480000,40200|1805"
0_88,"30000|480000,40200|1805"
0_89,"30000|480000,40200|1805"
0_90,"30000|590000,40200|2075"
0_91,"30000|590000,40200|2075"
0_92,"30000|590000,40200|2075"
0_93,"30000|590000,40200|2075"
0_94,"30000|590000,40200|2075"
0_95,"30000|750000,40200|2345"
0_96,"30000|750000,40200|2345"
0_97,"30000|750000,40200|2345"
0_98,"30000|750000,40200|2345"
0_99,"30000|750000,40200|2345"
1_0,"30000|0,40200|0"
1_1,"30000|50,40200|2"
1_2,"30000|50,40200|2"
1_3,"30000|50,40200|2"
1_4,"30000|50,40200|2"
1_5,"30000|100,40200|3"
1_6,"30000|100,40200|3"
1_7,"30000|100,40200|3"
1_8,"30000|100,40200|3"
1_9,"30000|100,40200|3"
1_10,"30000|500,40200|3"
1_11,"30000|500,40200|3"
1_12,"30000|500,40200|3"
1_13,"30000|500,40200|3"
1_14,"30000|500,40200|3"
1_15,"30000|1000,40200|5"
1_16,"30000|1000,40200|10"
1_17,"30000|1000,40200|15"
1_18,"30000|1000,40200|20"
1_19,"30000|1000,40200|30"
1_20,"30000|2000,40200|30"
1_21,"30000|2000,40200|30"
1_22,"30000|2000,40200|30"
1_23,"30000|2000,40200|30"
1_24,"30000|2000,40200|30"
1_25,"30000|2500,40200|30"
1_26,"30000|2500,40200|30"
1_27,"30000|2500,40200|30"
1_28,"30000|2500,40200|30"
1_29,"30000|2500,40200|30"
1_30,"30000|4000,40200|30"
1_31,"30000|4000,40200|30"
1_32,"30000|4000,40200|30"
1_33,"30000|4000,40200|30"
1_34,"30000|4000,40200|30"
1_35,"30000|7000,40200|50"
1_36,"30000|7000,40200|50"
1_37,"30000|7000,40200|50"
1_38,"30000|7000,40200|50"
1_39,"30000|7000,40200|50"
1_40,"30000|11500,40200|90"
1_41,"30000|11500,40200|90"
1_42,"30000|11500,40200|90"
1_43,"30000|11500,40200|90"
1_44,"30000|11500,40200|90"
1_45,"30000|20000,40200|165"
1_46,"30000|20000,40200|165"
1_47,"30000|20000,40200|165"
1_48,"30000|20000,40200|165"
1_49,"30000|20000,40200|165"
1_50,"30000|32000,40200|245"
1_51,"30000|32000,40200|245"
1_52,"30000|32000,40200|245"
1_53,"30000|32000,40200|245"
1_54,"30000|32000,40200|245"
1_55,"30000|54000,40200|365"
1_56,"30000|54000,40200|365"
1_57,"30000|54000,40200|365"
1_58,"30000|54000,40200|365"
1_59,"30000|54000,40200|365"
1_60,"30000|83000,40200|530"
1_61,"30000|83000,40200|530"
1_62,"30000|83000,40200|530"
1_63,"30000|83000,40200|530"
1_64,"30000|83000,40200|530"
1_65,"30000|140000,40200|735"
1_66,"30000|140000,40200|735"
1_67,"30000|140000,40200|735"
1_68,"30000|140000,40200|735"
1_69,"30000|140000,40200|735"
1_70,"30000|190000,40200|990"
1_71,"30000|190000,40200|990"
1_72,"30000|190000,40200|990"
1_73,"30000|190000,40200|990"
1_74,"30000|190000,40200|990"
1_75,"30000|280000,40200|1260"
1_76,"30000|280000,40200|1260"
1_77,"30000|280000,40200|1260"
1_78,"30000|280000,40200|1260"
1_79,"30000|280000,40200|1260"
1_80,"30000|360000,40200|1530"
1_81,"30000|360000,40200|1530"
1_82,"30000|360000,40200|1530"
1_83,"30000|360000,40200|1530"
1_84,"30000|360000,40200|1530"
1_85,"30000|480000,40200|1805"
1_86,"30000|480000,40200|1805"
1_87,"30000|480000,40200|1805"
1_88,"30000|480000,40200|1805"
1_89,"30000|480000,40200|1805"
1_90,"30000|590000,40200|2075"
1_91,"30000|590000,40200|2075"
1_92,"30000|590000,40200|2075"
1_93,"30000|590000,40200|2075"
1_94,"30000|590000,40200|2075"
1_95,"30000|750000,40200|2345"
1_96,"30000|750000,40200|2345"
1_97,"30000|750000,40200|2345"
1_98,"30000|750000,40200|2345"
1_99,"30000|750000,40200|2345"
2_0,"30000|0,40200|0"
2_1,"30000|50,40200|2"
2_2,"30000|50,40200|2"
2_3,"30000|50,40200|2"
2_4,"30000|50,40200|2"
2_5,"30000|100,40200|3"
2_6,"30000|100,40200|3"
2_7,"30000|100,40200|3"
2_8,"30000|100,40200|3"
2_9,"30000|100,40200|3"
2_10,"30000|500,40200|3"
2_11,"30000|500,40200|3"
2_12,"30000|500,40200|3"
2_13,"30000|500,40200|3"
2_14,"30000|500,40200|3"
2_15,"30000|1000,40200|5"
2_16,"30000|1000,40200|10"
2_17,"30000|1000,40200|15"
2_18,"30000|1000,40200|20"
2_19,"30000|1000,40200|30"
2_20,"30000|2000,40200|30"
2_21,"30000|2000,40200|30"
2_22,"30000|2000,40200|30"
2_23,"30000|2000,40200|30"
2_24,"30000|2000,40200|30"
2_25,"30000|2500,40200|30"
2_26,"30000|2500,40200|30"
2_27,"30000|2500,40200|30"
2_28,"30000|2500,40200|30"
2_29,"30000|2500,40200|30"
2_30,"30000|4000,40200|30"
2_31,"30000|4000,40200|30"
2_32,"30000|4000,40200|30"
2_33,"30000|4000,40200|30"
2_34,"30000|4000,40200|30"
2_35,"30000|7000,40200|50"
2_36,"30000|7000,40200|50"
2_37,"30000|7000,40200|50"
2_38,"30000|7000,40200|50"
2_39,"30000|7000,40200|50"
2_40,"30000|11500,40200|90"
2_41,"30000|11500,40200|90"
2_42,"30000|11500,40200|90"
2_43,"30000|11500,40200|90"
2_44,"30000|11500,40200|90"
2_45,"30000|20000,40200|165"
2_46,"30000|20000,40200|165"
2_47,"30000|20000,40200|165"
2_48,"30000|20000,40200|165"
2_49,"30000|20000,40200|165"
2_50,"30000|32000,40200|245"
2_51,"30000|32000,40200|245"
2_52,"30000|32000,40200|245"
2_53,"30000|32000,40200|245"
2_54,"30000|32000,40200|245"
2_55,"30000|54000,40200|365"
2_56,"30000|54000,40200|365"
2_57,"30000|54000,40200|365"
2_58,"30000|54000,40200|365"
2_59,"30000|54000,40200|365"
2_60,"30000|83000,40200|530"
2_61,"30000|83000,40200|530"
2_62,"30000|83000,40200|530"
2_63,"30000|83000,40200|530"
2_64,"30000|83000,40200|530"
2_65,"30000|140000,40200|735"
2_66,"30000|140000,40200|735"
2_67,"30000|140000,40200|735"
2_68,"30000|140000,40200|735"
2_69,"30000|140000,40200|735"
2_70,"30000|190000,40200|990"
2_71,"30000|190000,40200|990"
2_72,"30000|190000,40200|990"
2_73,"30000|190000,40200|990"
2_74,"30000|190000,40200|990"
2_75,"30000|280000,40200|1260"
2_76,"30000|280000,40200|1260"
2_77,"30000|280000,40200|1260"
2_78,"30000|280000,40200|1260"
2_79,"30000|280000,40200|1260"
2_80,"30000|360000,40200|1530"
2_81,"30000|360000,40200|1530"
2_82,"30000|360000,40200|1530"
2_83,"30000|360000,40200|1530"
2_84,"30000|360000,40200|1530"
2_85,"30000|480000,40200|1805"
2_86,"30000|480000,40200|1805"
2_87,"30000|480000,40200|1805"
2_88,"30000|480000,40200|1805"
2_89,"30000|480000,40200|1805"
2_90,"30000|590000,40200|2075"
2_91,"30000|590000,40200|2075"
2_92,"30000|590000,40200|2075"
2_93,"30000|590000,40200|2075"
2_94,"30000|590000,40200|2075"
2_95,"30000|750000,40200|2345"
2_96,"30000|750000,40200|2345"
2_97,"30000|750000,40200|2345"
2_98,"30000|750000,40200|2345"
2_99,"30000|750000,40200|2345"
3_0,"30000|0,40200|0"
3_1,"30000|50,40200|2"
3_2,"30000|50,40200|2"
3_3,"30000|50,40200|2"
