道具id,单个道具折合圣火培养道具个数,"所在位置
数字小的显示在前面"
id,exp,order
100001,3,1
100002,3,4
100003,4,7
100004,4,10
100005,5,13
100006,5,16
100007,6,19
100008,6,22
100009,7,25
100010,7,28
100101,3,2
100102,3,5
100103,4,8
100104,4,11
100105,5,14
100106,5,17
100107,6,20
100108,6,23
100109,7,26
100110,7,29
100201,3,3
100202,3,6
100203,4,9
100204,4,12
100205,5,15
100206,5,18
100207,6,21
100208,6,24
100209,7,27
100210,7,30
100303,4,31
100304,4,32
100305,5,33
100306,5,34
100307,6,35
100308,6,36
100309,7,37
100310,7,38
100311,8,39
100312,8,40
100313,9,41
100314,9,42
100315,10,43
100316,10,44
100317,11,45
100318,11,46
100319,12,47
100320,12,48
20000,1,49
20001,2,50
20002,5,51
20003,10,52
210001,15,53
210002,15,54
210003,15,55
210004,15,56
210005,15,57
210006,15,58
210007,15,59
210008,15,60
210009,15,61
210010,15,62
210011,15,63
210012,15,64
