等阶,需要等级,品质颜色,品质等级(+几),天赋最高等级,初值系数,等级系数
advLv,needLv,quality,qualityLevel,maxTalentLv,baseRate,lvRate
1,30,0,0,30,0,0
2,33,0,1,33,0.75,0.75
3,35,0,2,35,1.8,1
4,38,1,0,38,3.2,1.25
5,40,1,1,40,4.8,1.5
6,43,1,2,43,7.2,1.75
7,45,1,3,45,11.03,2
8,48,2,0,48,14.88,2.25
9,50,2,1,50,18.74,2.5
10,53,2,2,53,22.61,2.75
11,55,2,3,55,26.49,3
12,60,2,4,60,30.38,3.25
13,65,3,0,65,34.27,3.5
14,70,3,1,70,38.17,3.75
15,75,3,2,75,42.08,4
16,80,3,3,80,46,46
17,85,3,4,85,46,46
18,90,3,5,90,46,46
19,95,4,0,95,46,46
20,100,4,1,100,46,46
21,,4,2,100,46,46
