等级,系数（装备、角色、宠物）,角色减伤率(f(lv),宠物减伤率f(lv),怪物减伤率f(lv)
lv,rate,defRateRole,defRatePet,defRateMonster
1,0,63,63,63
2,5,69,69,55
3,10,75,75,68
4,15,82,82,82
5,20,114,114,99
6,25,120,120,113
7,30,126,126,120
8,35,132,132,135
9,40,138,138,159
10,45,174,174,197
11,50,179,179,221
12,55,186,186,245
13,60,191,191,273
14,65,197,197,303
15,70,259,259,335
16,75,275,275,370
17,80,291,291,410
18,85,306,306,452
19,90,321,321,497
20,95,506,506,547
21,100,565,565,601
22,105,609,609,660
23,110,651,651,722
24,115,707,707,790
25,120,872,872,864
26,125,911,911,942
27,130,963,963,1027
28,135,1000,1000,1118
29,140,1036,1036,1216
30,145,1273,1273,1320
31,150,1299,1299,1431
32,155,1326,1326,1550
33,160,1351,1351,1678
34,165,1376,1376,1813
35,170,1506,1506,1958
36,175,1530,1530,2111
37,180,1554,1554,2274
38,185,1576,1576,2448
39,190,1599,1599,2631
40,195,1726,1726,2826
41,200,1748,1748,3032
42,205,1769,1769,3251
43,210,1775,1775,3481
44,215,1782,1782,3724
45,220,2235,2235,3981
46,225,2239,2239,4253
47,230,2242,2242,4540
48,235,2245,2245,4841
49,240,2248,2248,5159
50,245,2785,2785,5492
51,250,2784,2784,5843
52,255,2783,2783,6212
53,260,2782,2782,6599
54,265,2781,2781,7006
55,270,3435,3435,7434
56,275,3429,3429,7881
57,280,3424,3424,8351
58,285,3419,3419,8843
59,290,3414,3414,9358
60,295,4305,4305,9895
61,300,4294,4294,10458
62,305,4282,4282,11049
63,310,4272,4272,11664
64,315,4260,4260,12310
65,320,5353,5353,12981
66,325,5334,5334,13685
67,330,5317,5317,14417
68,335,5299,5299,15182
69,340,5282,5282,15977
70,345,6594,6594,16809
71,350,6569,6569,17678
72,355,6543,6543,18580
73,360,6518,6518,19521
74,365,6493,6493,20501
75,370,8093,8093,21519
76,375,8059,8059,22582
77,380,8025,8025,23686
78,385,7991,7991,24832
79,390,7958,7958,26027
80,395,9825,9825,27269
81,400,9781,9781,28559
82,405,9737,9737,29900
83,410,9693,9693,31294
84,415,9651,9651,32742
85,420,9708,9708,34243
86,425,9666,9666,35803
87,430,9624,9624,37423
88,435,9584,9584,39102
89,440,9543,9543,40848
90,445,9602,9602,42656
91,450,9563,9563,44533
92,455,9524,9524,46477
93,460,9485,9485,48495
94,465,9448,9448,50589
95,470,9508,9508,52757
96,475,9471,9471,55003
97,480,9434,9434,57334
98,485,9398,9398,59747
99,490,9362,9362,62244
100,495,9424,9424,64834
