系统id,系统名称,"看不看得到
0默认开启
1不开启
2服务器开服xx天开启
3角色创建账号xx天开启
","解锁（是不是灰的）(如有多个逗号隔开)
0默认解锁 0
1通关副本 1|副本id
2等级到达 2|10(等级)
3任务触发 3|任务id
","是不是灰的(如有多个逗号隔开)
1.每天几点到几点 1|0 0 3 2 1 *-0 0 4 2 1 *
2.多少级 2|等级
3.开服xx天 3|天数
4.角色创建账号xx开启 4|天数","重置时间
格式：0 0 4 * * *"
id,name,visibility,activeCond,openCond,resetTime
3,VIP,0,0
4,任务,0,0
5,邮件,0,0
6,排行榜,0,0
7,如何变强,0,0
8,聊天气泡,0,0
9,体力,0,0
10,金币,0,0
11,钻石,0,0
12,签到,0,1|3
13,首冲,0,0
14,开服狂欢,0,0
15,战争学院,0,1|9
16,副本,0,0
17,竞技场,0,1|13
18,英雄,0,1|1
19,战宠,0,1|6
20,武器,0,1|7
21,运营活动,0,1|3
22,圣火,0,1|45
50,爱神的恩赐,0,1|9,1|0 0 12 * * *-0 0 14 * * *|0 0 18 * * *-0 0 22 * * *,0 0 0 * * *
51,哈迪斯之血,0,1|11,,0 0 5 * * *
52,金币副本,0,1|9,,0 0 5 * * *
53,好友,0,0
54,每日任务,0,1|15
55,守护家园,0,1|20,,0 0 5 * * *
56,公会,0,1|17
57,商店,0,1|13
58,宝藏,0,1|6
59,顶级宝藏,0,1|6
60,勇士试炼,0,1|28
61,神器抢夺,0,1|35
62,武器-剑,0,1|10
63,武器-武装,0,1|20
64,武器-锤,0,1|30
65,高级宝藏,0,1|6
66,神侍进阶,0,2|30
67,神侍天赋,0,2|40
