ID,箱子编号,活跃度,奖励物品id,奖励数量,等级
id,boxNum,vitality,itemId,itemNum,level
1,1,20,30000|20000,10000|24,0
2,2,60,30000|20000|30002,20000|36|10,0
3,3,110,30000|30002|210006,30000|15|1,0
4,4,150,30000|30002|30005,50000|20|1,0
5,1,20,30000|20000,10000|36,25
6,2,60,30000|20000|30002,20000|54|10,25
7,3,110,30000|30002|210006,30000|15|1,25
8,4,150,30000|30002|30005,50000|20|1,25
9,1,20,30000|20000,10000|54,35
10,2,60,30000|20000|30002,20000|81|10,35
11,3,110,30000|30002|210006,30000|15|1,35
12,4,150,30000|30002|30005,50000|20|1,35
13,1,20,30000|20001,10000|20,45
14,2,60,30000|20001|30002,20000|31|10,45
15,3,110,30000|30002|210006,30000|15|1,45
16,4,150,30000|30002|30005,50000|20|1,45
17,1,20,30000|20001,10000|30,55
18,2,60,30000|20001|30002,20000|47|10,55
19,3,110,30000|30002|210006,30000|15|1,55
20,4,150,30000|30002|30005,50000|20|1,55
21,1,20,30000|20001,10000|46,65
22,2,60,30000|20001|30002,20000|70|10,65
23,3,110,30000|30002|210006,30000|15|1,65
24,4,150,30000|30002|30005,50000|20|1,65
25,1,20,30000|20002,10000|14,75
26,2,60,30000|20002|30002,20000|21|10,75
27,3,110,30000|30002|210006,30000|15|1,75
28,4,150,30000|30002|30005,50000|20|1,75
29,1,20,30000|20002,10000|21,85
30,2,60,30000|20002|30002,20000|32|10,85
31,3,110,30000|30002|210006,30000|15|1,85
32,4,150,30000|30002|30005,50000|20|1,85
33,1,20,30000|20002,10000|32,95
34,2,60,30000|20002|30002,20000|48|10,95
35,3,110,30000|30002|210006,30000|15|1,95
36,4,150,30000|30002|30005,50000|20|1,95
37,1,20,30000|20003,10000|9,105
38,2,60,30000|20003|30002,20000|15|10,105
39,3,110,30000|30002|210006,30000|15|1,105
40,4,150,30000|30002|30005,50000|20|1,105
