vip等级,需要累计充值,购买体力次数,每日精英副本重置次数,每日竞技场购买次数,副本单轮最大扫荡次数,竞技场冷却时间（秒）,描述内容文字（第一项是标题）
level,totalRecharge,staminaBuyNum,specialLvlResetNum,arenaBuyNum,sweepLvlTimes,arenaFreezeTime,description
0,0,2,1,2,5,600,VIP0特权|每日可购买体力<color=#37c21b>2</color>次|每日可点金<color=#37c21b>3</color>次|每天每个精英副本可重置<color=#37c21b>1</color>次|每日可购买竞技场<color=#37c21b>2</color>次
1,60,3,1,2,5,600,VIP1特权|需要充值达到<color=#37c21b>60</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>3</color>次|每日可点金<color=#37c21b>5</color>次|每天每个精英副本可重置<color=#37c21b>1</color>次|每日可购买竞技场<color=#37c21b>2</color>次
2,300,4,2,2,5,600,VIP2特权|需要充值达到<color=#37c21b>300</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>4</color>次|每日可点金<color=#37c21b>7</color>次|<color=#37c21b>每天每个精英副本可重置<color=#37c21b>2</color>次</color>|每日可购买竞技场<color=#37c21b>2</color>次
3,600,5,2,2,5,600,VIP3特权|需要充值达到<color=#37c21b>600</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>5</color>次|每日可点金<color=#37c21b>9</color>次|每天每个精英副本可重置<color=#37c21b>2</color>次|每日可购买竞技场<color=#37c21b>2</color>次|单次副本最大扫荡次数提高至<color=#37c21b>5</color>次
4,1000,6,2,2,10,600,VIP4特权|需要充值达到<color=#37c21b>1000</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>6</color>次|每日可点金<color=#37c21b>12</color>次|每天每个精英副本可重置<color=#37c21b>2</color>次|每日可购买竞技场<color=#37c21b>2</color>次|单次副本最大扫荡次数提高至<color=#37c21b>10</color>次
5,2000,7,3,3,10,600,VIP5特权|需要充值达到<color=#37c21b>2000</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>7</color>次|每日可点金<color=#37c21b>16</color>次|<color=#37c21b>每天每个精英副本可重置<color=#37c21b>3</color>次</color>|<color=#37c21b>每日可购买竞技场<color=#37c21b>3</color>次</color>|<color=#37c21b>公会内可使用高级建设功能</color>|单次副本最大扫荡次数提高至<color=#37c21b>10</color>次
6,3000,8,3,3,10,600,VIP6特权|需要充值达到<color=#37c21b>3000</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>8</color>次|每日可点金<color=#37c21b>20</color>次|每天每个精英副本可重置<color=#37c21b>3</color>次|每日可购买竞技场<color=#37c21b>3</color>次|单次副本最大扫荡次数提高至<color=#37c21b>10</color>次|公会内可使用高级建设功能
7,5000,9,3,3,10,120,VIP7特权|需要充值达到<color=#37c21b>5000</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>9</color>次|每日可点金<color=#37c21b>25</color>次|<color=#37c21b>竞技场冷却时间降至<color=#37c21b>2</color>分钟</color>|每天每个精英副本可重置<color=#37c21b>3</color>次|每日可购买竞技场<color=#37c21b>3</color>次|单次副本最大扫荡次数提高至<color=#37c21b>10</color>次|公会内可使用高级建设功能
8,7000,10,3,3,10,120,VIP8特权|需要充值达到<color=#37c21b>7000</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>10</color>次|每日可点金<color=#37c21b>30</color>次|<color=#37c21b>每日可领取高级令<color=#37c21b>1</color>个</color>|每天每个精英副本可重置<color=#37c21b>3</color>次|每日可购买竞技场<color=#37c21b>3</color>次|单次副本最大扫荡次数提高至<color=#37c21b>10</color>次|竞技场冷却时间降至<color=#37c21b>2</color>分钟|公会内可使用高级建设功能
9,10000,11,3,4,20,120,VIP9特权|需要充值达到<color=#37c21b>10000</color>钻石即可享受相应特权|每日可购买体力<color=#37c21b>11</color>次|每日可点金<color=#37c21b>35</color>次|<color=#37c21b>每日可购买竞技场<color=#37c21b>4</color>次</color>|<color=#37c21b>单次副本最大扫荡次数提高至<color=#37c21b>20</color>次</color>|<color=#37c21b>可快速完成勇士试炼任务</color>|每天每个精英副本可重置<color=#37c21b>3</color>次|竞技场冷却时间降至<color=#37c21b>2</color>分钟|公会内可使用高级建设功能|每日可领取高级令<color=#37c21b>1</color>个
