进阶消耗ID(部位+当前等阶）,消耗内容,宠物消耗内容
id,cost,costPet
0_1,"30000|100,100001|1,100101|1,100201|1","30000|100,10002|1"
0_2,"30000|200,100001|2,100101|2,100201|2","30000|200,10002|1"
0_3,"30000|1000,100001|3,100101|3,100201|3","30000|1000,10002|2"
0_4,"30000|1800,100002|8,100102|8,100202|8,100302|1","30000|1800,10002|2"
0_5,"30000|2500,100002|12,100102|12,100202|12,100302|1","30000|2500,10002|2"
0_6,"30000|2500,100002|12,100102|12,100202|12,100303|1","30000|2500,10002|2"
0_7,"30000|3000,100002|15,100102|15,100202|15,100303|1","30000|3000,10002|2"
0_8,"30000|3000,100003|15,100103|15,100203|15,100304|1","30000|3000,10002|2"
0_9,"30000|4000,100003|25,100103|25,100203|25,100304|2","30000|4000,10002|2"
0_10,"30000|4000,100003|30,100103|30,100203|30,100305|2","30000|4000,10002|2"
0_11,"30000|7500,100003|50,100103|50,100203|50,100305|3","30000|7500,10002|2"
0_12,"30000|7500,100004|60,100104|60,100204|60,100306|4","30000|7500,10002|2"
0_13,"30000|12000,100004|80,100104|80,100204|80,100306|5","30000|12000,10002|2"
0_14,"30000|12000,100004|110,100104|110,100204|110,100307|7","30000|12000,10002|2"
0_15,"30000|21500,100004|140,100104|140,100204|140,100307|9","30000|21500,10002|10"
0_16,"30000|21500,100005|175,100105|175,100205|175,100308|11","30000|21500,10002|10"
0_17,"30000|34500,100005|220,100105|220,100205|220,100308|14","30000|34500,10002|15"
0_18,"30000|34500,100005|280,100105|280,100205|280,100309|18","30000|34500,10002|20"
0_19,"30000|58000,100005|350,100105|350,100205|350,100309|22","30000|58000,10002|30"
0_20,"30000|58000,100006|430,100106|430,100206|430,100310|27","30000|58000,10002|30"
0_21,"30000|89000,100006|530,100106|530,100206|530,100310|33","30000|89000,10002|45"
0_22,"30000|89000,100006|630,100106|630,100206|630,100311|39","30000|89000,10002|50"
0_23,"30000|140000,100006|750,100106|750,100206|750,100311|47","30000|140000,10002|65"
0_24,"30000|140000,100007|850,100107|850,100207|850,100312|54","30000|140000,10002|80"
0_25,"30000|210000,100007|980,100107|980,100207|980,100312|61","30000|210000,10002|90"
0_26,"30000|210000,100007|1100,100107|1100,100207|1100,100313|68","30000|210000,10002|95"
0_27,"30000|300000,100007|1200,100107|1200,100207|1200,100313|76","30000|300000,10002|120"
0_28,"30000|300000,100008|1350,100108|1350,100208|1350,100314|83","30000|300000,10002|135"
0_29,"30000|390000,100008|1450,100108|1450,100208|1450,100314|90","30000|390000,10002|145"
0_30,"30000|390000,100008|1550,100108|1550,100208|1550,100315|97","30000|390000,10002|160"
0_31,"30000|510000,100008|1670,100108|1670,100208|1670,100315|105","30000|510000,10002|180"
