进阶消耗ID,消耗内容
id,cost
jx_0_1,"110001|1,110002|1"
jx_0_2,"110001|2,110002|1"
jx_0_3,"110001|4,110002|1"
jx_0_4,"110001|8,110002|1"
jx_0_5,"110001|16,110002|1"
jx_1_1,"110001|1,110003|1"
jx_1_2,"110001|2,110003|1"
jx_1_3,"110001|4,110003|1"
jx_1_4,"110001|8,110003|1"
jx_1_5,"110001|16,110003|1"
jx_2_1,"110001|1,110004|1"
jx_2_2,"110001|2,110004|1"
jx_2_3,"110001|4,110004|1"
jx_2_4,"110001|8,110004|1"
jx_2_5,"110001|16,110004|1"
jx_3_1,"110001|1,110005|1"
jx_3_2,"110001|2,110005|1"
jx_3_3,"110001|4,110005|1"
jx_3_4,"110001|8,110005|1"
jx_3_5,"110001|16,110005|1"
jx_4_1,110001|2
jx_4_2,110001|4
jx_4_3,110001|8
jx_4_4,110001|16
jx_4_5,110001|32
jx_5_1,110001|2
jx_5_2,110001|4
jx_5_3,110001|8
jx_5_4,110001|16
jx_5_5,110001|32
jx_6_1,110001|2
jx_6_2,110001|4
jx_6_3,110001|8
jx_6_4,110001|16
jx_6_5,110001|32
jx_7_1,110001|2
jx_7_2,110001|4
jx_7_3,110001|8
jx_7_4,110001|16
jx_7_5,110001|32
jx_8_1,"110001|1,110007|1"
jx_8_2,"110001|2,110007|1"
jx_8_3,"110001|4,110007|1"
jx_8_4,"110001|8,110007|1"
jx_8_5,"110001|16,110007|1"
jx_9_1,"110001|1,110008|1"
jx_9_2,"110001|2,110008|1"
jx_9_3,"110001|4,110008|1"
jx_9_4,"110001|8,110008|1"
jx_9_5,"110001|16,110008|1"
jx_10_1,"110001|1,110006|1"
jx_10_2,"110001|2,110006|1"
jx_10_3,"110001|4,110006|1"
jx_10_4,"110001|8,110006|1"
jx_10_5,"110001|16,110006|1"
