ID,对应等级,奖励ID,奖励数量,描述信息
id,level,itemId,itemNum,description
1,5,30002|30000|40000|10002,10|5000|2|1,达到5级可领取
2,10,30002|30000|40100|10002,20|10000|2|1,达到10级可领取
3,15,30002|30000|40000|10002,20|20000|3|2,达到15级可领取
4,20,30002|30000|40100|10002,50|50000|3|2,达到20级可领取
5,25,30002|30000|40000|40100,50|50000|4|4,达到25级可领取
6,30,30002|30000|40000|40100,50|50000|4|4,达到30级可领取
7,35,30002|30000|40000|40100,50|50000|5|5,达到35级可领取
8,40,30002|30000|40000|40100,50|50000|5|5,达到40级可领取
9,45,30002|30000|40000|40100,100|100000|5|5,达到45级可领取
10,50,30002|30000|40000|40100,100|100000|5|5,达到50级可领取
11,55,30002|30000|40000|40100,100|100000|5|5,达到55级可领取
12,60,30002|30000|40000|40100,100|100000|5|5,达到60级可领取
13,65,30002|30000|40000|40100,100|100000|5|5,达到65级可领取
14,70,30002|30000|40000|40100,100|100000|5|5,达到70级可领取
15,75,30002|30000|40000|40100,100|100000|5|5,达到75级可领取
16,80,30002|30000|40000|40100,100|100000|5|5,达到80级可领取
17,85,30002|30000|40000|40100,100|100000|5|5,达到85级可领取
18,90,30002|30000|40000|40100,100|100000|5|5,达到90级可领取
19,95,30002|30000|40000|40100,100|100000|5|5,达到95级可领取
20,100,30002|30000|40000|40100,100|100000|5|5,达到100级可领取
