随机项ID,随机库ID,对象类型（1道具，2神侍）,对象ID（物品ID或神侍ID）,数量,基础权重,附加权重（使用方法：项权重=项基础权重+附加权重*库未抽中次数，一旦抽中了本库附加权重大于0的项，库未抽中次数清0，库未抽中次数就是累计购买次数减上次本库附加权重大于0的项抽中时所属次数）,翻牌展示 效果（1、简单展示，2紫色展示，3橙色展示）,是否广播（0不广播，1广播）
randId,randPoolId,objectType,objectId,count,basicWeight,addedWeight,turnType,broadcast
1,10,1,110002,1,120,0,3,1
2,10,1,110003,1,120,0,3,1
3,10,1,110004,1,120,0,3,1
4,10,1,110005,1,120,0,3,1
5,10,1,110006,1,120,0,3,1
6,10,1,110008,1,600,0,3,1
7,10,1,110007,1,600,0,3,1
8,10,1,110001,1,7000,0,3,1
9,10,1,40000,5,17800,0,1,0
10,10,1,40100,5,17800,0,1,0
11,10,1,40001,2,9000,0,2,0
12,10,1,40101,2,9000,0,2,0
13,10,1,40201,1,750,0,2,0
14,10,1,40202,1,750,0,2,0
15,10,1,40203,1,750,0,2,0
16,10,1,40204,1,750,0,2,0
17,10,1,40300,10,17600,0,1,0
18,10,1,30010,5,17000,0,1,0
19,11,1,110001,1,100,0,3,1
20,20,1,110002,1,120,0,3,1
21,20,1,110003,1,120,0,3,1
22,20,1,110004,1,120,0,3,1
23,20,1,110005,1,120,0,3,1
24,20,1,110006,1,120,0,3,1
25,20,1,110008,1,600,0,3,1
26,20,1,110007,1,600,0,3,1
27,20,1,110001,1,1000,0,3,1
28,20,1,40000,5,19300,0,1,0
29,20,1,40100,5,19300,0,1,0
30,20,1,40001,2,9000,0,2,0
31,20,1,40101,2,9000,0,2,0
32,20,1,40201,1,750,0,2,0
33,20,1,40202,1,750,0,2,0
34,20,1,40203,1,750,0,2,0
35,20,1,40204,1,750,0,2,0
36,20,1,40300,10,17600,0,1,0
37,20,1,30010,5,20000,0,1,0
38,21,1,110001,1,100,0,3,1
39,30,2,cw_2,1,1333,0,3,1
40,30,2,cw_6,1,1333,0,3,1
41,30,2,cw_14,1,1333,0,3,1
42,30,2,cw_8,1,1333,0,3,1
43,30,2,cw_8,1,1333,0,3,1
44,30,2,cw_14,1,1333,0,3,1
45,30,2,cw_2,1,1000,0,3,1
46,30,2,cw_6,1,1000,0,3,1
47,30,2,cw_13,1,1000,0,3,1
48,30,2,cw_13,1,1000,0,3,1
49,30,2,cw_14,1,1000,0,3,1
50,30,2,cw_2,1,667,0,3,1
51,30,2,cw_6,1,667,0,3,1
52,30,2,cw_13,1,667,0,3,1
53,30,1,210002,1,143,0,1,0
54,30,1,210006,1,143,0,1,0
55,30,1,210014,1,143,0,1,0
56,30,1,210008,1,143,0,1,0
57,30,1,210008,1,143,0,1,0
58,30,1,210014,1,143,0,1,0
59,30,1,210002,1,143,0,1,0
60,30,1,210006,1,143,0,1,0
61,30,1,210013,1,143,0,1,0
62,30,1,210013,1,143,0,1,0
63,30,1,210014,1,143,0,1,0
64,30,1,210002,1,143,0,1,0
65,30,1,210006,1,143,0,1,0
66,30,1,210013,1,143,0,1,0
67,30,1,210002,2,1429,0,1,0
68,30,1,210006,2,1429,0,1,0
69,30,1,210014,2,1429,0,1,0
