定义的唯一key,描述,允许重复
key,desc,needRepeat
mail_get_attach,成功领取物品！
mail_onekey_attach,所有物品已全部领取！
friend_name_null,玩家名字不能为空
friend_add_self,不能添加自己为好友
friend_already,对方已经是您的好友，请勿重复添加
friend_add_success,申请成功，请等待对方回复
friend_agreed,{0}同意了您的好友请求
friend_refused,{0}拒绝了您的好友请求
send_friend_stam_success,赠送成功
get_friend_stam_success,领取成功
someone_send_stam,{0}给您赠送了体力
onekey_get_stam_success,一键领取体力成功
friend_list_full,您的好友列表已满，不能再添加
get_friend_stam_max,今日可领取次数已达上限
send_friend_stam_max,今日可赠送次数已达上限
some_send_stamina,您的好友{0}向您赠送了体力，快去领取吧！
create_corps_success,创建公会成功
declare_is_null,公会宣言不能为空
modify_declare,修改宣言成功
handle_success,操作成功
req_corps_success,申请成功
be_kickout_from_corps,您被踢出了公会
has_req_already,已在申请中，请等待会长审核
join_corps_success,加入了公会
corps_level_up,您的公会升到了{0}级！
level_no_pet_tip,你没有携带神侍出战，你确定要开始战斗吗？
level_carry_more_pet_tip,你还可以携带{0}个神侍出战，你确定要开始战斗吗？
level_pet_tip_btn_ok,确定,1
level_pet_tip_btn_cancel,取消,1
level_power_tip,你的战斗力偏低，通关难度较大，确定要进入关卡吗？
level_power_tip_btn_ok,确定,1
level_power_tip_btn_cancel,取消,1
challenge_in_cool_down,挑战次数正在冷却中
