道具ID,道具数量
itemId,itemNum
10001,10000000
10002,10000000
20000,10000000
20001,10000000
20002,10000000
20003,10000000
20100,10000000
30000,10000000
30001,10000000
30002,10000000
30003,10000000
30004,10000000
30005,10000000
30006,10000000
30007,10000000
30008,10000000
30009,10000000
30010,10000000
40000,10000000
40001,10000000
40100,10000000
40101,10000000
40200,10000000
40201,10000000
40202,10000000
40203,10000000
40204,10000000
40300,10000000
100001,10000000
100002,10000000
100003,10000000
100004,10000000
100005,10000000
100006,10000000
100007,10000000
100008,10000000
100009,10000000
100010,10000000
100101,10000000
100102,10000000
100103,10000000
100104,10000000
100105,10000000
100106,10000000
100107,10000000
100108,10000000
100109,10000000
100110,10000000
100201,10000000
100202,10000000
100203,10000000
100204,10000000
100205,10000000
100206,10000000
100207,10000000
100208,10000000
100209,10000000
100210,10000000
100301,10000000
100302,10000000
100303,10000000
100304,10000000
100305,10000000
100306,10000000
100307,10000000
100308,10000000
100309,10000000
100310,10000000
100311,10000000
100312,10000000
100313,10000000
100314,10000000
100315,10000000
100316,10000000
100317,10000000
100318,10000000
110001,10000000
110002,10000000
110003,10000000
110004,10000000
110005,10000000
110006,10000000
110007,10000000
110008,10000000
210001,10000000
210002,10000000
210003,10000000
210004,10000000
210005,10000000
210006,10000000
210007,10000000
210008,10000000
210009,10000000
210010,10000000
210011,10000000
210012,10000000
210013,10000000
210014,10000000
