神侍天赋等级id,附加状态,升级消耗
id,,upgradeCost
9000,,30000|100
9001,,30000|100
9002,,30000|100
9003,,30000|100
9004,,30000|100
9005,,30000|400
9006,,30000|400
9007,,30000|400
9008,,30000|400
9009,,30000|400
9010,,30000|800
9011,,30000|800
9012,,30000|800
9013,,30000|800
9014,,30000|800
9015,,30000|1600
9016,,30000|1600
9017,,30000|1600
9018,,30000|1600
9019,,30000|1600
9020,,30000|3000
9021,,30000|3000
9022,,30000|3000
9023,,30000|3000
9024,,30000|3000
9025,,30000|3500
9026,,30000|3500
9027,,30000|3500
9028,,30000|3500
9029,,30000|3500
9030,,30000|4000
9031,,30000|4000
9032,,30000|4000
9033,,30000|4000
9034,,30000|4000
9035,,30000|7000
9036,,30000|7000
9037,,30000|7000
9038,,30000|7000
9039,,30000|7000
9040,,30000|11500
9041,,30000|11500
9042,,30000|11500
9043,,30000|11500
9044,,30000|11500
9045,,30000|20500
9046,,30000|20500
9047,,30000|20500
9048,,30000|20500
9049,,30000|20500
9050,,30000|33000
9051,,30000|33000
9052,,30000|33000
9053,,30000|33000
9054,,30000|33000
9055,,30000|55000
9056,,30000|55000
9057,,30000|55000
9058,,30000|55000
9059,,30000|55000
9060,,30000|85500
9061,,30000|85500
9062,,30000|85500
9063,,30000|85500
9064,,30000|85500
9065,,30000|135000
9066,,30000|135000
9067,,30000|135000
9068,,30000|135000
9069,,30000|135000
9070,,30000|195000
9071,,30000|195000
9072,,30000|195000
9073,,30000|195000
9074,,30000|195000
9075,,30000|280000
9076,,30000|280000
9077,,30000|280000
9078,,30000|280000
9079,,30000|280000
9080,,30000|367000
9081,,30000|367000
9082,,30000|367000
9083,,30000|367000
9084,,30000|367000
9085,,30000|486500
9086,,30000|486500
9087,,30000|486500
9088,,30000|486500
9089,,30000|486500
9090,,30000|604500
9091,,30000|604500
9092,,30000|604500
9093,,30000|604500
9094,,30000|604500
9095,,30000|771500
9096,,30000|771500
9097,,30000|771500
9098,,30000|771500
9099,,30000|771500
10000,,30000|100
10001,,30000|100
10002,,30000|100
10003,,30000|100
10004,,30000|100
10005,,30000|400
10006,,30000|400
10007,,30000|400
10008,,30000|400
10009,,30000|400
10010,,30000|800
10011,,30000|800
10012,,30000|800
10013,,30000|800
10014,,30000|800
10015,,30000|1600
10016,,30000|1600
10017,,30000|1600
10018,,30000|1600
10019,,30000|1600
10020,,30000|3000
10021,,30000|3000
10022,,30000|3000
10023,,30000|3000
10024,,30000|3000
10025,,30000|3500
10026,,30000|3500
10027,,30000|3500
10028,,30000|3500
10029,,30000|3500
10030,,30000|4000
10031,,30000|4000
10032,,30000|4000
10033,,30000|4000
10034,,30000|4000
10035,,30000|7000
10036,,30000|7000
10037,,30000|7000
10038,,30000|7000
10039,,30000|7000
10040,,30000|11500
10041,,30000|11500
10042,,30000|11500
10043,,30000|11500
10044,,30000|11500
10045,,30000|20500
10046,,30000|20500
