宠物升级id+宠物等级,消耗经验
id,exp
cwsj_1_1,4
cwsj_1_2,8
cwsj_1_3,20
cwsj_1_4,30
cwsj_1_5,40
cwsj_1_6,50
cwsj_1_7,60
cwsj_1_8,80
cwsj_1_9,100
cwsj_1_10,150
cwsj_1_11,200
cwsj_1_12,300
cwsj_1_13,500
cwsj_1_14,600
cwsj_1_15,700
cwsj_1_16,800
cwsj_1_17,900
cwsj_1_18,1000
cwsj_1_19,1200
cwsj_1_20,1400
cwsj_1_21,1600
cwsj_1_22,1800
cwsj_1_23,1900
cwsj_1_24,2000
cwsj_1_25,2100
cwsj_1_26,2200
cwsj_1_27,2300
cwsj_1_28,2400
cwsj_1_29,2500
cwsj_1_30,2600
cwsj_1_31,2700
cwsj_1_32,2800
cwsj_1_33,2900
cwsj_1_34,3002
cwsj_1_35,5097
cwsj_1_36,5834
cwsj_1_37,6066
cwsj_1_38,6283
cwsj_1_39,6484
cwsj_1_40,6672
cwsj_1_41,7480
cwsj_1_42,8288
cwsj_1_43,9096
cwsj_1_44,9904
cwsj_1_45,13878
cwsj_1_46,15455
cwsj_1_47,17032
cwsj_1_48,18608
cwsj_1_49,20185
cwsj_1_50,21761
cwsj_1_51,23864
cwsj_1_52,25966
cwsj_1_53,28068
cwsj_1_54,30170
cwsj_1_55,43273
cwsj_1_56,47507
cwsj_1_57,51742
cwsj_1_58,55977
cwsj_1_59,60211
cwsj_1_60,64446
cwsj_1_61,70092
cwsj_1_62,75738
cwsj_1_63,81384
cwsj_1_64,87031
cwsj_1_65,146645
cwsj_1_66,157809
cwsj_1_67,168973
cwsj_1_68,180138
cwsj_1_69,191302
cwsj_1_70,202466
cwsj_1_71,215863
cwsj_1_72,229260
cwsj_1_73,242657
cwsj_1_74,256054
cwsj_1_75,366268
cwsj_1_76,384485
cwsj_1_77,402703
cwsj_1_78,420920
cwsj_1_79,439138
cwsj_1_80,457355
cwsj_1_81,475572
cwsj_1_82,493790
cwsj_1_83,512007
cwsj_1_84,530225
cwsj_1_85,768570
cwsj_1_86,794105
cwsj_1_87,819639
cwsj_1_88,845173
cwsj_1_89,870708
cwsj_1_90,896243
cwsj_1_91,921777
cwsj_1_92,947311
cwsj_1_93,972846
cwsj_1_94,998381
cwsj_1_95,1600551
cwsj_1_96,1640463
cwsj_1_97,1680375
cwsj_1_98,1720287
cwsj_1_99,1760199
cwsj_1_100,1800111
