属性分配比例ID,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,气力值,速度,冷却缩减
id,hp,atk,def,damageDef,damage,critical,criticalDef,criticalDamage,fire,ice,thunder,dark,fireDef,iceDef,thunderDef,darkDef,hpCut,damageReflect,mp,shield,speed,cdCut
r_jingjichang,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,10000,10000,9000,0
r_test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_1,-2000,-159,-159,-159,-159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_2,4750,-167,-167,-167,-167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_3,5050,-879,-879,-879,-879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_4,3616,-2533,-1215,-1215,-1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_5,1556,-2545,-681,-681,-681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_6,-830,-1267,-1267,-1267,-1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_7,3024,-1317,-1317,-1317,-1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_8,-1134,-3667,-1556,-1556,-1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7000,0,0
r_guanqia_9,1884,-2870,-2077,-2077,-2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_10,1996,-2002,-3,-3,-2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6000,0,0
r_guanqia_11,1852,-1535,-1535,-1535,-1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5600,0,0
r_guanqia_12,2644,-969,-969,-969,-969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5200,0,0
r_guanqia_13,2417,-1131,-1131,-1131,-1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4800,0,0
r_guanqia_14,-2171,-214,-214,-214,-214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4400,0,0
r_guanqia_15,2698,582,582,582,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,0,0
r_guanqia_16,956,956,956,956,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3600,0,0
r_guanqia_17,426,426,426,426,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3200,0,0
r_guanqia_18,96,-409,96,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2800,0,0
r_guanqia_19,-84,-84,-84,-84,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2400,0,0
r_guanqia_20,2002,2002,1,2002,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2000,0,0
r_guanqia_21,287,287,287,287,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1600,0,0
r_guanqia_22,767,767,767,767,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1200,0,0
r_guanqia_23,470,470,470,470,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-800,0,0
r_guanqia_24,321,321,321,321,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,0,0
r_guanqia_25,807,807,807,807,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_26,2088,2088,2088,2088,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_27,598,598,598,598,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_28,248,248,248,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_29,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_31,137,137,137,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_32,368,368,368,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_33,-109,-109,-109,-109,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_34,274,274,274,274,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_35,225,225,225,225,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_36,383,383,383,383,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_37,619,619,619,619,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_38,139,139,139,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_39,504,504,504,504,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_41,126,126,126,126,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_42,335,335,335,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_43,-107,-107,-107,-107,-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_44,243,243,243,243,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_45,192,192,192,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_46,337,337,337,337,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_47,555,555,555,555,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_48,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_49,444,444,444,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_51,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_52,305,305,305,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_53,-109,-109,-109,-109,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_54,212,212,212,212,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_55,165,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_56,298,298,298,298,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_57,498,498,498,498,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_58,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_59,405,405,405,405,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_61,104,104,104,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_62,278,278,278,278,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_63,-105,-105,-105,-105,-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_64,190,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_65,142,142,142,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_66,265,265,265,265,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_67,450,450,450,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_68,76,76,76,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_69,366,366,366,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_71,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_72,256,256,256,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_73,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_74,169,169,169,169,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_75,125,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_76,239,239,239,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_77,410,410,410,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_78,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_79,337,337,337,337,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r_guanqia_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
