id,生命,攻击,护甲,减免伤害,最终伤害,暴击几率,抗暴几率,暴击伤害,火,冰,雷,冥,火抗,冰抗,雷抗,冥抗,生命偷取,伤害反弹,怒气,气力值,速度,冷却缩减
id,hp,atk,def,damageDef,damage,critical,criticalDef,criticalDamage,fire,ice,thunder,dark,fireDef,iceDef,thunderDef,darkDef,hpCut,damageReflect,mp,shield,speed,cdCut
v_kratos,700,70,35,28,28,100,0,0,100,100,100,100,100,100,100,100,0,0,1000,250,6.8,0
v_test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_test01,1261,127,63,50,50,0,0,0,100,100,100,100,100,100,100,100,0,0,0,250,6.8,0
v_test02,1261,127,63,50,50,0,0,0,100,100,100,100,100,100,100,100,0,0,0,250,6.8,0
v_zb_11000,156,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_11100,156,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_11200,156,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_11300,156,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_12000,156,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_13000,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_14000,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_15000,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_16000,249,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_17000,0,25,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_21000,156,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_22000,156,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_23000,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_24000,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_25000,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_26000,249,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_zb_27000,0,25,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_jz_01,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,4,0
v_jz_02,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,4,0
v_jz_03,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,4,0
v_xb_01,0,0,0,0,0,100,0,0,0,0,0,0,0,50,0,50,0,0,0,1000000,4,0
v_xb_02,0,0,0,0,0,100,0,0,0,0,0,0,0,50,0,50,0,0,0,1000000,4,0
v_xb_03,0,0,0,0,0,100,0,0,0,0,0,0,0,0,50,50,0,0,0,1000000,4,0
v_xb_04,0,0,0,0,0,100,0,0,0,0,0,0,0,50,50,100,0,0,0,1000000,7,0
v_xb_05,0,0,0,0,0,100,0,0,0,0,0,0,50,50,0,50,0,0,0,1000000,4,0
v_xb_06,0,0,0,0,0,100,0,0,0,0,0,0,50,50,50,0,0,0,0,1000000,4,0
v_xb_07,0,0,0,0,0,100,0,0,0,0,0,0,50,50,50,0,0,0,0,1000000,4,0
v_xb_08,0,0,0,0,0,100,0,0,0,0,0,0,50,50,50,0,0,0,0,1000000,4,0
v_xb_09,0,0,0,0,0,100,0,0,0,0,0,0,50,0,50,50,0,0,0,1000000,4,0
v_jy_01,0,0,0,0,0,200,0,0,0,0,0,0,100,0,100,100,0,0,0,200,6,0
v_jy_02,0,0,0,0,0,200,0,0,0,0,0,0,100,100,100,0,0,0,0,200,6,0
v_jy_03,0,0,0,0,0,200,0,0,0,0,0,0,50,0,100,50,0,0,0,200,6,0
v_bs_01,0,0,0,0,0,500,0,0,0,0,0,0,100,50,0,50,0,0,0,350,4,0
v_bs_02,0,0,0,0,0,500,0,0,0,0,0,0,0,50,50,100,0,0,0,350,6,0
v_bs_03,0,0,0,0,0,500,0,0,0,0,0,0,0,100,100,50,0,0,0,350,6,0
v_bs_04,0,0,0,0,0,500,0,0,0,0,0,0,100,100,100,0,0,0,0,250,6,0
v_bs_05,0,0,0,0,0,500,0,0,0,0,0,0,100,100,0,100,0,0,0,350,6,0
v_bs_06,0,0,0,0,0,500,0,0,0,0,0,0,0,100,100,100,0,0,0,350,6,0
v_bs_07,0,0,0,0,0,500,0,0,0,0,0,0,0,100,100,100,0,0,0,350,6,0
v_cw_1,840,84,42,33.6,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_2,840,84,42,33.6,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_3,840,84,42,33.6,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_4,840,84,42,33.6,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_5,840,84,42,33.6,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_6,1680,42,42,33.6,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_7,1680,42,42,33.6,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_8,1176,67.2,42,33.6,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_9,1176,67.2,42,33.6,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_10,1176,67.2,42,33.6,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_11,1176,67.2,42,33.6,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_12,1176,67.2,42,33.6,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_13,1680,42,42,33.6,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v_cw_14,840,84,42,33.6,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
