角色id,ID,名字,描述,简短描述,连击开启等级,升级消耗,开启宠物星级,铭文,战斗力系数
roleId,id,name,description,briefDesc,comboLimit,levelCostId,needPetStar,talent,powerRate
cw_1,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_1,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
cw_1,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_1,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_2,gongji01,阿波罗普攻,阿波罗普攻,,,1000,1,,{skill:combat}
cw_2,huoyanshengjian,阿波罗火焰神箭,阿波罗火焰神箭,,,1000,1,,{skill:combat}
cw_2,duochongsheji,阿波罗多重射击,阿波罗多重射击,,,1000,2,,{skill:combat}
cw_2,jianyuliuxing,阿波波罗箭雨流星,阿波波罗箭雨流星,,,1000,3,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_2,薛西斯技能2,薛西斯技能2,,,1000,2,,{skill:combat}
cw_3,yingxiong_kuangzhanshi_3,薛西斯技能3,薛西斯技能3,,,1000,3,,{skill:combat}
cw_4,gongji01,黑暗女神普攻,黑暗女神普攻,,,1000,1,,{skill:combat}
cw_4,jineng_siwangchanrao,黑暗女神技能1,黑暗女神技能1,,,1000,1,,{skill:combat}
cw_4,jineng_mingjiedeguihuan,黑暗女神技能2,黑暗女神技能2,,,1000,2,,{skill:combat}
cw_5,yingxiong_kuangzhanshi_01,薛西斯普攻,薛西斯普攻,,,1000,1,,{skill:combat}
cw_5,yingxiong_kuangzhanshi_1,薛西斯技能1,薛西斯技能1,,,1000,1,,{skill:combat}
