任务ID,任务阶段,任务名称,任务描述,进度参数,奖励id,奖励数量,任务枚举类型,属性名,图标名,图标底图（品质id）
id,stage,name,description,param,itemId,itemNum,type,prop,icon,quality
1,1,,满星通关第1章普通难度,30|1,210008,3,normalLv,task1,ui_item_icon_208,3
2,1,,4个武器技能升至5级,4|5,30000,2000,weaponSkill,task2,ui_item_icon_141,4
3,1,,5件英雄装备进阶至白色+1,5|2,30000,2000,equipAdvLv,task3,ui_item_icon_141,4
4,1,,获得2个神侍,2,30000,3000,petsNum,task4,ui_item_icon_141,4
5,1,,添加5个好友,5,30000,5000,friend,task5,ui_item_icon_141,4
6,2,,满星通关第2章普通难度,30|2,210008,3,normalLv,task6,ui_item_icon_208,3
7,2,,竞技场胜利1次,1,30004,10,arena,task7,ui_item_icon_192,4
8,2,,战力达到5000,5000,30002,10,power,task8,ui_item_icon_142,3
9,2,,4个武器技能升至15级,4|15,30000,3000,weaponSkill,task9,ui_item_icon_141,4
10,2,,5件英雄装备进阶至白色+3,5|4,30000,3000,equipAdvLv,task10,ui_item_icon_141,4
11,2,,加入公会1次,1,30000,5000,corps,task11,ui_item_icon_141,4
12,3,,满星通关第3章普通难度,30|3,210008,5,normalLv,task12,ui_item_icon_208,3
13,3,,满星通关第4章普通难度,30|4,210008,5,normalLv,task13,ui_item_icon_208,3
14,3,,竞技场胜利10次,10,30004,30,arena,task14,ui_item_icon_192,4
15,3,,战力达到10000,10000,30002,20,power,task15,ui_item_icon_142,3
16,3,,4个武器技能升至25级,4|25,30000,4000,weaponSkill,task16,ui_item_icon_141,4
17,3,,5件英雄装备进阶至绿色+3,5|8,30000,4000,equipAdvLv,task17,ui_item_icon_141,4
18,3,,2个神侍升至3星,2|3,30000,10000,petStar,task18,ui_item_icon_141,4
19,3,,累计完成30次日常任务,30,30000,10000,daily,task19,ui_item_icon_141,4
20,3,,3件英雄装备觉醒1星,3|1,30000,10000,equipStar,task20,ui_item_icon_141,4
21,4,,满星通关第5章普通难度,30|5,210006,3,normalLv,task21,ui_item_icon_206,3
22,4,,满星通关第6章普通难度,30|6,210006,3,normalLv,task22,ui_item_icon_206,3
23,4,,竞技场胜利30次,30,30004,50,arena,task23,ui_item_icon_192,4
24,4,,战力达到20000,20000,30002,30,power,task24,ui_item_icon_142,3
25,4,,4个武器技能升至35级,4|35,30000,5000,weaponSkill,task25,ui_item_icon_141,4
26,4,,5件英雄装备进阶至绿色+7,5|12,30000,5000,equipAdvLv,task26,ui_item_icon_141,4
27,4,,获得6个神侍,6,30000,10000,petsNum,task27,ui_item_icon_141,4
28,4,,2个神侍进阶至绿色,2|4,30000,4000,petAdvLv,task28,ui_item_icon_141,4
29,4,,6件英雄装备觉醒1星,6|1,30000,20000,equipStar,task29,ui_item_icon_141,4
30,5,,满星通关第7章普通难度,30|7,210006,5,normalLv,task30,ui_item_icon_206,3
31,5,,满星通关第8章普通难度,30|8,210006,5,normalLv,task31,ui_item_icon_206,3
32,5,,战力达到35000,35000,30002,40,power,task32,ui_item_icon_142,3
33,5,,4个武器技能升至45级,4|45,30000,10000,weaponSkill,task33,ui_item_icon_141,4
34,5,,5件英雄装备进阶至蓝色+3,5|16,30000,10000,equipAdvLv,task34,ui_item_icon_141,4
35,5,,3个神侍进阶至绿色+2,3|6,30000,5000,petAdvLv,task35,ui_item_icon_141,4
36,5,,4个神侍升至3星,4|3,30000,20000,petStar,task36,ui_item_icon_141,4
37,5,,6件英雄装备觉醒2星,6|2,30000,30000,equipStar,task37,ui_item_icon_141,4
38,6,,满星通关第9章普通难度,30|9,210004,3,normalLv,task38,ui_item_icon_204,3
39,6,,满星通关第10章普通难度,30|10,210004,3,normalLv,task39,ui_item_icon_204,3
40,6,,战力达到50000,50000,30002,50,power,task40,ui_item_icon_142,3
41,6,,4个武器技能升至55级,4|55,30000,20000,weaponSkill,task41,ui_item_icon_141,4
42,6,,5件英雄装备进阶至蓝色+7,5|20,30000,20000,equipAdvLv,task42,ui_item_icon_141,4
43,6,,获得9个神侍,9,30000,30000,petsNum,task43,ui_item_icon_141,4
44,6,,4个神侍进阶至蓝色,4|8,30000,10000,petAdvLv,task44,ui_item_icon_141,4
45,7,,满星通关第11章普通难度,30|11,210004,5,normalLv,task45,ui_item_icon_204,3
46,7,,满星通关第12章普通难度,30|12,210004,5,normalLv,task46,ui_item_icon_204,3
47,7,,战力达到75000,75000,30002,60,power,task47,ui_item_icon_142,3
48,7,,4个武器技能升至65级,4|65,30000,30000,weaponSkill,task48,ui_item_icon_141,4
49,7,,5件英雄装备进阶至紫色+3,5|24,30000,30000,equipAdvLv,task49,ui_item_icon_141,4
50,7,,5个神侍进阶至蓝色+2,5|10,30000,20000,petAdvLv,task50,ui_item_icon_141,4
51,7,,6个神侍升至3星,6|3,30000,30000,petStar,task51,ui_item_icon_141,4
52,7,,6件英雄装备觉醒3星,6|3,30000,40000,equipStar,task52,ui_item_icon_141,4
53,8,,满星通关第13章普通难度,30|13,210002,3,normalLv,task53,ui_item_icon_202,3
54,8,,满星通关第14章普通难度,30|14,210002,3,normalLv,task54,ui_item_icon_202,3
55,8,,战力达到100000,100000,30002,70,power,task55,ui_item_icon_142,3
56,8,,4个武器技能升至75级,4|75,30000,40000,weaponSkill,task56,ui_item_icon_141,4
57,8,,5件英雄装备进阶至紫色+7,5|28,30000,40000,equipAdvLv,task57,ui_item_icon_141,4
58,8,,获得15个神侍,15,30000,50000,petsNum,task58,ui_item_icon_141,4
59,8,,6个神侍进阶至蓝色+4,6|12,30000,30000,petAdvLv,task59,ui_item_icon_141,4
60,9,,满星通关第15章普通难度,30|15,210002,5,normalLv,task60,ui_item_icon_202,3
61,9,,满星通关第16章普通难度,30|16,210002,5,normalLv,task61,ui_item_icon_202,3
62,9,,战力达到150000,150000,30002,80,power,task62,ui_item_icon_142,3
63,9,,4个武器技能升至85级,4|85,30000,50000,weaponSkill,task63,ui_item_icon_141,4
64,9,,5件英雄装备进阶至橙色+3,5|32,30000,50000,equipAdvLv,task64,ui_item_icon_141,4
65,9,,6个神侍进阶至紫色+1,6|14,30000,40000,petAdvLv,task65,ui_item_icon_141,4
66,9,,6个神侍升至4星,6|4,30000,50000,petStar,task66,ui_item_icon_141,4
67,9,,6件英雄装备觉醒4星,6|4,30000,50000,equipStar,task67,ui_item_icon_141,4
68,10,,满星通关第17章普通难度,30|17,210005,3,normalLv,task68,ui_item_icon_205,3
69,10,,满星通关第18章普通难度,30|18,210005,3,normalLv,task69,ui_item_icon_205,3
70,10,,战力达到200000,200000,30002,90,power,task70,ui_item_icon_142,3
71,10,,4个武器技能升至95级,4|95,30000,60000,weaponSkill,task71,ui_item_icon_141,4
72,10,,5件英雄装备进阶至橙色+7,5|36,30000,60000,equipAdvLv,task72,ui_item_icon_141,4
73,10,,获得20个神侍,20,30000,70000,petsNum,task73,ui_item_icon_141,4
74,10,,6个神侍进阶至紫色+3,6|16,30000,50000,petAdvLv,task74,ui_item_icon_141,4
75,11,,满星通关第19章普通难度,30|19,210005,5,normalLv,task75,ui_item_icon_205,3
76,11,,满星通关第20章普通难度,30|20,210005,5,normalLv,task76,ui_item_icon_205,3
77,11,,5件英雄装备进阶至橙色+8,5|37,30000,70000,equipAdvLv,task77,ui_item_icon_141,4
78,11,,6个神侍进阶至紫色+5,6|18,30000,60000,petAdvLv,task78,ui_item_icon_141,4
79,11,,6个神侍升至5星,6|5,30000,60000,petStar,task79,ui_item_icon_141,4
80,11,,6件英雄装备觉醒5星,6|5,30000,60000,equipStar,task80,ui_item_icon_141,4
